House of Representatives - 1998 Election 						
Swing to ALP						
By Division by Polling Place						

New South Wales						

* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National Party						
 candidate was endorsed for the supplementary election. Therefore Newcastle does not appear in this table.						

Banks						

Polling Place	Formal	MELHAM		IACONO		Swing
Pakenham Upper (La Trobe)	155	44	28.39	111	71.61	-6.97
Sassafras	668	346	51.8	322	48.2	0.94
Selby	845	485	57.4	360	42.6	-0.52
Special Hospital Team 1	245	55	22.45	190	77.55	-12.02
Special Hospital Team 2	202	107	52.97	95	47.03	19.35
Tecoma	1535	844	54.98	691	45.02	0.81
The Basin	2450	1218	49.71	1232	50.29	-1.06
Timbarra	2419	1090	45.06	1329	54.94	-4.06
Upwey	3523	1986	56.37	1537	43.63	0.75
ABSENT	4118	2045	49.66	2073	50.34	-
POSTAL	3698	1692	45.75	2006	54.25	-
PRE POLL	3166	1496	47.25	1670	52.75	-
PROVISIONAL	515	239	46.41	276	53.59	-
Division Total	73430	35988	49.01	37442	50.99	0.38


McEwen						

Polling Place	Formal	McEWEN		BAILEY		Swing
	Votes	(ALP)	%	(LP)	%	%
Alexandra	1627	635	39.03	992	60.97	-0.95
Arthurs Creek	327	95	29.05	232	70.95	4.55
Avenel	546	239	43.77	307	56.23	1.77
Badger Creek	1161	639	55.04	522	44.96	2.98
Beveridge	198	82	41.41	116	58.59	1.96
Bonnie Doon	312	107	34.29	205	65.71	4.23
Broadford	1912	1107	57.9	805	42.1	-0.31
Buxton	212	82	38.68	130	61.32	3
Christmas Hills	79	44	55.7	35	44.3	-1.7
Clonbinane	234	142	60.68	92	39.32	1.92
Craigieburn	4621	3222	69.73	1399	30.27	-2.33
Craigieburn South	1987	1438	72.37	549	27.63	0.17
Diamond Creek	2726	1295	47.51	1431	52.49	-4.75
Diamond Creek East	2311	1108	47.94	1203	52.06	-2.69
Dixons Creek	179	57	31.84	122	68.16	5.69
Don Valley	262	118	45.04	144	54.96	3.16
Doreen	294	76	25.85	218	74.15	-2.17
Eden Park	484	245	50.62	239	49.38	5.87
Eildon	578	267	46.19	311	53.81	3.12
Flowerdale	315	174	55.24	141	44.76	4.94
Gladysdale	317	128	40.38	189	59.62	8.91
Glenburn	202	68	33.66	134	66.34	5.09
Healesville	3263	1712	52.47	1551	47.53	1.77
Hoddles Creek	296	100	33.78	196	66.22	10.24
Hurstbridge	1983	1111	56.03	872	43.97	1.69
Jamieson	228	113	49.56	115	50.44	8.28
Kalkallo	134	50	37.31	84	62.69	-4.47
Kangaroo Ground	773	315	40.75	458	59.25	5.29
Kilmore	2274	1017	44.72	1257	55.28	1.78
Kinglake	643	390	60.65	253	39.35	-0.97
Kinglake West	760	435	57.24	325	42.76	3.77
Launching Place	945	483	51.11	462	48.89	4.91
Longwood	199	82	41.21	117	58.79	8.38
Mansfield	2239	763	34.08	1476	65.92	0.32
Marysville	373	151	40.48	222	59.52	6.6
Melbourne (McEwen)	40	19	47.5	21	52.5	8.21
Mernda	571	279	48.86	292	51.14	2.82
Merrijig	204	75	36.76	129	63.24	2.76
Merton	102	23	22.55	79	77.45	-8.01
Mickleham	459	152	33.12	307	66.88	4.68
Millgrove	730	428	58.63	302	41.37	-2.77
Molesworth	80	19	23.75	61	76.25	-8.36
Mount Buller	26	10	38.46	16	61.54	13.46
Nagambie	1267	517	40.81	750	59.19	1.17
Narbethong	118	48	40.68	70	59.32	3.18
Panton Hill	621	320	51.53	301	48.47	-2.04
Piries-Goughs Bay	77	27	35.06	50	64.93	-2.08
Powelltown	123	69	56.1	54	43.9	9.76
Puckapunyal	617	199	32.25	418	67.75	-1.3
Pyalong	312	120	38.46	192	61.54	1.15
Research (McEwen)	1799	718	39.91	1081	60.09	-3.89
Ruffy	89	21	23.6	68	76.4	10.8
Seymour	1654	722	43.65	932	56.35	-2.01
Seymour East	2639	1364	51.69	1275	48.31	1.87
Special Hospital Team 1	32	10	31.25	22	68.75	-15.42
Special Hospital Team 2	59	23	38.98	36	61.02	-
St Andrews	734	429	58.45	305	41.55	2.5
Strath Creek	84	40	47.62	44	52.38	-0.95
Taggerty	216	90	41.67	126	58.33	4.63
Tallarook	321	140	43.61	181	56.39	-4.17
Thornton	245	101	41.22	144	58.78	9.11
Tolmie	98	50	51.02	48	48.98	2.24
Toolangi	231	91	39.39	140	60.61	3.22
Wallan East	218	112	51.38	106	48.62	2.46
Wallan Wallan	1737	958	55.15	779	44.85	0.54
Wandong	866	454	52.42	412	47.58	-0.08
Warburton	865	466	53.87	399	46.13	5.07
Warburton East	419	223	53.22	196	46.78	-1.28
Warrandyte North	1151	557	48.39	594	51.61	0
Wattle Glen	667	359	53.82	308	46.18	0.28
Wesburn	604	304	50.33	300	49.67	7.94
Whittlesea	1905	891	46.77	1014	53.23	3.53
Wollert	233	102	43.78	131	56.22	6.23
Woori Yallock	1721	830	48.23	891	51.77	3.02
Yan Yean	159	56	35.22	103	64.78	-3.73
Yarck	152	41	26.97	111	73.03	9.61
Yarra Glen	1312	528	40.24	784	59.76	4.44
Yarra Junction	1010	455	45.05	555	54.95	-0.01
Yarrambat	688	240	34.88	448	65.12	-0.89
Yea	1042	384	36.85	658	63.15	2.04
ABSENT	4836	2463	50.93	2373	49.07	-
POSTAL	4035	1762	43.67	2273	56.33	-
PRE POLL	3067	1416	46.17	1651	53.83	-
PROVISIONAL	589	324	55.01	265	44.99	-
Division Total	75818	37119	48.96	38699	51.04	1.13


McMillan						

Polling Place	Formal	ZAHRA		BROADBENT		Swing
	Votes	(ALP)	%	(LP)	%	%
Bona Vista	192	53	27.6	139	72.4	9.02
Boolarra	668	358	53.59	310	46.41	8.71
Buln Buln	340	115	33.82	225	66.18	4.97
Bunyip	1134	433	38.18	701	61.82	4.04
Churchill	2984	2000	67.02	984	32.98	2.69
Cloverlea	117	28	23.93	89	76.07	-5.43
Cora Lynn	159	35	22.01	124	77.99	3.18
Darnum	323	115	35.6	208	64.4	5.57
Drouin	3453	1306	37.82	2147	62.18	4.02
Drouin South	455	130	28.57	325	71.43	9.38
Drouin West	243	90	37.04	153	62.96	10.31
Ellinbank	222	66	29.73	156	70.27	4.91
Erica	225	114	50.67	111	49.33	10.13
Garfield	620	243	39.19	377	60.81	4.63
Hallora	125	25	20	100	80	-2.49
Hazelwood North	608	277	45.56	331	54.44	0.51
Hill End	111	35	31.53	76	68.47	2.33
Iona	143	33	23.08	110	76.92	1.34
Jindivick	247	75	30.36	172	69.64	0.29
Labertouche	212	71	33.49	141	66.51	10.98
Lillico	225	45	20	180	80	-0.61
Longwarry	705	254	36.03	451	63.97	4.27
Maryknoll	308	118	38.31	190	61.69	-1.96
Melbourne (McMillan)	37	14	37.84	23	62.16	-17.93
Moe	3269	2163	66.17	1106	33.83	2.88
Moe Central	1552	1126	72.55	426	27.45	1.11
Moe West	928	648	69.83	280	30.17	1.78
Morwell	1553	987	63.55	566	36.45	7.18
Morwell Central	2927	1953	66.72	974	33.28	3.41
Morwell Estate	2591	1760	67.93	831	32.07	4.66
Morwell North	641	441	68.8	200	31.2	2.05
Nar Nar Goon	581	200	34.42	381	65.58	-1.91
Nar Nar Goon North	232	84	36.21	148	63.79	6.98
Narracan	183	94	51.37	89	48.63	19.24
Neerim Junction	217	72	33.18	145	66.82	6.35
Neerim South	699	242	34.62	457	65.38	6.5
Newborough	2320	1541	66.42	779	33.58	1.95
Newborough East	1274	910	71.43	364	28.57	2.15
Nilma	231	86	37.23	145	62.77	9.6
Noojee	140	64	45.71	76	54.29	12.38
Pakenham	2518	1105	43.88	1413	56.12	0.96
Pakenham Central	2215	873	39.41	1342	60.59	1
Pakenham North	871	318	36.51	553	63.49	-4.61
Pakenham South	143	58	40.56	85	59.44	21.51
Pakenham Upper (McMillan)	323	108	33.44	215	66.56	5.75
Rawson	171	102	59.65	69	40.35	5.25
Ripplebrook	109	23	21.1	86	78.9	1.42
Rokeby	156	85	54.49	71	45.51	12.32
Special Hospital Team 1	141	79	56.03	62	43.97	9.36
Special Hospital Team 2	181	53	29.28	128	70.72	7.78
Special Hospital Team 3	118	61	51.69	57	48.31	-2.93
Special Hospital Team 4	47	28	59.57	19	40.43	17.11
Tanjil South	295	111	37.63	184	62.37	-0.49
Tetoora Road	127	47	37.01	80	62.99	12.98
Thorpdale	424	140	33.02	284	66.98	4.3
Toomuc Valley	105	36	34.29	69	65.71	4.18
Trafalgar	1863	776	41.65	1087	58.35	2.11
Traralgon	3254	1601	49.2	1653	50.8	2.39
Traralgon East	3105	1771	57.04	1334	42.96	3.59
Traralgon North	3958	2063	52.12	1895	47.88	1.46
Traralgon South	419	224	53.46	195	46.54	4.66
Traralgon West	959	489	50.99	470	49.01	5.52
Tyers	472	257	54.45	215	45.55	7.45
Tynong	294	115	39.12	179	60.88	8.46
Tynong North	138	54	39.13	84	60.87	6.68
Warragul	3061	1184	38.68	1877	61.32	3.11
Warragul East	886	349	39.39	537	60.61	2.15
Warragul North	1429	484	33.87	945	66.13	3.41
Willowgrove	352	133	37.78	219	62.22	3.3
Yallourn North	922	641	69.52	281	30.48	1.58
Yarragon	767	323	42.11	444	57.89	2.35
Yinnar	917	466	50.82	451	49.18	6.55
ABSENT	3380	1615	47.78	1765	52.22	-
POSTAL	3454	1679	48.61	1775	51.39	-
PRE POLL	4397	2082	47.35	2315	52.65	-
PROVISIONAL	683	423	61.93	260	38.07	-
Division Total	75848	38360	50.57	37488	49.43	2.64


Mallee						

Polling Place	Formal	ZIGOURAS		FORREST		Swing
	Votes	(ALP)	%	(NP)	%	%
Antwerp	106	13	12.26	93	87.74	4.2
Apsley	322	95	29.5	227	70.5	3.31
Berriwillock	148	30	20.27	118	79.73	5.9
Beulah	312	48	15.38	264	84.62	3.32
Beverford	295	79	26.78	216	73.22	6.9
Birchip	663	136	20.51	527	79.49	3.08
Boundary Bend	107	29	27.1	78	72.9	8.85
Brim	168	24	14.29	144	85.71	4.43
Brimpaen	73	8	10.96	65	89.04	-0.98
Cabarita	388	109	28.09	279	71.91	6.97
Cardross	418	120	28.71	298	71.29	4.59
Charlton	895	191	21.34	704	78.66	1.73
Culgoa	125	24	19.2	101	80.8	7.92
Cullulleraine	109	19	17.43	90	82.57	7.33
Dadswells Bridge	79	21	26.58	58	73.42	13.37
Dimboola	1115	478	42.87	637	57.13	3.61
Donald	1133	290	25.6	843	74.4	2.83
Dooen	145	20	13.79	125	86.21	4.2
Douglas	80	12	15	68	85	3.76
Edenhope	788	244	30.96	544	69.04	7.03
Gerang Gerung	103	16	15.53	87	84.47	7.93
Goroke	442	106	23.98	336	76.02	4.03
Harrow	194	64	32.99	130	67.01	8.12
Haven	463	124	26.78	339	73.22	0.74
Hopetoun	639	138	21.6	501	78.4	2
Horsham	4014	1256	31.29	2758	68.71	2.33
Horsham North	1513	665	43.95	848	56.05	6.23
Horsham West	1601	460	28.73	1141	71.27	1.34
Irymple	1854	574	30.96	1280	69.04	1.48
Jeparit	426	125	29.34	301	70.66	6.32
Jung	97	28	28.87	69	71.13	8.46
Kaniva	661	142	21.48	519	78.52	5.57
Koorlong	307	73	23.78	234	76.22	6.02
Laharum	151	63	41.72	88	58.28	5.96
Lake Boga	704	219	31.11	485	68.89	5.31
Lascelles	78	11	14.1	67	85.9	7.35
Lillimur	94	16	17.02	78	82.98	7.38
Litchfield	90	10	11.11	80	88.89	6.72
Manangatang	310	54	17.42	256	82.58	-1
Melbourne (Mallee)	46	12	26.09	34	73.91	-2.12
Merbein	1732	688	39.72	1044	60.28	4.16
Merbein South	239	59	24.69	180	75.31	10.25
Merbein West	258	59	22.87	199	77.13	2.56
Meringur	78	9	11.54	69	88.46	-1.12
Mildura	4379	1939	44.28	2440	55.72	5.82
Mildura Base Hospital	395	144	36.46	251	63.54	0.04
Mildura City Central	884	339	38.35	545	61.65	6.84
Mildura Deakin	3172	1189	37.48	1983	62.52	3.76
Mildura South	1841	550	29.88	1291	70.12	1.63
Mildura West	2654	941	35.46	1713	64.54	4.28
Minimay	105	17	16.19	88	83.81	2
Minyip	478	106	22.18	372	77.82	4.5
Murra Warra	103	8	7.77	95	92.23	3.38
Murrayville	360	54	15	306	85	5.65
Murtoa	753	318	42.23	435	57.77	4.16
Nandaly	68	18	26.47	50	73.53	10.38
Nangiloc	337	104	30.86	233	69.14	2.84
Natimuk	474	140	29.54	334	70.46	3.64
Netherby	95	14	14.74	81	85.26	5.91
Nhill	1492	360	24.13	1132	75.87	3.64
Nichols Point	835	243	29.1	592	70.9	4.04
Noradjuha	113	34	30.09	79	69.91	4.87
Nullawil	109	18	16.51	91	83.49	4.55
Nyah	424	122	28.77	302	71.23	5.7
Nyah West	459	160	34.86	299	65.14	9.26
Ouyen	847	234	27.63	613	72.37	9.19
Patchewollock	135	28	20.74	107	79.26	14.12
Piangil	288	63	21.87	225	78.12	3.56
Pimpinio	129	21	16.28	108	83.72	3.68
Quantong	203	49	24.14	154	75.86	7.56
Rainbow	563	115	20.43	448	79.57	4.23
Red Cliffs	2510	949	37.81	1561	62.19	7.31
Riverside	140	20	14.29	120	85.71	-1.16
Robinvale	1595	504	31.6	1091	68.4	4.96
Rupanyup	380	79	20.79	301	79.21	-0.53
Sea Lake	507	145	28.6	362	71.4	7.66
Serviceton	97	25	25.77	72	74.23	14.3
Special Hospital Team 1	117	34	29.06	83	70.94	-1.93
Special Hospital Team 2	236	62	26.27	174	73.73	3.1
Special Hospital Team 3	145	43	29.66	102	70.34	1.41
Speed	163	14	8.59	149	91.41	-1.52
St Arnaud	2037	707	34.71	1330	65.29	1.56
Stuart Mill	79	30	37.97	49	62.03	-0.49
Sunnycliffs	170	56	32.94	114	67.06	16.36
Swan Hill	3011	868	28.83	2143	71.17	4.05
Swan Hill South	1274	299	23.47	975	76.53	4.16
Swan Hill West	1513	431	28.49	1082	71.51	1.77
Toolondo	156	24	15.38	132	84.62	5.44
Ultima	188	35	18.62	153	81.38	7.03
Underbool	227	32	14.1	195	85.9	8.88
Walpeup	161	27	16.77	134	83.23	3.22
Warracknabeal	1800	462	25.67	1338	74.33	3.87
Watchem	140	15	10.71	125	89.29	-0.14
Wemen	86	11	12.79	75	87.21	-0.8
Werrimull	126	32	25.4	94	74.6	12.58
Wimmera Base Hospital	634	193	30.44	441	69.56	3.18
Wonwondah North	99	25	25.25	74	74.75	3.68
Woomelang	253	43	17	210	83	5.41
Woorinen	368	104	28.26	264	71.74	11.28
Wycheproof	622	152	24.44	470	75.56	6.41
Yaapeet	80	17	21.25	63	78.75	5.87
Yanac	112	14	12.5	98	87.5	3.29
ABSENT	2801	868	30.99	1933	69.01	-
POSTAL	2887	712	24.66	2175	75.34	-
PRE POLL	4955	1568	31.64	3387	68.36	-
PROVISIONAL	510	220	43.14	290	56.86	-
Division Total	75437	23109	30.63	52328	69.37	4.13


Maribyrnong						

Polling Place	Formal	SERCOMBE		CHARLTON		Swing
	Votes	(ALP)	%	(LP)	%	%
Aberfeldie	1874	1060	56.56	814	43.44	2.5
Airport West	2472	1870	75.65	602	24.35	3.65
Albanvale	3032	2520	83.11	512	16.89	4.46
Albion North	2515	2069	82.27	446	17.73	5.22
Avondale Heights	2694	2101	77.99	593	22.01	5.6
Avondale Heights Central	3251	2221	68.32	1030	31.68	3.33
Avondale Heights North	1899	1409	74.2	490	25.8	2.1
Buckley Park	2630	1382	52.55	1248	47.45	1.71
Essendon West	2159	1111	51.46	1048	48.54	0.43
Kealba	2367	1762	74.44	605	25.56	3.54
Keilor East	2277	1625	71.37	652	28.63	4.82
Keilor Heights	2579	1652	64.06	927	35.94	4.03
Keilor Park	1891	1316	69.59	575	30.41	3.69
Keilor South	3099	1916	61.83	1183	38.17	1.55
Kings Park	4243	3705	87.32	538	12.68	3.36
Melbourne (Maribyrnong)	60	38	63.33	22	36.67	-9.68
Moonee Ponds Central	1220	605	49.59	615	50.41	-0.33
Moonee Ponds West	2096	1437	68.56	659	31.44	0.19
Niddrie	1551	1010	65.12	541	34.88	2.45
Niddrie Central	2627	1477	56.22	1150	43.78	2.7
Special Hospital Team 1	11	8	72.73	3	27.27	-0.44
St Albans	2388	1930	80.82	458	19.18	4.1
St Albans East	3514	2869	81.64	645	18.36	4.91
St Albans North	2669	2142	80.25	527	19.75	3.16
St Albans South	2245	1879	83.7	366	16.3	4.57
St Albans South East	2914	2411	82.74	503	17.26	5.33
St Albans West	2638	2159	81.84	479	18.16	4.54
Stevensville	1800	1485	82.5	315	17.5	5.41
ABSENT	4001	2574	64.33	1427	35.67	-
POSTAL	2723	1804	66.25	919	33.75	-
PRE POLL	2956	2014	68.13	942	31.87	-
PROVISIONAL	546	438	80.22	108	19.78	-
Division Total	74941	53999	72.06	20942	27.94	3.2


Melbourne						

Polling Place	Formal	TANNER		NETTELBECK		Swing
	Votes	(ALP)	%	(LP)	%	%
Abbotsford	1031	815	79.05	216	20.95	1.32
Ascot Vale	672	595	88.54	77	11.46	7.35
Ascot Vale Central	1967	1391	70.72	576	29.28	3.25
Ascot Vale East	1921	1361	70.85	560	29.15	1.93
Ascot Vale West	1487	948	63.75	539	36.25	3.67
Brunswick East	1236	986	79.77	250	20.23	5.09
Brunswick South	914	752	82.28	162	17.72	5.51
Brunswick South East	1203	873	72.57	330	27.43	1.08
Brunswick South West	2314	1674	72.34	640	27.66	2.37
Carlton	1864	1501	80.53	363	19.47	2.43
Carlton Central	1944	1431	73.61	513	26.39	0.98
Carlton North	1884	1316	69.85	568	30.15	4.49
Carlton South	911	548	60.15	363	39.85	0.05
Clifton Hill	1557	1163	74.69	394	25.31	-1.8
Collingwood	2518	2058	81.73	460	18.27	2.5
Collingwood North	1589	1194	75.14	395	24.86	2.16
Delbridge	671	477	71.09	194	28.91	0.69
East Melbourne	1536	695	45.25	841	54.75	1.03
Edward	2841	2224	78.28	617	21.72	1.11
Fitzroy	3298	2714	82.29	584	17.71	3.17
Fitzroy Central	843	584	69.28	259	30.72	2.61
Fitzroy North	2693	2076	77.09	617	22.91	2.39
Flemington	2688	2148	79.91	540	20.09	3.92
Hotham Hill	956	897	93.83	59	6.17	9.39
Kensington	1986	1493	75.18	493	24.82	-5.08
Melbourne (Melbourne)	1591	960	60.34	631	39.66	2.84
Merri	1129	881	78.03	248	21.97	3.45
Newmarket	2182	1560	71.49	622	28.51	-2.72
North Melbourne	1722	1188	68.99	534	31.01	2.39
North Melbourne Central	1303	939	72.06	364	27.94	2.22
Parkville	1198	692	57.76	506	42.24	-0.04
Prison Mobile Team 1	0	0	0	0	0	-100
Richmond	3205	1990	62.09	1215	37.91	-1.8
Richmond Central	1736	1225	70.56	511	29.44	0.39
Richmond East	2636	1778	67.45	858	32.55	2.6
Richmond North	1002	913	91.12	89	8.88	4.72
Richmond South	1290	843	65.35	447	34.65	1.01
Richmond West	1458	1328	91.08	130	8.92	4.36
Special Hospital Team 1	28	17	60.71	11	39.29	9.99
Special Hospital Team 2	42	30	71.43	12	28.57	25.81
Special Hospital Team 3	46	30	65.22	16	34.78	10.67
Special Hospital Team 4	141	75	53.19	66	46.81	-5.78
Special Hospital Team 5	73	42	57.53	31	42.47	1.53
Special Hospital Team 6	12	8	66.67	4	33.33	12.38
Special Hospital Team 7	25	20	80	5	20	-20
ABSENT	7005	4439	63.37	2566	36.63	-
POSTAL	2317	1523	65.73	794	34.27	-
PRE POLL	5258	3437	65.37	1821	34.63	-
PROVISIONAL	1451	1159	79.88	292	20.12	-
Division Total	79374	56991	71.8	22383	28.2	1.59


Melbourne Ports						

Polling Place	Formal	DANBY		SNEDDEN		Swing
	Votes	(ALP)	%	(LP)	%	%
Alfred Hospital	239	107	44.77	132	55.23	-4.69
Argyle	1162	838	72.12	324	27.88	1.27
Bridport	2111	1335	63.24	776	36.76	-3.5
Camden	2161	1052	48.68	1109	51.32	2
Carnegie West	587	382	65.08	205	34.92	6.52
Caulfield	521	282	54.13	239	45.87	12.68
Caulfield East	1636	798	48.78	838	51.22	0.27
Caulfield North	2985	1319	44.19	1666	55.81	6.38
Caulfield South	1632	810	49.63	822	50.37	2.37
Caulfield Upper	2290	1120	48.91	1170	51.09	3.01
Caulfield West	1436	619	43.11	817	56.89	6.84
Elsternwick	3279	1817	55.41	1462	44.59	-0.5
Elsternwick North	1196	645	53.93	551	46.07	2.1
Elwood	2585	1484	57.41	1101	42.59	-0.41
Elwood North	2893	1828	63.19	1065	36.81	-1.38
Emerald Hill	1812	1007	55.57	805	44.43	-7.54
Fawkner Park (Melbourne Ports)	2003	754	37.64	1249	62.36	1.86
Graham	1092	689	63.1	403	36.9	1.25
Kerferd	3201	1608	50.23	1593	49.77	-3.32
Melbourne (Melbourne Ports)	356	168	47.19	188	52.81	-8.3
Middle Park	1231	621	50.45	610	49.55	-1.62
Port Melbourne	2668	1726	64.69	942	35.31	-7.53
Prahran West	265	112	42.26	153	57.74	-3.1
Redan Central	1368	848	61.99	520	38.01	-1.57
Ripponlea East	1086	555	51.1	531	48.9	5.64
Ripponlea North	1628	1068	65.6	560	34.4	1.91
Sandridge	948	774	81.65	174	18.35	2.71
South Melbourne	2560	1478	57.73	1082	42.27	-0.31
Special Hospital Team 1	128	78	60.94	50	39.06	-7.92
Special Hospital Team 2	68	42	61.76	26	38.24	24.06
Special Hospital Team 3	0	0	0	0	0	-50
Special Hospital Team 4	0	0	0	0	0	-43.24
St Kilda	3744	2553	68.19	1191	31.81	1.39
St Kilda Beach	1022	624	61.06	398	38.94	-9.03
St Kilda Central	0	0	0	0	0	-64.59
St Kilda North	2004	1284	64.07	720	35.93	3.8
St Kilda Park	1976	1320	66.8	656	33.2	-1.5
St Kilda South	2016	1370	67.96	646	32.04	1.38
ABSENT	5326	2694	50.58	2632	49.42	-
POSTAL	4462	2073	46.46	2389	53.54	-
PRE POLL	5851	3135	53.58	2716	46.42	-
PROVISIONAL	953	568	59.6	385	40.4	-
Division Total	74481	41585	55.83	32896	44.17	-0.22


Menzies						

Polling Place	Formal	ALLAN		ANDREWS		Swing
	Votes	(ALP)	%	(LP)	%	%
Beverley Hills	3415	1746	51.13	1669	48.87	6.45
Bulleen	3028	1690	55.81	1338	44.19	5.96
Bulleen West	791	454	57.4	337	42.6	10.26
Donburn	780	338	43.33	442	56.67	6.22
Doncaster	3345	1684	50.34	1661	49.66	8.26
Doncaster Central	2388	1311	54.9	1077	45.1	8.56
Doncaster East	5591	2901	51.89	2690	48.11	7.11
Doncaster Gardens	1686	877	52.02	809	47.98	7.64
Doncaster Heights	493	260	52.74	233	47.26	10.98
Doncaster Park	718	348	48.47	370	51.53	10.23
Doncaster South	1310	617	47.1	693	52.9	8.48
Doncaster West	1911	1046	54.74	865	45.26	7.95
Donvale	3338	1182	35.41	2156	64.59	6.08
Gumnut Gully	743	287	38.63	456	61.37	0.12
Lower Templestowe	1508	863	57.23	645	42.77	6.61
Manningham	1374	540	39.3	834	60.7	-1.31
Melbourne (Menzies)	76	26	34.21	50	65.79	-4.74
Milgate	3025	1246	41.19	1779	58.81	4.31
Park Orchards	2112	736	34.85	1376	65.15	6.51
Ringwood North	866	282	32.56	584	67.44	2.93
Serpell	2695	1047	38.85	1648	61.15	7.22
Special Hospital Team 1	273	62	22.71	211	77.29	9.56
Special Hospital Team 2	145	52	35.86	93	64.14	6.91
Special Hospital Team 3	164	54	32.93	110	67.07	12.47
Templestowe	1659	713	42.98	946	57.02	7.43
Templestowe Heights	4858	2122	43.68	2736	56.32	6.2
Templestowe Park	2443	900	36.84	1543	63.16	5.06
Templestowe Valley	1569	774	49.33	795	50.67	6.47
The Pines	1271	501	39.42	770	60.58	2.45
Tunstall	1314	626	47.64	688	52.36	6.13
Warrandyte	2552	1060	41.54	1492	58.46	3.87
Warrandyte South	385	156	40.52	229	59.48	8.56
Warranwood	1810	718	39.67	1092	60.33	4.33
Wonga Park	1594	472	29.61	1122	70.39	1.99
Yarraleen	2385	1171	49.1	1214	50.9	5.01
ABSENT	4069	1651	40.58	2418	59.42	-
POSTAL	2557	905	35.39	1652	64.61	-
PRE POLL	4908	2065	42.07	2843	57.93	-
PROVISIONAL	382	204	53.4	178	46.6	-
Division Total	75531	33687	44.6	41844	55.4	5.59


Murray						

Polling Place	Formal	STUART		STONE		Swing
	Votes	(ALP)	%	(LP)	%	%
Ardmona	369	98	26.56	271	73.44	-
Ballendella	137	18	13.14	119	86.86	-
Bamawm	206	27	13.11	179	86.89	-
Bamawm Extension	169	14	8.28	155	91.72	-
Barmah	189	77	40.74	112	59.26	-
Boort	729	141	19.34	588	80.66	-
Bunbartha	143	16	11.19	127	88.81	-
Byrneside	192	27	14.06	165	85.94	-
Calivil	180	15	8.33	165	91.67	-
Cobram	2861	989	34.57	1872	65.43	-
Cohuna	1920	344	17.92	1576	82.08	-
Colbinabbin	231	25	10.82	206	89.18	-
Congupna	436	81	18.58	355	81.42	-
Cooma	141	6	4.26	135	95.74	-
Corop	77	10	12.99	67	87.01	-
Dhurringile	169	29	17.16	140	82.84	-
Dingee	224	23	10.27	201	89.73	-
Dingwall	114	12	10.53	102	89.47	-
Dookie	214	53	24.77	161	75.23	-
Dookie College	60	19	31.67	41	68.33	-
Durham Ox	87	5	5.75	82	94.25	-
Echuca	2169	700	32.27	1469	67.73	-
Echuca Central	569	156	27.42	413	72.58	-
Echuca East	1394	531	38.09	863	61.91	-
Echuca South	2239	759	33.9	1480	66.1	-
Echuca Village	260	43	16.54	217	83.46	-
Echuca West	356	51	14.33	305	85.67	-
Girgarre	449	68	15.14	381	84.86	-
Gowrie Street	2367	926	39.12	1441	60.88	-
Grahamvale	236	41	17.37	195	82.63	-
Gunbower	357	93	26.05	264	73.95	-
Guthrie Street	1201	305	25.4	896	74.6	-
Katamatite	283	44	15.55	239	84.45	-
Katunga	479	74	15.45	405	84.55	-
Kerang	1722	378	21.95	1344	78.05	-
Kerang North	984	216	21.95	768	78.05	-
Kialla	379	87	22.96	292	77.04	-
Kialla Park	449	122	27.17	327	72.83	-
Kialla West	330	68	20.61	262	79.39	-
Knight Street	1964	567	28.87	1397	71.13	-
Koondrook	685	177	25.84	508	74.16	-
Koroop	88	5	5.68	83	94.32	-
Kotupna	82	13	15.85	69	84.15	-
Koyuga	122	23	18.85	99	81.15	-
Ky Valley	233	20	8.58	213	91.42	-
Kyabram	2266	566	24.98	1700	75.02	-
Kyabram West	1534	374	24.38	1160	75.62	-
Lake Charm	247	78	31.58	169	68.42	-
Lalbert	120	12	10	108	90	-
Lancaster	297	40	13.47	257	86.53	-
Leitchville	540	83	15.37	457	84.63	-
Lemnos	339	54	15.93	285	84.07	-
Lockington	606	111	18.32	495	81.68	-
Macorna	121	10	8.26	111	91.74	-
Melbourne (Murray)	62	19	30.65	43	69.35	-
Merrigum	517	131	25.34	386	74.66	-
Mitiamo	108	29	26.85	79	73.15	-
Mooroopna	1682	623	37.04	1059	62.96	-
Mooroopna Park	2216	856	38.63	1360	61.37	-
Murchison	530	180	33.96	350	66.04	-
Murrabit	321	42	13.08	279	86.92	-
Nanneella	262	33	12.6	229	87.4	-
Nathalia	1249	321	25.7	928	74.3	-
Numurkah	2323	557	23.98	1766	76.02	-
Orrvale	344	44	12.79	300	87.21	-
Picola	163	22	13.5	141	86.5	-
Pine Lodge	109	14	12.84	95	87.16	-
Pyramid Hill	444	99	22.3	345	77.7	-
Quambatook	277	62	22.38	215	77.62	-
Rochester	2036	514	25.25	1522	74.75	-
Rushworth	935	372	39.79	563	60.21	-
Serpentine	186	31	16.67	155	83.33	-
Shepparton	567	218	38.45	349	61.55	-
Shepparton Central	698	187	26.79	511	73.21	-
Shepparton East	635	159	25.04	476	74.96	-
Shepparton North	1840	504	27.39	1336	72.61	-
Shepparton South	2007	751	37.42	1256	62.58	-
Special Hospital Team 1	68	10	14.71	58	85.29	-
