House of Representatives - 2001 Election: New South Wales																																								
Distribution of Preferences 																																								
By Polling Place																																								
																																								
Farrer																																								
				SOBEY			WEYRICH			BOTT			WILKINSON			WATSON			KREUTZBERGER			MILLEN			LEY			CORBETT			PATERSON			TAYLOR			GIBSON			
		TOTAL								104	45.02		13	5.63								35	15.15		79	34.20														231
	TENTH									7	53.85			Excluded								1	7.69		5	38.46														13
		TOTAL								111	48.05											36	15.58		84	36.36														231
	ELEVENTH									29	80.56												Excluded		7	19.44														36
		TOTAL								140	60.61														91	39.39														231
																									Elected															
																																								
Pleasant Hills                                                 																																								
	FIRST			1	0.63		0	0.00		105	66.04		1	0.63		0	0.00		2	1.26		7	4.40		41	25.79		0	0.00		0	0.00		2	1.26		0	0.00		159
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.63		0	0.00		105	66.04		1	0.63		0	0.00		2	1.26		7	4.40		41	25.79					0	0.00		2	1.26		0	0.00		159
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		1	0.63		0	0.00		105	66.04		1	0.63		0	0.00		2	1.26		7	4.40		41	25.79					0	0.00		2	1.26					159
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		1	0.63					105	66.04		1	0.63		0	0.00		2	1.26		7	4.40		41	25.79					0	0.00		2	1.26					159
	FIFTH			0	0.00					1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					2
		TOTAL		1	0.63					106	66.67		1	0.63		1	0.63					7	4.40		41	25.79					0	0.00		2	1.26					159
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		1	100.00					1
		TOTAL		1	0.63					106	66.67		1	0.63								7	4.40		41	25.79					0	0.00		3	1.89					159
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		1	0.63					106	66.67		1	0.63								7	4.40		41	25.79								3	1.89					159
	EIGHTH			0	0.00					0	0.00		1	33.33								1	33.33		1	33.33									Excluded					3
		TOTAL		1	0.63					106	66.67		2	1.26								8	5.03		42	26.42														159
	NINTH				Excluded					0	0.00		0	0.00								1	100.00		0	0.00														1
		TOTAL								106	66.67		2	1.26								9	5.66		42	26.42														159
	TENTH									2	100.00			Excluded								0	0.00		0	0.00														2
		TOTAL								108	67.92											9	5.66		42	26.42														159
	ELEVENTH									7	77.78												Excluded		2	22.22														9
		TOTAL								115	72.33														44	27.67														159
																									Elected															
																																								
Pooncarie                                                      																																								
	FIRST			1	0.79		3	2.38		70	55.56		13	10.32		1	0.79		0	0.00		7	5.56		27	21.43		1	0.79		2	1.59		1	0.79		0	0.00		126
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	0.79		3	2.38		70	55.56		13	10.32		1	0.79		1	0.79		7	5.56		27	21.43					2	1.59		1	0.79		0	0.00		126
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		1	0.79		3	2.38		70	55.56		13	10.32		1	0.79		1	0.79		7	5.56		27	21.43					2	1.59		1	0.79					126
	FOURTH			0	0.00			Excluded		1	33.33		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00					0	0.00		0	0.00					3
		TOTAL		1	0.79					71	56.35		14	11.11		1	0.79		2	1.59		7	5.56		27	21.43					2	1.59		1	0.79					126
	FIFTH			1	50.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	50.00		0	0.00					2
		TOTAL		2	1.59					71	56.35		14	11.11		1	0.79					7	5.56		27	21.43					3	2.38		1	0.79					126
	SIXTH			0	0.00					1	100.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		2	1.59					72	57.14		14	11.11								7	5.56		27	21.43					3	2.38		1	0.79					126
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		2	66.67						Excluded		1	33.33					3
		TOTAL		2	1.59					72	57.14		14	11.11								7	5.56		29	23.02								2	1.59					126
	EIGHTH			0	0.00					1	50.00		0	0.00								1	50.00		0	0.00									Excluded					2
		TOTAL		2	1.59					73	57.94		14	11.11								8	6.35		29	23.02														126
	NINTH				Excluded					1	50.00		0	0.00								1	50.00		0	0.00														2
		TOTAL								74	58.73		14	11.11								9	7.14		29	23.02														126
	TENTH									2	14.29			Excluded								3	21.43		9	64.29														14
		TOTAL								76	60.32											12	9.52		38	30.16														126
	ELEVENTH									9	75.00												Excluded		3	25.00														12
		TOTAL								85	67.46														41	32.54														126
																									Elected															
																																								
Pretty Pine                                                    																																								
	FIRST			1	1.16		1	1.16		35	40.70		3	3.49		2	2.33		0	0.00		6	6.98		36	41.86		0	0.00		0	0.00		2	2.33		0	0.00		86
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	1.16		1	1.16		35	40.70		3	3.49		2	2.33		0	0.00		6	6.98		36	41.86					0	0.00		2	2.33		0	0.00		86
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		1	1.16		1	1.16		35	40.70		3	3.49		2	2.33		0	0.00		6	6.98		36	41.86					0	0.00		2	2.33					86
	FOURTH			0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		1	1.16					35	40.70		4	4.65		2	2.33		0	0.00		6	6.98		36	41.86					0	0.00		2	2.33					86
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		1	1.16					35	40.70		4	4.65		2	2.33					6	6.98		36	41.86					0	0.00		2	2.33					86
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		2	100.00					2
		TOTAL		1	1.16					35	40.70		4	4.65								6	6.98		36	41.86					0	0.00		4	4.65					86
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		1	1.16					35	40.70		4	4.65								6	6.98		36	41.86								4	4.65					86
	EIGHTH			0	0.00					1	25.00		2	50.00								0	0.00		1	25.00									Excluded					4
		TOTAL		1	1.16					36	41.86		6	6.98								6	6.98		37	43.02														86
	NINTH				Excluded					0	0.00		0	0.00								1	100.00		0	0.00														1
		TOTAL								36	41.86		6	6.98								7	8.14		37	43.02														86
	TENTH									3	50.00			Excluded								1	16.67		2	33.33														6
		TOTAL								39	45.35											8	9.30		39	45.35														86
	ELEVENTH									5	62.50												Excluded		3	37.50														8
		TOTAL								44	51.16														42	48.84														86
																									Elected															
																																								
Rand                                                           																																								
	FIRST			0	0.00		1	0.55		48	26.23		3	1.64		0	0.00		11	6.01		12	6.56		104	56.83		0	0.00		1	0.55		3	1.64		0	0.00		183
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		1	0.55		48	26.23		3	1.64		0	0.00		11	6.01		12	6.56		104	56.83					1	0.55		3	1.64		0	0.00		183
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		0	0.00		1	0.55		48	26.23		3	1.64		0	0.00		11	6.01		12	6.56		104	56.83					1	0.55		3	1.64					183
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		0	0.00					48	26.23		3	1.64		1	0.55		11	6.01		12	6.56		104	56.83					1	0.55		3	1.64					183
	FIFTH			0	0.00					5	45.45		0	0.00		1	9.09			Excluded		3	27.27		0	0.00					1	9.09		1	9.09					11
		TOTAL		0	0.00					53	28.96		3	1.64		2	1.09					15	8.20		104	56.83					2	1.09		4	2.19					183
	SIXTH			0	0.00					0	0.00		1	50.00			Excluded					0	0.00		0	0.00					0	0.00		1	50.00					2
		TOTAL		0	0.00					53	28.96		4	2.19								15	8.20		104	56.83					2	1.09		5	2.73					183
	SEVENTH			0	0.00					0	0.00		0	0.00								1	50.00		0	0.00						Excluded		1	50.00					2
		TOTAL		0	0.00					53	28.96		4	2.19								16	8.74		104	56.83								6	3.28					183
	EIGHTH			0	0.00					1	16.67		2	33.33								1	16.67		2	33.33									Excluded					6
		TOTAL		0	0.00					54	29.51		6	3.28								17	9.29		106	57.92														183
	NINTH				Excluded					0	0.00		0	0.00								0	0.00		0	0.00														0
		TOTAL								54	29.51		6	3.28								17	9.29		106	57.92														183
	TENTH									0	0.00			Excluded								2	33.33		4	66.67														6
		TOTAL								54	29.51											19	10.38		110	60.11														183
	ELEVENTH									11	57.89												Excluded		8	42.11														19
		TOTAL								65	35.52														118	64.48														183
																									Elected															
																																								
Rosewood                                                       																																								
	FIRST			8	4.23		0	0.00		53	28.04		13	6.88		3	1.59		1	0.53		21	11.11		84	44.44		0	0.00		3	1.59		3	1.59		0	0.00		189
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		8	4.23		0	0.00		53	28.04		13	6.88		3	1.59		1	0.53		21	11.11		84	44.44					3	1.59		3	1.59		0	0.00		189
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		8	4.23		0	0.00		53	28.04		13	6.88		3	1.59		1	0.53		21	11.11		84	44.44					3	1.59		3	1.59					189
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		8	4.23					53	28.04		13	6.88		3	1.59		1	0.53		21	11.11		84	44.44					3	1.59		3	1.59					189
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00					1
		TOTAL		8	4.23					53	28.04		13	6.88		3	1.59					21	11.11		85	44.97					3	1.59		3	1.59					189
	SIXTH			1	33.33					1	33.33		0	0.00			Excluded					1	33.33		0	0.00					0	0.00		0	0.00					3
		TOTAL		9	4.76					54	28.57		13	6.88								22	11.64		85	44.97					3	1.59		3	1.59					189
	SEVENTH			2	66.67					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		1	33.33					3
		TOTAL		11	5.82					54	28.57		13	6.88								22	11.64		85	44.97								4	2.12					189
	EIGHTH			3	75.00					0	0.00		0	0.00								0	0.00		1	25.00									Excluded					4
		TOTAL		14	7.41					54	28.57		13	6.88								22	11.64		86	45.50														189
	NINTH				Excluded					7	50.00		0	0.00								7	50.00		0	0.00														14
		TOTAL								61	32.28		13	6.88								29	15.34		86	45.50														189
	TENTH									3	23.08			Excluded								2	15.38		8	61.54														13
		TOTAL								64	33.86											31	16.40		94	49.74														189
	ELEVENTH									27	87.10												Excluded		4	12.90														31
		TOTAL								91	48.15														98	51.85														189
																									Elected															
																																								
Springdale Heights                                             																																								
	FIRST			24	3.85		2	0.32		85	13.64		40	6.42		9	1.44		5	0.80		174	27.93		242	38.84		5	0.80		22	3.53		9	1.44		6	0.96		623
	SECOND			0	0.00		0	0.00		1	20.00		0	0.00		1	20.00		0	0.00		0	0.00		1	20.00			Excluded		0	0.00		2	40.00		0	0.00		5
		TOTAL		24	3.85		2	0.32		86	13.80		40	6.42		10	1.61		5	0.80		174	27.93		243	39.00					22	3.53		11	1.77		6	0.96		623
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	33.33		4	66.67			Excluded		6
		TOTAL		24	3.85		2	0.32		86	13.80		40	6.42		10	1.61		5	0.80		174	27.93		243	39.00					24	3.85		15	2.41					623
	FOURTH			0	0.00			Excluded		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					2
		TOTAL		24	3.85					87	13.96		40	6.42		11	1.77		5	0.80		174	27.93		243	39.00					24	3.85		15	2.41					623
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		3	60.00		0	0.00					0	0.00		2	40.00					5
		TOTAL		24	3.85					87	13.96		40	6.42		11	1.77					177	28.41		243	39.00					24	3.85		17	2.73					623
	SIXTH			0	0.00					1	9.09		0	0.00			Excluded					2	18.18		2	18.18					2	18.18		4	36.36					11
		TOTAL		24	3.85					88	14.13		40	6.42								179	28.73		245	39.33					26	4.17		21	3.37					623
	SEVENTH			7	26.92					6	23.08		0	0.00								4	15.38		3	11.54						Excluded		6	23.08					26
		TOTAL		31	4.98					94	15.09		40	6.42								183	29.37		248	39.81								27	4.33					623
	EIGHTH			8	29.63					5	18.52		2	7.41								4	14.81		8	29.63									Excluded					27
		TOTAL		39	6.26					99	15.89		42	6.74								187	30.02		256	41.09														623
	NINTH				Excluded					16	41.03		2	5.13								13	33.33		8	20.51														39
		TOTAL								115	18.46		44	7.06								200	32.10		264	42.38														623
	TENTH									10	22.73			Excluded								8	18.18		26	59.09														44
		TOTAL								125	20.06											208	33.39		290	46.55														623
	ELEVENTH									170	81.73												Excluded		38	18.27														208
		TOTAL								295	47.35														328	52.65														623
																									Elected															
																																								
Sydney (Farrer)                                                																																								
	FIRST			3	15.79		0	0.00		6	31.58		0	0.00		0	0.00		0	0.00		4	21.05		5	26.32		0	0.00		1	5.26		0	0.00		0	0.00		19
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	15.79		0	0.00		6	31.58		0	0.00		0	0.00		0	0.00		4	21.05		5	26.32					1	5.26		0	0.00		0	0.00		19
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		3	15.79		0	0.00		6	31.58		0	0.00		0	0.00		0	0.00		4	21.05		5	26.32					1	5.26		0	0.00					19
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		3	15.79					6	31.58		0	0.00		0	0.00		0	0.00		4	21.05		5	26.32					1	5.26		0	0.00					19
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		3	15.79					6	31.58		0	0.00		0	0.00					4	21.05		5	26.32					1	5.26		0	0.00					19
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		3	15.79					6	31.58		0	0.00								4	21.05		5	26.32					1	5.26		0	0.00					19
	SEVENTH			1	100.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					1
		TOTAL		4	21.05					6	31.58		0	0.00								4	21.05		5	26.32								0	0.00					19
	EIGHTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00									Excluded					0
		TOTAL		4	21.05					6	31.58		0	0.00								4	21.05		5	26.32														19
	NINTH				Excluded					1	25.00		0	0.00								2	50.00		1	25.00														4
		TOTAL								7	36.84		0	0.00								6	31.58		6	31.58														19
	TENTH									0	0.00			Excluded								0	0.00		0	0.00														0
		TOTAL								7	36.84											6	31.58		6	31.58														19
	ELEVENTH									4	66.67												Excluded		2	33.33														6
		TOTAL								11	57.89														8	42.11														19
																									Elected															
																																								
Table Top                                                      																																								
	FIRST			13	4.51		2	0.69		50	17.36		13	4.51		2	0.69		3	1.04		28	9.72		164	56.94		1	0.35		9	3.13		3	1.04		0	0.00		288
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		13	4.51		2	0.69		50	17.36		13	4.51		2	0.69		3	1.04		28	9.72		164	56.94					10	3.47		3	1.04		0	0.00		288
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		13	4.51		2	0.69		50	17.36		13	4.51		2	0.69		3	1.04		28	9.72		164	56.94					10	3.47		3	1.04					288
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		2	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					2
		TOTAL		13	4.51					50	17.36		13	4.51		4	1.39		3	1.04		28	9.72		164	56.94					10	3.47		3	1.04					288
	FIFTH			1	33.33					0	0.00		1	33.33		1	33.33			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					3
		TOTAL		14	4.86					50	17.36		14	4.86		5	1.74					28	9.72		164	56.94					10	3.47		3	1.04					288
	SIXTH			1	20.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		4	80.00					5
		TOTAL		15	5.21					50	17.36		14	4.86								28	9.72		164	56.94					10	3.47		7	2.43					288
	SEVENTH			2	20.00					0	0.00		0	0.00								4	40.00		2	20.00						Excluded		2	20.00					10
		TOTAL		17	5.90					50	17.36		14	4.86								32	11.11		166	57.64								9	3.13					288
	EIGHTH			3	33.33					1	11.11		1	11.11								1	11.11		3	33.33									Excluded					9
		TOTAL		20	6.94					51	17.71		15	5.21								33	11.46		169	58.68														288
	NINTH				Excluded					7	35.00		2	10.00								10	50.00		1	5.00														20
		TOTAL								58	20.14		17	5.90								43	14.93		170	59.03														288
	TENTH									1	5.88			Excluded								2	11.76		14	82.35														17
		TOTAL								59	20.49											45	15.63		184	63.89														288
	ELEVENTH									34	75.56												Excluded		11	24.44														45
		TOTAL								93	32.29														195	67.71														288
																									Elected															
																																								
Talbingo                                                       																																								
	FIRST			6	3.45		1	0.57		18	10.34		12	6.90		8	4.60		0	0.00		62	35.63		55	31.61		0	0.00		5	2.87		5	2.87		2	1.15		174
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		6	3.45		1	0.57		18	10.34		12	6.90		8	4.60		0	0.00		62	35.63		55	31.61					5	2.87		5	2.87		2	1.15		174
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00					1	50.00		0	0.00			Excluded		2
		TOTAL		6	3.45		1	0.57		18	10.34		12	6.90		9	5.17		0	0.00		62	35.63		55	31.61					6	3.45		5	2.87					174
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	100.00					1
		TOTAL		6	3.45					18	10.34		12	6.90		9	5.17		0	0.00		62	35.63		55	31.61					6	3.45		6	3.45					174
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		6	3.45					18	10.34		12	6.90		9	5.17					62	35.63		55	31.61					6	3.45		6	3.45					174
	SIXTH			0	0.00					0	0.00		3	33.33			Excluded					3	33.33		2	22.22					0	0.00		1	11.11					9
		TOTAL		6	3.45					18	10.34		15	8.62								65	37.36		57	32.76					6	3.45		7	4.02					174
	SEVENTH			2	33.33					1	16.67		0	0.00								2	33.33		1	16.67						Excluded		0	0.00					6
		TOTAL		8	4.60					19	10.92		15	8.62								67	38.51		58	33.33								7	4.02					174
	EIGHTH			1	14.29					2	28.57		0	0.00								2	28.57		2	28.57									Excluded					7
		TOTAL		9	5.17					21	12.07		15	8.62								69	39.66		60	34.48														174
	NINTH				Excluded					3	33.33		0	0.00								5	55.56		1	11.11														9
