House of Representatives - 2001 Election: New South Wales																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Gwydir																																			
				WITTEN			HAIGH			GRAHAM			ROGERS			STRACHAN			WEBER			ANDERSON			MURNAIN			EDWARDS			O'REGAN				
	NINTH													Excluded								22	37.29		37	62.71								59	
		TOTAL																				103	60.95		66	39.05								169	
																						Elected													
																																			
Pine Ridge                                                     																																			
	FIRST			0	0.00		8	8.60		1	1.08		5	5.38		0	0.00		0	0.00		72	77.42		4	4.30		1	1.08		2	2.15		93	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		0	0.00		8	8.60		1	1.08		5	5.38		0	0.00		0	0.00		72	77.42		4	4.30					3	3.23		93	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		8	8.60		1	1.08		5	5.38		0	0.00					72	77.42		4	4.30					3	3.23		93	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					8	8.60		1	1.08		5	5.38		0	0.00					72	77.42		4	4.30					3	3.23		93	
	FIFTH						1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					9	9.68					5	5.38		0	0.00					72	77.42		4	4.30					3	3.23		93	
	SIXTH						1	33.33					0	0.00		1	33.33					1	33.33		0	0.00						Excluded		3	
		TOTAL					10	10.75					5	5.38		1	1.08					73	78.49		4	4.30								93	
	SEVENTH						1	100.00					0	0.00			Excluded					0	0.00		0	0.00								1	
		TOTAL					11	11.83					5	5.38								73	78.49		4	4.30								93	
	EIGHTH							Excluded					3	27.27								5	45.45		3	27.27								11	
		TOTAL											8	8.60								78	83.87		7	7.53								93	
	NINTH													Excluded								5	62.50		3	37.50								8	
		TOTAL																				83	89.25		10	10.75								93	
																						Elected													
																																			
Premer                                                         																																			
	FIRST			1	0.84		11	9.24		0	0.00		16	13.45		1	0.84		2	1.68		72	60.50		14	11.76		0	0.00		2	1.68		119	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.84		11	9.24		0	0.00		16	13.45		1	0.84		2	1.68		72	60.50		14	11.76					2	1.68		119	
	THIRD			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	50.00		2	
		TOTAL		1	0.84		12	10.08		0	0.00		16	13.45		1	0.84					72	60.50		14	11.76					3	2.52		119	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					1	100.00		0	0.00					0	0.00		1	
		TOTAL					12	10.08		0	0.00		16	13.45		1	0.84					73	61.34		14	11.76					3	2.52		119	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					12	10.08					16	13.45		1	0.84					73	61.34		14	11.76					3	2.52		119	
	SIXTH						1	33.33					2	66.67		0	0.00					0	0.00		0	0.00						Excluded		3	
		TOTAL					13	10.92					18	15.13		1	0.84					73	61.34		14	11.76								119	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		1	100.00								1	
		TOTAL					13	10.92					18	15.13								73	61.34		15	12.61								119	
	EIGHTH							Excluded					6	46.15								7	53.85		0	0.00								13	
		TOTAL											24	20.17								80	67.23		15	12.61								119	
	NINTH													Excluded								13	54.17		11	45.83								24	
		TOTAL																				93	78.15		26	21.85								119	
																						Elected													
																																			
Purlewaugh                                                     																																			
	FIRST			1	0.98		12	11.76		1	0.98		6	5.88		0	0.00		0	0.00		74	72.55		8	7.84		0	0.00		0	0.00		102	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.98		12	11.76		1	0.98		6	5.88		0	0.00		0	0.00		74	72.55		8	7.84					0	0.00		102	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	0.98		12	11.76		1	0.98		6	5.88		0	0.00					74	72.55		8	7.84					0	0.00		102	
	FOURTH				Excluded		0	0.00		0	0.00		1	100.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					12	11.76		1	0.98		7	6.86		0	0.00					74	72.55		8	7.84					0	0.00		102	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00					0	0.00		1	
		TOTAL					12	11.76					7	6.86		0	0.00					75	73.53		8	7.84					0	0.00		102	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					12	11.76					7	6.86		0	0.00					75	73.53		8	7.84								102	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					12	11.76					7	6.86								75	73.53		8	7.84								102	
	EIGHTH							Excluded					2	16.67								6	50.00		4	33.33								12	
		TOTAL											9	8.82								81	79.41		12	11.76								102	
	NINTH													Excluded								1	11.11		8	88.89								9	
		TOTAL																				82	80.39		20	19.61								102	
																						Elected													
																																			
Quambone                                                       																																			
	FIRST			3	2.42		6	4.84		1	0.81		15	12.10		0	0.00		0	0.00		81	65.32		17	13.71		0	0.00		1	0.81		124	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	2.42		6	4.84		1	0.81		15	12.10		0	0.00		0	0.00		81	65.32		17	13.71					1	0.81		124	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	2.42		6	4.84		1	0.81		15	12.10		0	0.00					81	65.32		17	13.71					1	0.81		124	
	FOURTH				Excluded		2	66.67		0	0.00		0	0.00		0	0.00					0	0.00		1	33.33					0	0.00		3	
		TOTAL					8	6.45		1	0.81		15	12.10		0	0.00					81	65.32		18	14.52					1	0.81		124	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00					0	0.00		1	
		TOTAL					8	6.45					15	12.10		0	0.00					82	66.13		18	14.52					1	0.81		124	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		1	100.00						Excluded		1	
		TOTAL					8	6.45					15	12.10		0	0.00					82	66.13		19	15.32								124	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					8	6.45					15	12.10								82	66.13		19	15.32								124	
	EIGHTH							Excluded					4	50.00								3	37.50		1	12.50								8	
		TOTAL											19	15.32								85	68.55		20	16.13								124	
	NINTH													Excluded								12	63.16		7	36.84								19	
		TOTAL																				97	78.23		27	21.77								124	
																						Elected													
																																			
Quirindi                                                       																																			
	FIRST			39	2.01		237	12.19		24	1.23		129	6.64		27	1.39		28	1.44		994	51.13		416	21.40		11	0.57		39	2.01		1944	
	SECOND			0	0.00		2	18.18		0	0.00		0	0.00		1	9.09		0	0.00		1	9.09		0	0.00			Excluded		7	63.64		11	
		TOTAL		39	2.01		239	12.29		24	1.23		129	6.64		28	1.44		28	1.44		995	51.18		416	21.40					46	2.37		1944	
	THIRD			0	0.00		5	17.86		1	3.57		3	10.71		4	14.29			Excluded		7	25.00		2	7.14					6	21.43		28	
		TOTAL		39	2.01		244	12.55		25	1.29		132	6.79		32	1.65					1002	51.54		418	21.50					52	2.67		1944	
	FOURTH				Excluded		20	51.28		6	15.38		5	12.82		0	0.00					4	10.26		2	5.13					2	5.13		39	
		TOTAL					264	13.58		31	1.59		137	7.05		32	1.65					1006	51.75		420	21.60					54	2.78		1944	
	FIFTH						19	61.29			Excluded		1	3.23		6	19.35					3	9.68		2	6.45					0	0.00		31	
		TOTAL					283	14.56					138	7.10		38	1.95					1009	51.90		422	21.71					54	2.78		1944	
	SIXTH						18	33.33					12	22.22		2	3.70					7	12.96		15	27.78						Excluded		54	
		TOTAL					301	15.48					150	7.72		40	2.06					1016	52.26		437	22.48								1944	
	SEVENTH						16	40.00					5	12.50			Excluded					9	22.50		10	25.00								40	
		TOTAL					317	16.31					155	7.97								1025	52.73		447	22.99								1944	
	EIGHTH							Excluded					128	40.38								104	32.81		85	26.81								317	
		TOTAL											283	14.56								1129	58.08		532	27.37								1944	
	NINTH													Excluded								136	48.06		147	51.94								283	
		TOTAL																				1265	65.07		679	34.93								1944	
																						Elected													
																																			
Rowena                                                         																																			
	FIRST			0	0.00		6	5.36		0	0.00		10	8.93		1	0.89		3	2.68		81	72.32		8	7.14		0	0.00		3	2.68		112	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		6	5.36		0	0.00		10	8.93		1	0.89		3	2.68		81	72.32		8	7.14					3	2.68		112	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		1	33.33					0	0.00		3	
		TOTAL		0	0.00		6	5.36		0	0.00		10	8.93		1	0.89					83	74.11		9	8.04					3	2.68		112	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					6	5.36		0	0.00		10	8.93		1	0.89					83	74.11		9	8.04					3	2.68		112	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					6	5.36					10	8.93		1	0.89					83	74.11		9	8.04					3	2.68		112	
	SIXTH						0	0.00					1	33.33		0	0.00					2	66.67		0	0.00						Excluded		3	
		TOTAL					6	5.36					11	9.82		1	0.89					85	75.89		9	8.04								112	
	SEVENTH						0	0.00					0	0.00			Excluded					1	100.00		0	0.00								1	
		TOTAL					6	5.36					11	9.82								86	76.79		9	8.04								112	
	EIGHTH							Excluded					5	83.33								0	0.00		1	16.67								6	
		TOTAL											16	14.29								86	76.79		10	8.93								112	
	NINTH													Excluded								11	68.75		5	31.25								16	
		TOTAL																				97	86.61		15	13.39								112	
																						Elected													
																																			
Rylstone                                                       																																			
	FIRST			6	0.78		118	15.34		5	0.65		93	12.09		12	1.56		11	1.43		303	39.40		214	27.83		3	0.39		4	0.52		769	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		2	66.67		3	
		TOTAL		6	0.78		118	15.34		5	0.65		93	12.09		12	1.56		11	1.43		303	39.40		215	27.96					6	0.78		769	
	THIRD			1	9.09		3	27.27		1	9.09		2	18.18		0	0.00			Excluded		2	18.18		1	9.09					1	9.09		11	
		TOTAL		7	0.91		121	15.73		6	0.78		95	12.35		12	1.56					305	39.66		216	28.09					7	0.91		769	
	FOURTH				Excluded		6	85.71		1	14.29		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		7	
		TOTAL					127	16.51		7	0.91		95	12.35		12	1.56					305	39.66		216	28.09					7	0.91		769	
	FIFTH						2	28.57			Excluded		0	0.00		2	28.57					1	14.29		2	28.57					0	0.00		7	
		TOTAL					129	16.78					95	12.35		14	1.82					306	39.79		218	28.35					7	0.91		769	
	SIXTH						4	57.14					0	0.00		0	0.00					0	0.00		3	42.86						Excluded		7	
		TOTAL					133	17.30					95	12.35		14	1.82					306	39.79		221	28.74								769	
	SEVENTH						6	42.86					0	0.00			Excluded					2	14.29		6	42.86								14	
		TOTAL					139	18.08					95	12.35								308	40.05		227	29.52								769	
	EIGHTH							Excluded					41	29.50								43	30.94		55	39.57								139	
		TOTAL											136	17.69								351	45.64		282	36.67								769	
	NINTH													Excluded								51	37.50		85	62.50								136	
		TOTAL																				402	52.28		367	47.72								769	
																						Elected													
																																			
Scone                                                          																																			
	FIRST			29	2.08		53	3.80		40	2.87		101	7.24		44	3.15		36	2.58		729	52.26		349	25.02		3	0.22		11	0.79		1395	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		29	2.08		54	3.87		40	2.87		101	7.24		44	3.15		36	2.58		729	52.26		350	25.09					12	0.86		1395	
	THIRD			3	8.33		3	8.33		2	5.56		4	11.11		3	8.33			Excluded		11	30.56		7	19.44					3	8.33		36	
		TOTAL		32	2.29		57	4.09		42	3.01		105	7.53		47	3.37					740	53.05		357	25.59					15	1.08		1395	
	FOURTH				Excluded		13	40.63		7	21.88		1	3.13		0	0.00					1	3.13		4	12.50					6	18.75		32	
		TOTAL					70	5.02		49	3.51		106	7.60		47	3.37					741	53.12		361	25.88					21	1.51		1395	
	FIFTH						19	38.78			Excluded		4	8.16		11	22.45					7	14.29		7	14.29					1	2.04		49	
		TOTAL					89	6.38					110	7.89		58	4.16					748	53.62		368	26.38					22	1.58		1395	
	SIXTH						6	27.27					6	27.27		3	13.64					2	9.09		5	22.73						Excluded		22	
		TOTAL					95	6.81					116	8.32		61	4.37					750	53.76		373	26.74								1395	
	SEVENTH						20	32.79					6	9.84			Excluded					18	29.51		17	27.87								61	
		TOTAL					115	8.24					122	8.75								768	55.05		390	27.96								1395	
	EIGHTH							Excluded					41	35.65								48	41.74		26	22.61								115	
		TOTAL											163	11.68								816	58.49		416	29.82								1395	
	NINTH													Excluded								74	45.40		89	54.60								163	
		TOTAL																				890	63.80		505	36.20								1395	
																						Elected													
																																			
Scone East                                                     																																			
	FIRST			16	1.68		33	3.46		17	1.78		98	10.28		21	2.20		25	2.62		470	49.32		264	27.70		7	0.73		2	0.21		953	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	14.29		0	0.00		1	14.29		0	0.00			Excluded		5	71.43		7	
		TOTAL		16	1.68		33	3.46		17	1.78		98	10.28		22	2.31		25	2.62		471	49.42		264	27.70					7	0.73		953	
	THIRD			2	8.00		5	20.00		1	4.00		6	24.00		2	8.00			Excluded		1	4.00		6	24.00					2	8.00		25	
		TOTAL		18	1.89		38	3.99		18	1.89		104	10.91		24	2.52					472	49.53		270	28.33					9	0.94		953	
	FOURTH				Excluded		9	50.00		1	5.56		3	16.67		1	5.56					2	11.11		0	0.00					2	11.11		18	
		TOTAL					47	4.93		19	1.99		107	11.23		25	2.62					474	49.74		270	28.33					11	1.15		953	
	FIFTH						1	5.26			Excluded		3	15.79		6	31.58					1	5.26		6	31.58					2	10.53		19	
		TOTAL					48	5.04					110	11.54		31	3.25					475	49.84		276	28.96					13	1.36		953	
	SIXTH						4	30.77					1	7.69		2	15.38					3	23.08		3	23.08						Excluded		13	
		TOTAL					52	5.46					111	11.65		33	3.46					478	50.16		279	29.28								953	
	SEVENTH						9	27.27					6	18.18			Excluded					2	6.06		16	48.48								33	
		TOTAL					61	6.40					117	12.28								480	50.37		295	30.95								953	
	EIGHTH							Excluded					30	49.18								20	32.79		11	18.03								61	
		TOTAL											147	15.42								500	52.47		306	32.11								953	
	NINTH													Excluded								72	48.98		75	51.02								147	
		TOTAL																				572	60.02		381	39.98								953	
																						Elected													
																																			
Scone High School                                              																																			
	FIRST			18	2.13		30	3.54		30	3.54		65	7.67		20	2.36		23	2.72		419	49.47		235	27.74		5	0.59		2	0.24		847	
	SECOND			0	0.00		1	20.00		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00		1	20.00			Excluded		2	40.00		5	
		TOTAL		18	2.13		31	3.66		30	3.54		65	7.67		21	2.48		23	2.72		419	49.47		236	27.86					4	0.47		847	
	THIRD			1	4.35		3	13.04		1	4.35		6	26.09		1	4.35			Excluded		4	17.39		4	17.39					3	13.04		23	
		TOTAL		19	2.24		34	4.01		31	3.66		71	8.38		22	2.60					423	49.94		240	28.34					7	0.83		847	
	FOURTH				Excluded		12	63.16		2	10.53		2	10.53		3	15.79					0	0.00		0	0.00					0	0.00		19	
		TOTAL					46	5.43		33	3.90		73	8.62		25	2.95					423	49.94		240	28.34					7	0.83		847	
	FIFTH						10	30.30			Excluded		3	9.09		4	12.12					7	21.21		9	27.27					0	0.00		33	
		TOTAL					56	6.61					76	8.97		29	3.42					430	50.77		249	29.40					7	0.83		847	
	SIXTH						2	28.57					0	0.00		1	14.29					3	42.86		1	14.29						Excluded		7	
		TOTAL					58	6.85					76	8.97		30	3.54					433	51.12		250	29.52								847	
	SEVENTH						9	30.00					3	10.00			Excluded					9	30.00		9	30.00								30	
		TOTAL					67	7.91					79	9.33								442	52.18		259	30.58								847	
	EIGHTH							Excluded					31	46.27								17	25.37		19	28.36								67	
		TOTAL											110	12.99								459	54.19		278	32.82								847	
	NINTH													Excluded								66	60.00		44	40.00								110	
		TOTAL																				525	61.98		322	38.02								847	
																						Elected													
																																			
Spring Ridge                                                   																																			
	FIRST			1	0.46		16	7.31		5	2.28		16	7.31		2	0.91		4	1.83		152	69.41		16	7.31		0	0.00		7	3.20		219	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.46		16	7.31		5	2.28		16	7.31		2	0.91		4	1.83		152	69.41		16	7.31					7	3.20		219	
	THIRD			2	50.00		0	0.00		0	0.00		1	25.00		0	0.00			Excluded		0	0.00		0	0.00					1	25.00		4	
		TOTAL		3	1.37		16	7.31		5	2.28		17	7.76		2	0.91					152	69.41		16	7.31					8	3.65		219	
	FOURTH				Excluded		2	66.67		1	33.33		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		3	
		TOTAL					18	8.22		6	2.74		17	7.76		2	0.91					152	69.41		16	7.31					8	3.65		219	
	FIFTH						0	0.00			Excluded		1	16.67		1	16.67					3	50.00		0	0.00					1	16.67		6	
		TOTAL					18	8.22					18	8.22		3	1.37					155	70.78		16	7.31					9	4.11		219	
	SIXTH						3	33.33					2	22.22		1	11.11					3	33.33		0	0.00						Excluded		9	
		TOTAL					21	9.59					20	9.13		4	1.83					158	72.15		16	7.31								219	
	SEVENTH						1	25.00					0	0.00			Excluded					1	25.00		2	50.00								4	
		TOTAL					22	10.05					20	9.13								159	72.60		18	8.22								219	
	EIGHTH							Excluded					9	40.91								6	27.27		7	31.82								22	
		TOTAL											29	13.24								165	75.34		25	11.42								219	
	NINTH													Excluded								13	44.83		16	55.17								29	
		TOTAL																				178	81.28		41	18.72								219	
																						Elected													
																																			
Stuart Town                                                    																																			
	FIRST			4	2.12		28	14.81		5	2.65		19	10.05		3	1.59		2	1.06		66	34.92		56	29.63		1	0.53		5	2.65		189	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		4	2.12		28	14.81		5	2.65		19	10.05		3	1.59		2	1.06		66	34.92		56	29.63					6	3.17		189	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		0	0.00					0	0.00		2	
		TOTAL		4	2.12		28	14.81		5	2.65		20	10.58		3	1.59					67	35.45		56	29.63					6	3.17		189	
	FOURTH				Excluded		3	75.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1	25.00		4	
		TOTAL					31	16.40		5	2.65		20	10.58		3	1.59					67	35.45		56	29.63					7	3.70		189	
	FIFTH						2	40.00			Excluded		1	20.00		1	20.00					1	20.00		0	0.00					0	0.00		5	
		TOTAL					33	17.46					21	11.11		4	2.12					68	35.98		56	29.63					7	3.70		189	
