House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Page																																									
				POLLARD-O'HARA			COOPER			LAMPIS			BEHN			JEFFREYS			CANALES			FELSCH			FLANAGAN			CORKILL			CAUSLEY			GRIFFITHS			MATHEW				
		TOTAL					40	12.99								8	2.60					6	1.95		64	20.78		32	10.39		142	46.10					16	5.19		308	
	SEVENTH						1	16.67								0	0.00						Excluded		0	0.00		0	0.00		4	66.67					1	16.67		6	
		TOTAL					41	13.31								8	2.60								64	20.78		32	10.39		146	47.40					17	5.52		308	
	EIGHTH						1	12.50									Excluded								1	12.50		5	62.50		1	12.50					0	0.00		8	
		TOTAL					42	13.64																	65	21.10		37	12.01		147	47.73					17	5.52		308	
	NINTH						9	52.94																	4	23.53		1	5.88		3	17.65						Excluded		17	
		TOTAL					51	16.56																	69	22.40		38	12.34		150	48.70								308	
	TENTH						23	60.53																	11	28.95			Excluded		4	10.53								38	
		TOTAL					74	24.03																	80	25.97					154	50.00								308	
	ELEVENTH							Excluded																	37	50.00					37	50.00								74	
		TOTAL																							117	37.99					191	62.01								308	
																															Elected										
																																									
Modanville                                                     																																									
	FIRST			3	0.81		31	8.38		3	0.81		1	0.27		16	4.32		9	2.43		1	0.27		79	21.35		35	9.46		172	46.49		0	0.00		20	5.41		370	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	0.81		31	8.38		3	0.81		1	0.27		16	4.32		9	2.43		1	0.27		79	21.35		35	9.46		172	46.49					20	5.41		370	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		2	66.67		0	0.00					0	0.00		3	
		TOTAL		3	0.81		31	8.38					1	0.27		17	4.59		9	2.43		1	0.27		79	21.35		37	10.00		172	46.49					20	5.41		370	
	FOURTH			0	0.00		1	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		3	0.81		32	8.65								17	4.59		9	2.43		1	0.27		79	21.35		37	10.00		172	46.49					20	5.41		370	
	FIFTH				Excluded		2	66.67								0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL					34	9.19								17	4.59		9	2.43		1	0.27		79	21.35		38	10.27		172	46.49					20	5.41		370	
	SIXTH						1	11.11								0	0.00			Excluded		0	0.00		0	0.00		8	88.89		0	0.00					0	0.00		9	
		TOTAL					35	9.46								17	4.59					1	0.27		79	21.35		46	12.43		172	46.49					20	5.41		370	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL					35	9.46								17	4.59								79	21.35		47	12.70		172	46.49					20	5.41		370	
	EIGHTH						7	41.18									Excluded								3	17.65		6	35.29		1	5.88					0	0.00		17	
		TOTAL					42	11.35																	82	22.16		53	14.32		173	46.76					20	5.41		370	
	NINTH						5	25.00																	5	25.00		2	10.00		8	40.00						Excluded		20	
		TOTAL					47	12.70																	87	23.51		55	14.86		181	48.92								370	
	TENTH						21	38.18																	27	49.09			Excluded		7	12.73								55	
		TOTAL					68	18.38																	114	30.81					188	50.81								370	
	ELEVENTH							Excluded																	37	54.41					31	45.59								68	
		TOTAL																							151	40.81					219	59.19								370	
																															Elected										
																																									
Nimbin                                                         																																									
	FIRST			12	1.25		35	3.65		13	1.36		2	0.21		49	5.11		107	11.17		4	0.42		215	22.44		347	36.22		149	15.55		2	0.21		23	2.40		958	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		12	1.25		36	3.76		13	1.36		2	0.21		49	5.11		107	11.17		4	0.42		215	22.44		348	36.33		149	15.55					23	2.40		958	
	THIRD			0	0.00		1	7.69			Excluded		0	0.00		1	7.69		0	0.00		0	0.00		0	0.00		11	84.62		0	0.00					0	0.00		13	
		TOTAL		12	1.25		37	3.86					2	0.21		50	5.22		107	11.17		4	0.42		215	22.44		359	37.47		149	15.55					23	2.40		958	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL		12	1.25		37	3.86								50	5.22		107	11.17		4	0.42		216	22.55		359	37.47		150	15.66					23	2.40		958	
	FIFTH				Excluded		8	66.67								2	16.67		0	0.00		0	0.00		0	0.00		0	0.00		1	8.33					1	8.33		12	
		TOTAL					45	4.70								52	5.43		107	11.17		4	0.42		216	22.55		359	37.47		151	15.76					24	2.51		958	
	SIXTH						10	9.35								8	7.48			Excluded		1	0.93		4	3.74		81	75.70		0	0.00					3	2.80		107	
		TOTAL					55	5.74								60	6.26					5	0.52		220	22.96		440	45.93		151	15.76					27	2.82		958	
	SEVENTH						0	0.00								0	0.00						Excluded		1	20.00		1	20.00		2	40.00					1	20.00		5	
		TOTAL					55	5.74								60	6.26								221	23.07		441	46.03		153	15.97					28	2.92		958	
	EIGHTH						22	36.67									Excluded								11	18.33		25	41.67		1	1.67					1	1.67		60	
		TOTAL					77	8.04																	232	24.22		466	48.64		154	16.08					29	3.03		958	
	NINTH						7	24.14																	8	27.59		5	17.24		9	31.03						Excluded		29	
		TOTAL					84	8.77																	240	25.05		471	49.16		163	17.01								958	
	TENTH						216	45.86																	247	52.44			Excluded		8	1.70								471	
		TOTAL					300	31.32																	487	50.84					171	17.85								958	
	ELEVENTH							Excluded																	249	83.00					51	17.00								300	
		TOTAL																							736	76.83					222	23.17								958	
																															Elected										
																																									
Nymboida                                                       																																									
	FIRST			2	1.65		2	1.65		0	0.00		0	0.00		5	4.13		2	1.65		0	0.00		33	27.27		29	23.97		34	28.10		0	0.00		14	11.57		121	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.65		2	1.65		0	0.00		0	0.00		5	4.13		2	1.65		0	0.00		33	27.27		29	23.97		34	28.10					14	11.57		121	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.65		2	1.65					0	0.00		5	4.13		2	1.65		0	0.00		33	27.27		29	23.97		34	28.10					14	11.57		121	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.65		2	1.65								5	4.13		2	1.65		0	0.00		33	27.27		29	23.97		34	28.10					14	11.57		121	
	FIFTH				Excluded		1	50.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL					3	2.48								5	4.13		2	1.65		0	0.00		33	27.27		29	23.97		35	28.93					14	11.57		121	
	SIXTH						0	0.00								2	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					3	2.48								7	5.79					0	0.00		33	27.27		29	23.97		35	28.93					14	11.57		121	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					3	2.48								7	5.79								33	27.27		29	23.97		35	28.93					14	11.57		121	
	EIGHTH						1	14.29									Excluded								1	14.29		5	71.43		0	0.00					0	0.00		7	
		TOTAL					4	3.31																	34	28.10		34	28.10		35	28.93					14	11.57		121	
	NINTH						7	50.00																	2	14.29		1	7.14		4	28.57						Excluded		14	
		TOTAL					11	9.09																	36	29.75		35	28.93		39	32.23								121	
	TENTH						17	48.57																	17	48.57			Excluded		1	2.86								35	
		TOTAL					28	23.14																	53	43.80					40	33.06								121	
	ELEVENTH							Excluded																	22	78.57					6	21.43								28	
		TOTAL																							75	61.98					46	38.02								121	
																															Elected										
																																									
Pimlico                                                        																																									
	FIRST			2	1.43		7	5.00		0	0.00		0	0.00		4	2.86		3	2.14		2	1.43		28	20.00		2	1.43		84	60.00		2	1.43		6	4.29		140	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		2	1.43		7	5.00		0	0.00		0	0.00		4	2.86		3	2.14		2	1.43		29	20.71		2	1.43		85	60.71					6	4.29		140	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.43		7	5.00					0	0.00		4	2.86		3	2.14		2	1.43		29	20.71		2	1.43		85	60.71					6	4.29		140	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.43		7	5.00								4	2.86		3	2.14		2	1.43		29	20.71		2	1.43		85	60.71					6	4.29		140	
	FIFTH				Excluded		1	50.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL					8	5.71								4	2.86		3	2.14		2	1.43		29	20.71		2	1.43		86	61.43					6	4.29		140	
	SIXTH						0	0.00								1	33.33			Excluded		0	0.00		1	33.33		0	0.00		1	33.33					0	0.00		3	
		TOTAL					8	5.71								5	3.57					2	1.43		30	21.43		2	1.43		87	62.14					6	4.29		140	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		2	100.00					0	0.00		2	
		TOTAL					8	5.71								5	3.57								30	21.43		2	1.43		89	63.57					6	4.29		140	
	EIGHTH						2	40.00									Excluded								0	0.00		1	20.00		0	0.00					2	40.00		5	
		TOTAL					10	7.14																	30	21.43		3	2.14		89	63.57					8	5.71		140	
	NINTH						1	12.50																	2	25.00		1	12.50		4	50.00						Excluded		8	
		TOTAL					11	7.86																	32	22.86		4	2.86		93	66.43								140	
	TENTH						3	75.00																	0	0.00			Excluded		1	25.00								4	
		TOTAL					14	10.00																	32	22.86					94	67.14								140	
	ELEVENTH							Excluded																	11	78.57					3	21.43								14	
		TOTAL																							43	30.71					97	69.29								140	
																															Elected										
																																									
Pound Hill                                                     																																									
	FIRST			38	2.59		134	9.13		2	0.14		6	0.41		66	4.50		25	1.70		13	0.89		421	28.68		138	9.40		565	38.49		0	0.00		60	4.09		1468	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		38	2.59		134	9.13		2	0.14		6	0.41		66	4.50		25	1.70		13	0.89		421	28.68		138	9.40		565	38.49					60	4.09		1468	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00					1	50.00		2	
		TOTAL		38	2.59		134	9.13					6	0.41		66	4.50		25	1.70		13	0.89		421	28.68		139	9.47		565	38.49					61	4.16		1468	
	FOURTH			1	16.67		4	66.67						Excluded		0	0.00		0	0.00		0	0.00		1	16.67		0	0.00		0	0.00					0	0.00		6	
		TOTAL		39	2.66		138	9.40								66	4.50		25	1.70		13	0.89		422	28.75		139	9.47		565	38.49					61	4.16		1468	
	FIFTH				Excluded		19	48.72								3	7.69		2	5.13		0	0.00		4	10.26		4	10.26		4	10.26					3	7.69		39	
		TOTAL					157	10.69								69	4.70		27	1.84		13	0.89		426	29.02		143	9.74		569	38.76					64	4.36		1468	
	SIXTH						4	14.81								0	0.00			Excluded		0	0.00		7	25.93		12	44.44		1	3.70					3	11.11		27	
		TOTAL					161	10.97								69	4.70					13	0.89		433	29.50		155	10.56		570	38.83					67	4.56		1468	
	SEVENTH						3	23.08								0	0.00						Excluded		4	30.77		1	7.69		5	38.46					0	0.00		13	
		TOTAL					164	11.17								69	4.70								437	29.77		156	10.63		575	39.17					67	4.56		1468	
	EIGHTH						26	37.68									Excluded								11	15.94		22	31.88		6	8.70					4	5.80		69	
		TOTAL					190	12.94																	448	30.52		178	12.13		581	39.58					71	4.84		1468	
	NINTH						26	36.62																	15	21.13		4	5.63		26	36.62						Excluded		71	
		TOTAL					216	14.71																	463	31.54		182	12.40		607	41.35								1468	
	TENTH						74	40.66																	90	49.45			Excluded		18	9.89								182	
		TOTAL					290	19.75																	553	37.67					625	42.57								1468	
	ELEVENTH							Excluded																	181	62.41					109	37.59								290	
		TOTAL																							734	50.00					734	50.00								1468	
																															Elected										
																																									
Rappville                                                      																																									
	FIRST			2	1.41		12	8.45		0	0.00		1	0.70		1	0.70		3	2.11		0	0.00		41	28.87		1	0.70		67	47.18		0	0.00		14	9.86		142	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.41		12	8.45		0	0.00		1	0.70		1	0.70		3	2.11		0	0.00		41	28.87		1	0.70		67	47.18					14	9.86		142	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.41		12	8.45					1	0.70		1	0.70		3	2.11		0	0.00		41	28.87		1	0.70		67	47.18					14	9.86		142	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		2	1.41		12	8.45								1	0.70		4	2.82		0	0.00		41	28.87		1	0.70		67	47.18					14	9.86		142	
	FIFTH				Excluded		0	0.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00					1	50.00		2	
		TOTAL					12	8.45								1	0.70		4	2.82		0	0.00		41	28.87		1	0.70		68	47.89					15	10.56		142	
	SIXTH						2	50.00								0	0.00			Excluded		0	0.00		2	50.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL					14	9.86								1	0.70					0	0.00		43	30.28		1	0.70		68	47.89					15	10.56		142	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					14	9.86								1	0.70								43	30.28		1	0.70		68	47.89					15	10.56		142	
	EIGHTH						0	0.00									Excluded								1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					14	9.86																	44	30.99		1	0.70		68	47.89					15	10.56		142	
	NINTH						5	33.33																	2	13.33		4	26.67		4	26.67						Excluded		15	
		TOTAL					19	13.38																	46	32.39		5	3.52		72	50.70								142	
	TENTH						1	20.00																	1	20.00			Excluded		3	60.00								5	
		TOTAL					20	14.08																	47	33.10					75	52.82								142	
	ELEVENTH							Excluded																	11	55.00					9	45.00								20	
		TOTAL																							58	40.85					84	59.15								142	
																															Elected										
																																									
Rosebank                                                       																																									
	FIRST			3	1.22		19	7.72		0	0.00		2	0.81		20	8.13		12	4.88		0	0.00		52	21.14		86	34.96		45	18.29		0	0.00		7	2.85		246	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	1.22		19	7.72		0	0.00		2	0.81		20	8.13		12	4.88		0	0.00		52	21.14		86	34.96		45	18.29					7	2.85		246	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	1.22		19	7.72					2	0.81		20	8.13		12	4.88		0	0.00		52	21.14		86	34.96		45	18.29					7	2.85		246	
	FOURTH			0	0.00		1	50.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL		3	1.22		20	8.13								20	8.13		12	4.88		0	0.00		52	21.14		87	35.37		45	18.29					7	2.85		246	
	FIFTH				Excluded		0	0.00								0	0.00		0	0.00		0	0.00		1	33.33		1	33.33		1	33.33					0	0.00		3	
		TOTAL					20	8.13								20	8.13		12	4.88		0	0.00		53	21.54		88	35.77		46	18.70					7	2.85		246	
	SIXTH						1	8.33								2	16.67			Excluded		0	0.00		0	0.00		9	75.00		0	0.00					0	0.00		12	
		TOTAL					21	8.54								22	8.94					0	0.00		53	21.54		97	39.43		46	18.70					7	2.85		246	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					21	8.54								22	8.94								53	21.54		97	39.43		46	18.70					7	2.85		246	
	EIGHTH						10	45.45									Excluded								2	9.09		10	45.45		0	0.00					0	0.00		22	
		TOTAL					31	12.60																	55	22.36		107	43.50		46	18.70					7	2.85		246	
	NINTH						4	57.14																	2	28.57		1	14.29		0	0.00						Excluded		7	
		TOTAL					35	14.23																	57	23.17		108	43.90		46	18.70								246	
	TENTH						55	50.93																	45	41.67			Excluded		8	7.41								108	
		TOTAL					90	36.59																	102	41.46					54	21.95								246	
	ELEVENTH							Excluded																	71	78.89					19	21.11								90	
		TOTAL																							173	70.33					73	29.67								246	
																															Elected										
																																									
Southgate                                                      																																									
	FIRST			1	0.90		9	8.11		0	0.00		1	0.90		3	2.70		0	0.00		3	2.70		15	13.51		3	2.70		64	57.66		0	0.00		12	10.81		111	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.90		9	8.11		0	0.00		1	0.90		3	2.70		0	0.00		3	2.70		15	13.51		3	2.70		64	57.66					12	10.81		111	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	0.90		9	8.11					1	0.90		3	2.70		0	0.00		3	2.70		15	13.51		3	2.70		64	57.66					12	10.81		111	
	FOURTH			0	0.00		1	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		1	0.90		10	9.01								3	2.70		0	0.00		3	2.70		15	13.51		3	2.70		64	57.66					12	10.81		111	
	FIFTH				Excluded		1	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					11	9.91								3	2.70		0	0.00		3	2.70		15	13.51		3	2.70		64	57.66					12	10.81		111	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					11	9.91								3	2.70					3	2.70		15	13.51		3	2.70		64	57.66					12	10.81		111	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		2	66.67					1	33.33		3	
		TOTAL					11	9.91								3	2.70								15	13.51		3	2.70		66	59.46					13	11.71		111	
	EIGHTH						0	0.00									Excluded								1	33.33		2	66.67		0	0.00					0	0.00		3	
		TOTAL					11	9.91																	16	14.41		5	4.50		66	59.46					13	11.71		111	
	NINTH						5	38.46																	1	7.69		1	7.69		6	46.15						Excluded		13	
		TOTAL					16	14.41																	17	15.32		6	5.41		72	64.86								111	
	TENTH						3	50.00																	3	50.00			Excluded		0	0.00								6	
		TOTAL					19	17.12																	20	18.02					72	64.86								111	
	ELEVENTH							Excluded																	9	47.37					10	52.63								19	
		TOTAL																							29	26.13					82	73.87								111	
																															Elected										
																																									
Sydney (Page)                                                  																																									
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		2	8.70		0	0.00		1	4.35		12	52.17		2	8.70		6	26.09		0	0.00		0	0.00		23	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		2	8.70		0	0.00		1	4.35		12	52.17		2	8.70		6	26.09					0	0.00		23	
