Senate - 1996 Election: New South Wales																																																																			
First Preference Votes by Group																																																																			
By Polling Place																																																																			


Banks (78925)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Appin		                                      	33	3.91	 	323	38.32	 	19	2.25	 	1	0.12	 	4	0.47	 	26	3.08	 	279	33.1	 	98	11.63	 	0	0	 	29	3.44	 	0	0	 	4	0.47	 	0	0	 	1	0.12	 	2	0.24	 	0	0	 	2	0.24	 	17	2.02	 	5	0.59	 	843	96.56	 	30	3.44	 	873	1.09
Austral		                                    	27	1.85	 	713	48.97	 	27	1.85	 	6	0.41	 	4	0.27	 	24	1.65	 	437	30.01	 	69	4.74	 	2	0.14	 	76	5.22	 	0	0	 	5	0.34	 	0	0	 	2	0.14	 	3	0.21	 	4	0.27	 	6	0.41	 	49	3.37	 	2	0.14	 	1456	92.39	 	120	7.61	 	1576	1.97
Badgerys Creek		                             	6	2.42	 	125	50.4	 	2	0.81	 	1	0.4	 	0	0	 	5	2.02	 	79	31.85	 	19	7.66	 	0	0	 	4	1.61	 	0	0	 	1	0.4	 	0	0	 	1	0.4	 	0	0	 	0	0	 	1	0.4	 	1	0.4	 	3	1.21	 	248	92.88	 	19	7.12	 	267	0.33
Bargo		                                      	35	2.13	 	589	35.91	 	44	2.68	 	1	0.06	 	4	0.24	 	55	3.35	 	625	38.11	 	183	11.16	 	2	0.12	 	36	2.2	 	0	0	 	9	0.55	 	0	0	 	3	0.18	 	1	0.06	 	1	0.06	 	10	0.61	 	40	2.44	 	2	0.12	 	1640	96.93	 	52	3.07	 	1692	2.12
Berrima		                                    	5	1.36	 	216	58.86	 	7	1.91	 	0	0	 	0	0	 	2	0.54	 	79	21.53	 	32	8.72	 	0	0	 	10	2.72	 	0	0	 	2	0.54	 	0	0	 	0	0	 	2	0.54	 	1	0.27	 	0	0	 	11	3	 	0	0	 	367	97.09	 	11	2.91	 	378	0.47
Bowral		                                     	19	0.62	 	1840	60.27	 	108	3.54	 	4	0.13	 	5	0.16	 	46	1.51	 	587	19.23	 	321	10.51	 	2	0.07	 	21	0.69	 	0	0	 	8	0.26	 	0	0	 	1	0.03	 	6	0.2	 	3	0.1	 	5	0.16	 	73	2.39	 	4	0.13	 	3053	97.35	 	83	2.65	 	3136	3.92
Bowral South		                               	12	0.69	 	958	55.41	 	40	2.31	 	1	0.06	 	4	0.23	 	29	1.68	 	426	24.64	 	160	9.25	 	2	0.12	 	20	1.16	 	0	0	 	6	0.35	 	1	0.06	 	1	0.06	 	2	0.12	 	2	0.12	 	2	0.12	 	62	3.59	 	1	0.06	 	1729	97.41	 	46	2.59	 	1775	2.22
Bradbury		                                   	72	1.79	 	1572	39.13	 	87	2.17	 	3	0.07	 	8	0.2	 	150	3.73	 	1387	34.53	 	515	12.82	 	2	0.05	 	68	1.69	 	0	0	 	14	0.35	 	1	0.02	 	7	0.17	 	5	0.12	 	1	0.02	 	25	0.62	 	86	2.14	 	14	0.35	 	4017	96.82	 	132	3.18	 	4149	5.19
Bradbury East		                              	0	0	 	25	29.41	 	2	2.35	 	0	0	 	0	0	 	1	1.18	 	43	50.59	 	9	10.59	 	0	0	 	3	3.53	 	0	0	 	1	1.18	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.18	 	0	0	 	85	93.41	 	6	6.59	 	91	0.11
Bradbury South		                             	38	1.96	 	698	35.92	 	40	2.06	 	2	0.1	 	3	0.15	 	65	3.35	 	802	41.28	 	184	9.47	 	3	0.15	 	29	1.49	 	0	0	 	9	0.46	 	0	0	 	4	0.21	 	1	0.05	 	2	0.1	 	17	0.87	 	37	1.9	 	9	0.46	 	1943	96.96	 	61	3.04	 	2004	2.51
Bringelly		                                  	16	1.4	 	654	57.22	 	27	2.36	 	9	0.79	 	2	0.17	 	27	2.36	 	237	20.73	 	90	7.87	 	1	0.09	 	38	3.32	 	0	0	 	5	0.44	 	0	0	 	0	0	 	2	0.17	 	0	0	 	8	0.7	 	24	2.1	 	3	0.26	 	1143	93.77	 	76	6.23	 	1219	1.53
Buxton		                                     	10	1.36	 	235	32.02	 	19	2.59	 	1	0.14	 	2	0.27	 	24	3.27	 	303	41.28	 	83	11.31	 	1	0.14	 	23	3.13	 	0	0	 	7	0.95	 	0	0	 	3	0.41	 	1	0.14	 	1	0.14	 	5	0.68	 	16	2.18	 	0	0	 	734	97.22	 	21	2.78	 	755	0.94
Camden		                                     	34	1.83	 	1063	57.12	 	44	2.36	 	5	0.27	 	6	0.32	 	35	1.88	 	361	19.4	 	200	10.75	 	0	0	 	40	2.15	 	1	0.05	 	7	0.38	 	0	0	 	3	0.16	 	0	0	 	0	0	 	4	0.21	 	43	2.31	 	15	0.81	 	1861	97.49	 	48	2.51	 	1909	2.39
Camden Downs		                               	13	1.51	 	402	46.64	 	17	1.97	 	0	0	 	1	0.12	 	29	3.36	 	250	29	 	94	10.9	 	0	0	 	12	1.39	 	1	0.12	 	3	0.35	 	0	0	 	1	0.12	 	1	0.12	 	0	0	 	2	0.23	 	34	3.94	 	2	0.23	 	862	95.57	 	40	4.43	 	902	1.13
Camden East		                                	20	1.28	 	702	44.77	 	43	2.74	 	3	0.19	 	2	0.13	 	41	2.61	 	480	30.61	 	160	10.2	 	2	0.13	 	25	1.59	 	0	0	 	2	0.13	 	1	0.06	 	4	0.26	 	2	0.13	 	0	0	 	6	0.38	 	69	4.4	 	6	0.38	 	1568	96.85	 	51	3.15	 	1619	2.03
Camden Hospital		                            	3	0.85	 	184	51.83	 	4	1.13	 	0	0	 	4	1.13	 	4	1.13	 	98	27.61	 	38	10.7	 	1	0.28	 	5	1.41	 	1	0.28	 	2	0.56	 	0	0	 	0	0	 	1	0.28	 	0	0	 	2	0.56	 	7	1.97	 	1	0.28	 	355	99.16	 	3	0.84	 	358	0.45
Camden South		                               	51	1.8	 	1394	49.14	 	77	2.71	 	5	0.18	 	3	0.11	 	80	2.82	 	715	25.2	 	302	10.65	 	5	0.18	 	68	2.4	 	0	0	 	8	0.28	 	1	0.04	 	0	0	 	2	0.07	 	5	0.18	 	12	0.42	 	98	3.45	 	11	0.39	 	2837	96.99	 	88	3.01	 	2925	3.66
Campbelltown Hospital		                      	3	3.3	 	39	42.86	 	0	0	 	2	2.2	 	0	0	 	1	1.1	 	28	30.77	 	13	14.29	 	0	0	 	0	0	 	0	0	 	1	1.1	 	0	0	 	0	0	 	0	0	 	2	2.2	 	0	0	 	2	2.2	 	0	0	 	91	97.85	 	2	2.15	 	93	0.12
Carrington Hospital		                        	5	1.52	 	193	58.66	 	7	2.13	 	0	0	 	3	0.91	 	4	1.22	 	82	24.92	 	20	6.08	 	0	0	 	2	0.61	 	0	0	 	1	0.3	 	0	0	 	0	0	 	1	0.3	 	0	0	 	0	0	 	11	3.34	 	0	0	 	329	95.09	 	17	4.91	 	346	0.43
Catherine Field		                            	10	1.3	 	430	55.84	 	9	1.17	 	2	0.26	 	0	0	 	16	2.08	 	216	28.05	 	50	6.49	 	0	0	 	16	2.08	 	0	0	 	6	0.78	 	1	0.13	 	0	0	 	2	0.26	 	0	0	 	3	0.39	 	7	0.91	 	2	0.26	 	770	94.36	 	46	5.64	 	816	1.02
Cawdor		                                     	2	0.47	 	287	67.21	 	8	1.87	 	0	0	 	2	0.47	 	8	1.87	 	59	13.82	 	38	8.9	 	0	0	 	12	2.81	 	0	0	 	0	0	 	0	0	 	1	0.23	 	2	0.47	 	0	0	 	0	0	 	7	1.64	 	1	0.23	 	427	98.39	 	7	1.61	 	434	0.54
Cecil Hills		                                	3	0.98	 	111	36.39	 	2	0.66	 	7	2.3	 	1	0.33	 	3	0.98	 	148	48.52	 	16	5.25	 	1	0.33	 	5	1.64	 	0	0	 	1	0.33	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.98	 	3	0.98	 	1	0.33	 	305	97.13	 	9	2.87	 	314	0.39
Cobbitty		                                   	2	0.29	 	422	62.06	 	16	2.35	 	0	0	 	1	0.15	 	8	1.18	 	114	16.76	 	59	8.68	 	2	0.29	 	25	3.68	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.15	 	1	0.15	 	27	3.97	 	2	0.29	 	680	98.55	 	10	1.45	 	690	0.86
Colo Vale		                                  	6	0.88	 	316	46.27	 	23	3.37	 	1	0.15	 	1	0.15	 	17	2.49	 	197	28.84	 	67	9.81	 	0	0	 	28	4.1	 	0	0	 	6	0.88	 	1	0.15	 	0	0	 	0	0	 	0	0	 	4	0.59	 	16	2.34	 	0	0	 	683	96.74	 	23	3.26	 	706	0.88
Currans Hill		                               	12	2.15	 	179	32.14	 	6	1.08	 	1	0.18	 	0	0	 	17	3.05	 	244	43.81	 	61	10.95	 	0	0	 	8	1.44	 	0	0	 	3	0.54	 	0	0	 	0	0	 	0	0	 	0	0	 	6	1.08	 	18	3.23	 	2	0.36	 	557	98.41	 	9	1.59	 	566	0.71
Douglas Park		                               	12	1.85	 	322	49.54	 	10	1.54	 	2	0.31	 	0	0	 	40	6.15	 	158	24.31	 	70	10.77	 	0	0	 	13	2	 	0	0	 	2	0.31	 	0	0	 	0	0	 	1	0.15	 	0	0	 	3	0.46	 	11	1.69	 	6	0.92	 	650	97.89	 	14	2.11	 	664	0.83
Glen Alpine		                                	3	0.34	 	282	32.27	 	24	2.75	 	1	0.11	 	2	0.23	 	32	3.66	 	384	43.94	 	88	10.07	 	1	0.11	 	14	1.6	 	1	0.11	 	5	0.57	 	0	0	 	0	0	 	3	0.34	 	0	0	 	8	0.92	 	23	2.63	 	3	0.34	 	874	97.44	 	23	2.56	 	897	1.12
Glenquarry		                                 	2	2.15	 	56	60.22	 	1	1.08	 	0	0	 	0	0	 	2	2.15	 	17	18.28	 	8	8.6	 	0	0	 	3	3.23	 	0	0	 	1	1.08	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	3.23	 	0	0	 	93	100	 	0	0	 	93	0.12
Harbison Village		                           	0	0	 	207	67.87	 	6	1.97	 	0	0	 	1	0.33	 	2	0.66	 	48	15.74	 	25	8.2	 	0	0	 	0	0	 	0	0	 	2	0.66	 	0	0	 	1	0.33	 	0	0	 	1	0.33	 	0	0	 	10	3.28	 	2	0.66	 	305	95.31	 	15	4.69	 	320	0.4
Hilltop		                                    	14	1.6	 	302	34.59	 	31	3.55	 	2	0.23	 	2	0.23	 	11	1.26	 	317	36.31	 	112	12.83	 	2	0.23	 	22	2.52	 	0	0	 	7	0.8	 	0	0	 	4	0.46	 	0	0	 	0	0	 	6	0.69	 	41	4.7	 	0	0	 	873	96.25	 	34	3.75	 	907	1.13
Hurley Park (Macarthur)		                    	8	1.99	 	160	39.8	 	8	1.99	 	2	0.5	 	1	0.25	 	18	4.48	 	157	39.05	 	27	6.72	 	0	0	 	2	0.5	 	0	0	 	1	0.25	 	1	0.25	 	0	0	 	0	0	 	0	0	 	3	0.75	 	13	3.23	 	1	0.25	 	402	96.17	 	16	3.83	 	418	0.52
Kangaloon		                                  	2	1.23	 	104	63.8	 	7	4.29	 	0	0	 	0	0	 	5	3.07	 	28	17.18	 	12	7.36	 	0	0	 	2	1.23	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.61	 	1	0.61	 	1	0.61	 	163	96.45	 	6	3.55	 	169	0.21
Kemps Creek		                                	11	1.48	 	392	52.83	 	7	0.94	 	7	0.94	 	2	0.27	 	11	1.48	 	213	28.71	 	47	6.33	 	0	0	 	40	5.39	 	0	0	 	3	0.4	 	0	0	 	0	0	 	1	0.13	 	1	0.13	 	3	0.4	 	3	0.4	 	1	0.13	 	742	92.29	 	62	7.71	 	804	1.01
Leppington		                                 	19	1.71	 	617	55.49	 	12	1.08	 	4	0.36	 	6	0.54	 	17	1.53	 	286	25.72	 	64	5.76	 	0	0	 	54	4.86	 	1	0.09	 	5	0.45	 	0	0	 	1	0.09	 	0	0	 	2	0.18	 	5	0.45	 	17	1.53	 	2	0.18	 	1112	93.29	 	80	6.71	 	1192	1.49
Luddenham		                                  	4	1.03	 	225	58.14	 	1	0.26	 	2	0.52	 	0	0	 	7	1.81	 	72	18.6	 	34	8.79	 	1	0.26	 	33	8.53	 	0	0	 	2	0.52	 	0	0	 	0	0	 	2	0.52	 	0	0	 	1	0.26	 	2	0.52	 	1	0.26	 	387	95.09	 	20	4.91	 	407	0.51
Menangle		                                   	3	1.23	 	119	48.97	 	9	3.7	 	0	0	 	0	0	 	4	1.65	 	72	29.63	 	22	9.05	 	1	0.41	 	3	1.23	 	0	0	 	1	0.41	 	1	0.41	 	0	0	 	0	0	 	0	0	 	2	0.82	 	6	2.47	 	0	0	 	243	97.98	 	5	2.02	 	248	0.31
Menangle Park		                              	2	0.75	 	165	62.26	 	6	2.26	 	0	0	 	0	0	 	5	1.89	 	58	21.89	 	18	6.79	 	0	0	 	4	1.51	 	0	0	 	1	0.38	 	0	0	 	0	0	 	0	0	 	1	0.38	 	1	0.38	 	2	0.75	 	2	0.75	 	265	97.07	 	8	2.93	 	273	0.34
Mittagong		                                  	28	1.12	 	1191	47.43	 	80	3.19	 	1	0.04	 	5	0.2	 	35	1.39	 	753	29.99	 	259	10.31	 	1	0.04	 	50	1.99	 	0	0	 	8	0.32	 	0	0	 	2	0.08	 	4	0.16	 	1	0.04	 	13	0.52	 	75	2.99	 	5	0.2	 	2511	96.84	 	82	3.16	 	2593	3.24
Mittagong South		                            	3	0.39	 	451	57.89	 	18	2.31	 	0	0	 	2	0.26	 	8	1.03	 	172	22.08	 	62	7.96	 	0	0	 	14	1.8	 	0	0	 	3	0.39	 	0	0	 	1	0.13	 	1	0.13	 	0	0	 	3	0.39	 	38	4.88	 	3	0.39	 	779	97.86	 	17	2.14	 	796	1
Mount Annan		                                	27	1.55	 	655	37.58	 	40	2.29	 	1	0.06	 	2	0.11	 	42	2.41	 	658	37.75	 	205	11.76	 	0	0	 	32	1.84	 	0	0	 	6	0.34	 	0	0	 	1	0.06	 	2	0.11	 	0	0	 	9	0.52	 	60	3.44	 	3	0.17	 	1743	97.54	 	44	2.46	 	1787	2.24
Mount Hunter		                               	8	1.52	 	300	56.93	 	15	2.85	 	0	0	 	0	0	 	6	1.14	 	105	19.92	 	65	12.33	 	0	0	 	13	2.47	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.19	 	0	0	 	1	0.19	 	11	2.09	 	2	0.38	 	527	98.5	 	8	1.5	 	535	0.67
Narellan		                                   	41	1.98	 	907	43.9	 	41	1.98	 	4	0.19	 	5	0.24	 	60	2.9	 	653	31.61	 	226	10.94	 	3	0.15	 	50	2.42	 	0	0	 	11	0.53	 	0	0	 	3	0.15	 	3	0.15	 	0	0	 	13	0.63	 	42	2.03	 	4	0.19	 	2066	97.18	 	60	2.82	 	2126	2.66
Narellan Vale		                              	25	1.48	 	757	44.87	 	20	1.19	 	4	0.24	 	0	0	 	44	2.61	 	571	33.85	 	181	10.73	 	0	0	 	25	1.48	 	0	0	 	6	0.36	 	0	0	 	1	0.06	 	1	0.06	 	0	0	 	16	0.95	 	32	1.9	 	4	0.24	 	1687	97.74	 	39	2.26	 	1726	2.16
Oakdale		                                    	17	1.9	 	421	47.09	 	22	2.46	 	2	0.22	 	4	0.45	 	28	3.13	 	241	26.96	 	89	9.96	 	0	0	 	45	5.03	 	0	0	 	3	0.34	 	0	0	 	0	0	 	0	0	 	1	0.11	 	5	0.56	 	14	1.57	 	2	0.22	 	894	96.96	 	28	3.04	 	922	1.15
Orangeville		                                	5	1.18	 	276	65.25	 	8	1.89	 	1	0.24	 	0	0	 	9	2.13	 	51	12.06	 	34	8.04	 	1	0.24	 	20	4.73	 	0	0	 	0	0	 	1	0.24	 	1	0.24	 	0	0	 	0	0	 	0	0	 	16	3.78	 	0	0	 	423	98.37	 	7	1.63	 	430	0.54
Picton		                                     	25	1.32	 	797	42.15	 	53	2.8	 	3	0.16	 	6	0.32	 	52	2.75	 	601	31.78	 	220	11.63	 	1	0.05	 	40	2.12	 	1	0.05	 	5	0.26	 	1	0.05	 	3	0.16	 	5	0.26	 	0	0	 	7	0.37	 	68	3.6	 	3	0.16	 	1891	97.12	 	56	2.88	 	1947	2.44
Rosemeadow		                                 	50	1.79	 	762	27.3	 	71	2.54	 	8	0.29	 	2	0.07	 	111	3.98	 	1356	48.58	 	306	10.96	 	0	0	 	32	1.15	 	0	0	 	20	0.72	 	1	0.04	 	10	0.36	 	1	0.04	 	2	0.07	 	19	0.68	 	37	1.33	 	3	0.11	 	2791	95.19	 	141	4.81	 	2932	3.67
Rossmore		                                   	18	1.7	 	599	56.56	 	10	0.94	 	3	0.28	 	0	0	 	19	1.79	 	235	22.19	 	75	7.08	 	1	0.09	 	61	5.76	 	0	0	 	5	0.47	 	0	0	 	1	0.09	 	2	0.19	 	4	0.38	 	5	0.47	 	18	1.7	 	3	0.28	 	1059	93.55	 	73	6.45	 	1132	1.42
St Helens Park		                             	8	1.13	 	200	28.21	 	13	1.83	 	2	0.28	 	0	0	 	24	3.39	 	335	47.25	 	88	12.41	 	1	0.14	 	15	2.12	 	0	0	 	2	0.28	 	0	0	 	0	0	 	0	0	 	0	0	 	10	1.41	 	11	1.55	 	0	0	 	709	96.86	 	23	3.14	 	732	0.92
Silverdale		                                 	11	1.75	 	375	59.81	 	8	1.28	 	3	0.48	 	1	0.16	 	15	2.39	 	121	19.3	 	48	7.66	 	1	0.16	 	25	3.99	 	0	0	 	2	0.32	 	0	0	 	0	0	 	1	0.16	 	0	0	 	3	0.48	 	13	2.07	 	0	0	 	627	97.82	 	14	2.18	 	641	0.8
Sydney (Macarthur)		                         	1	1.16	 	25	29.07	 	5	5.81	 	0	0	 	0	0	 	0	0	 	36	41.86	 	18	20.93	 	0	0	 	1	1.16	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	86	98.85	 	1	1.15	 	87	0.11
Tahmoor		                                    	37	1.51	 	999	40.76	 	53	2.16	 	3	0.12	 	5	0.2	 	74	3.02	 	812	33.13	 	261	10.65	 	3	0.12	 	96	3.92	 	2	0.08	 	11	0.45	 	2	0.08	 	1	0.04	 	1	0.04	 	3	0.12	 	8	0.33	 	72	2.94	 	8	0.33	 	2451	96.84	 	80	3.16	 	2531	3.17
The Oaks		                                   	22	1.52	 	741	51.14	 	26	1.79	 	2	0.14	 	1	0.07	 	30	2.07	 	362	24.98	 	173	11.94	 	0	0	 	59	4.07	 	0	0	 	6	0.41	 	0	0	 	0	0	 	0	0	 	0	0	 	8	0.55	 	16	1.1	 	3	0.21	 	1449	97.97	 	30	2.03	 	1479	1.85
Theresa Park		                               	5	1.4	 	224	62.92	 	3	0.84	 	0	0	 	0	0	 	7	1.97	 	63	17.7	 	30	8.43	 	2	0.56	 	8	2.25	 	0	0	 	0	0	 	0	0	 	1	0.28	 	1	0.28	 	0	0	 	1	0.28	 	11	3.09	 	0	0	 	356	99.16	 	3	0.84	 	359	0.45
Thirlmere		                                  	24	1.37	 	727	41.52	 	42	2.4	 	4	0.23	 	4	0.23	 	62	3.54	 	566	32.32	 	222	12.68	 	0	0	 	40	2.28	 	0	0	 	5	0.29	 	0	0	 	4	0.23	 	4	0.23	 	0	0	 	14	0.8	 	30	1.71	 	3	0.17	 	1751	96.69	 	60	3.31	 	1811	2.27
Wallacia		                                   	16	2.46	 	292	44.85	 	8	1.23	 	5	0.77	 	2	0.31	 	13	2	 	178	27.34	 	62	9.52	 	1	0.15	 	25	3.84	 	0	0	 	6	0.92	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.61	 	35	5.38	 	4	0.61	 	651	95.45	 	31	4.55	 	682	0.85
Warragamba		                                 	21	1.37	 	615	40.01	 	41	2.67	 	14	0.91	 	0	0	 	36	2.34	 	557	36.24	 	149	9.69	 	1	0.07	 	57	3.71	 	0	0	 	5	0.33	 	0	0	 	1	0.07	 	1	0.07	 	1	0.07	 	12	0.78	 	25	1.63	 	1	0.07	 	1537	95.64	 	70	4.36	 	1607	2.01
Wedderburn		                                 	3	1.12	 	152	56.51	 	14	5.2	 	0	0	 	1	0.37	 	10	3.72	 	38	14.13	 	41	15.24	 	0	0	 	2	0.74	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.37	 	1	0.37	 	6	2.23	 	0	0	 	269	96.07	 	11	3.93	 	280	0.35
Welby		                                      	10	1.76	 	241	42.43	 	22	3.87	 	2	0.35	 	2	0.35	 	5	0.88	 	173	30.46	 	61	10.74	 	0	0	 	16	2.82	 	1	0.18	 	2	0.35	 	0	0	 	1	0.18	 	1	0.18	 	2	0.35	 	2	0.35	 	27	4.75	 	0	0	 	568	96.43	 	21	3.57	 	589	0.74
West Hoxton		                                	7	1.41	 	257	51.61	 	6	1.2	 	6	1.2	 	1	0.2	 	7	1.41	 	145	29.12	 	27	5.42	 	0	0	 	15	3.01	 	0	0	 	1	0.2	 	0	0	 	0	0	 	3	0.6	 	0	0	 	1	0.2	 	22	4.42	 	0	0	 	498	91.21	 	48	8.79	 	546	0.68
Wilton		                                     	12	1.88	 	276	43.13	 	16	2.5	 	0	0	 	3	0.47	 	17	2.66	 	191	29.84	 	86	13.44	 	1	0.16	 	20	3.13	 	0	0	 	2	0.31	 	0	0	 	0	0	 	2	0.31	 	0	0	 	2	0.31	 	10	1.56	 	2	0.31	 	640	96.97	 	20	3.03	 	660	0.83
Yanderra		                                   	2	0.8	 	79	31.47	 	4	1.59	 	0	0	 	2	0.8	 	6	2.39	 	102	40.64	 	30	11.95	 	0	0	 	11	4.38	 	0	0	 	2	0.8	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.4	 	12	4.78	 	0	0	 	251	98.82	 	3	1.18	 	254	0.32
Yerrinbool		                                 	4	0.87	 	159	34.72	 	11	2.4	 	0	0	 	3	0.66	 	10	2.18	 	167	36.46	 	65	14.19	 	2	0.44	 	14	3.06	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.44	 	21	4.59	 	0	0	 	458	96.62	 	16	3.38	 	474	0.59
Special Hospitals		                          	3	0.7	 	304	71.03	 	1	0.23	 	0	0	 	0	0	 	0	0	 	100	23.36	 	13	3.04	 	4	0.93	 	1	0.23	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.23	 	0	0	 	0	0	 	1	0.23	 	0	0	 	428	95.96	 	18	4.04	 	446	0.56
Total Ordinary		                             	997	1.47	 	30715	45.42	 	1524	2.25	 	147	0.22	 	130	0.19	 	1713	2.53	 	21145	31.27	 	6895	10.2	 	57	0.08	 	1619	2.39	 	9	0.01	 	271	0.4	 	13	0.02	 	69	0.1	 	79	0.12	 	45	0.07	 	343	0.51	 	1692	2.5	 	163	0.24	 	67626	96.54	 	2426	3.46	 	70052	87.66
ABSENT		                                     	73	1.44	 	1994	39.27	 	188	3.7	 	20	0.39	 	7	0.14	 	130	2.56	 	1836	36.16	 	491	9.67	 	5	0.1	 	124	2.44	 	0	0	 	37	0.73	 	2	0.04	 	4	0.08	 	10	0.2	 	5	0.1	 	51	1	 	96	1.89	 	5	0.1	 	5078	97.86	 	111	2.14	 	5189	6.49
POSTAL		                                     	23	1.51	 	763	49.93	 	28	1.83	 	2	0.13	 	11	0.72	 	37	2.42	 	457	29.91	 	135	8.84	 	2	0.13	 	18	1.18	 	0	0	 	7	0.46	 	0	0	 	0	0	 	2	0.13	 	0	0	 	9	0.59	 	31	2.03	 	3	0.2	 	1528	99.03	 	15	0.97	 	1543	1.93
PRE_POLL		                                   	35	1.44	 	1230	50.64	 	78	3.21	 	2	0.08	 	6	0.25	 	36	1.48	 	483	19.88	 	330	13.59	 	87	3.58	 	33	1.36	 	13	0.54	 	9	0.37	 	2	0.08	 	5	0.21	 	3	0.12	 	1	0.04	 	14	0.58	 	60	2.47	 	2	0.08	 	2429	98.62	 	34	1.38	 	2463	3.08
PROVISIONAL		                                	10	1.54	 	237	36.57	 	30	4.63	 	1	0.15	 	0	0	 	29	4.48	 	227	35.03	 	56	8.64	 	0	0	 	27	4.17	 	1	0.15	 	5	0.77	 	1	0.15	 	1	0.15	 	0	0	 	0	0	 	11	1.7	 	11	1.7	 	1	0.15	 	648	97.3	 	18	2.7	 	666	0.83
ADJUSTMENT		                                 	0		       	1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-1		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	1138	1.47	 	34940	45.2	 	1848	2.39	 	172	0.22	 	154	0.2	 	1945	2.52	 	24148	31.24	 	7907	10.23	 	151	0.2	 	1821	2.36	 	23	0.03	 	329	0.43	 	18	0.02	 	79	0.1	 	93	0.12	 	51	0.07	 	428	0.55	 	1890	2.44	 	174	0.23	 	77309	96.74	 	2604	3.26	 	79913	97.19
 																																																																			


Mackellar (80181)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Avalon		                                     	34	0.8	 	2243	52.6	 	209	4.9	 	2	0.05	 	8	0.19	 	152	3.56	 	812	19.04	 	661	15.5	 	1	0.02	 	23	0.54	 	0	0	 	16	0.38	 	1	0.02	 	5	0.12	 	7	0.16	 	7	0.16	 	15	0.35	 	59	1.38	 	9	0.21	 	4264	97.8	 	96	2.2	 	4360	5.62
Barrenjoey		                                 	18	1.07	 	841	49.76	 	90	5.33	 	4	0.24	 	2	0.12	 	67	3.96	 	318	18.82	 	295	17.46	 	2	0.12	 	15	0.89	 	0	0	 	2	0.12	 	0	0	 	2	0.12	 	4	0.24	 	0	0	 	3	0.18	 	20	1.18	 	7	0.41	 	1690	96.74	 	57	3.26	 	1747	2.25
Bayview		                                    	9	0.57	 	1026	65.18	 	59	3.75	 	1	0.06	 	0	0	 	34	2.16	 	183	11.63	 	223	14.17	 	8	0.51	 	0	0	 	2	0.13	 	1	0.06	 	0	0	 	0	0	 	0	0	 	2	0.13	 	2	0.13	 	22	1.4	 	2	0.13	 	1574	98.93	 	17	1.07	 	1591	2.05
Beacon Hill (Mackellar)		                    	17	0.85	 	1080	54.05	 	52	2.6	 	2	0.1	 	5	0.25	 	65	3.25	 	416	20.82	 	276	13.81	 	3	0.15	 	8	0.4	 	0	0	 	7	0.35	 	2	0.1	 	1	0.05	 	2	0.1	 	2	0.1	 	9	0.45	 	51	2.55	 	0	0	 	1998	96.71	 	68	3.29	 	2066	2.66
Belrose (Mackellar)		                        	25	1.21	 	1251	60.64	 	40	1.94	 	4	0.19	 	3	0.15	 	52	2.52	 	347	16.82	 	244	11.83	 	0	0	 	20	0.97	 	0	0	 	5	0.24	 	0	0	 	1	0.05	 	4	0.19	 	2	0.1	 	7	0.34	 	55	2.67	 	3	0.15	 	2063	97.73	 	48	2.27	 	2111	2.72
