Senate -  1998 Election: Queensland																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.																																																																												
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’																																																																												

Blair (74211)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Toolooa		                                    	2	0.44	 	0	0	 	0	0	 	1	0.22	 	93	20.26	 	1	0.22	 	7	1.53	 	0	0	 	68	14.81	 	0	0	 	2	0.44	 	1	0.22	 	0	0	 	31	6.75	 	0	0	 	210	45.75	 	29	6.32	 	3	0.65	 	0	0	 	1	0.22	 	10	2.18	 	0	0	 	459	97.45	 	12	2.55	 	471	0.63
Ubobo		                                      	3	3.45	 	0	0	 	0	0	 	0	0	 	33	37.93	 	1	1.15	 	0	0	 	0	0	 	19	21.84	 	3	3.45	 	0	0	 	0	0	 	0	0	 	4	4.6	 	1	1.15	 	19	21.84	 	3	3.45	 	0	0	 	0	0	 	1	1.15	 	0	0	 	0	0	 	87	94.57	 	5	5.43	 	92	0.12
Walkervale		                                 	16	0.81	 	1	0.05	 	1	0.05	 	4	0.2	 	463	23.38	 	5	0.25	 	30	1.52	 	4	0.2	 	354	17.88	 	4	0.2	 	12	0.61	 	3	0.15	 	1	0.05	 	94	4.75	 	8	0.4	 	825	41.67	 	122	6.16	 	9	0.45	 	0	0	 	4	0.2	 	18	0.91	 	2	0.1	 	1980	97.25	 	56	2.75	 	2036	2.72
Wartburg		                                   	1	0.48	 	0	0	 	0	0	 	2	0.96	 	48	22.97	 	0	0	 	0	0	 	1	0.48	 	73	34.93	 	3	1.44	 	1	0.48	 	2	0.96	 	0	0	 	11	5.26	 	0	0	 	50	23.92	 	9	4.31	 	2	0.96	 	0	0	 	0	0	 	6	2.87	 	0	0	 	209	98.12	 	4	1.88	 	213	0.28
Woodgate		                                   	1	0.23	 	0	0	 	0	0	 	1	0.23	 	152	34.7	 	2	0.46	 	3	0.68	 	2	0.46	 	93	21.23	 	0	0	 	5	1.14	 	0	0	 	0	0	 	38	8.68	 	0	0	 	111	25.34	 	25	5.71	 	1	0.23	 	0	0	 	1	0.23	 	3	0.68	 	0	0	 	438	95.01	 	23	4.99	 	461	0.62
Woongarra		                                  	3	0.37	 	1	0.12	 	0	0	 	4	0.49	 	280	34.15	 	2	0.24	 	8	0.98	 	1	0.12	 	176	21.46	 	6	0.73	 	3	0.37	 	1	0.12	 	1	0.12	 	37	4.51	 	3	0.37	 	213	25.98	 	65	7.93	 	3	0.37	 	0	0	 	3	0.37	 	10	1.22	 	0	0	 	820	99.51	 	4	0.49	 	824	1.1
Yandaran		                                   	2	0.48	 	0	0	 	0	0	 	1	0.24	 	138	33.09	 	0	0	 	1	0.24	 	1	0.24	 	144	34.53	 	0	0	 	0	0	 	0	0	 	0	0	 	11	2.64	 	0	0	 	98	23.5	 	17	4.08	 	0	0	 	0	0	 	1	0.24	 	2	0.48	 	1	0.24	 	417	94.56	 	24	5.44	 	441	0.59
Yarroon		                                    	11	0.79	 	0	0	 	1	0.07	 	7	0.5	 	267	19.25	 	6	0.43	 	21	1.51	 	3	0.22	 	247	17.81	 	1	0.07	 	6	0.43	 	2	0.14	 	1	0.07	 	61	4.4	 	8	0.58	 	601	43.33	 	122	8.8	 	4	0.29	 	1	0.07	 	1	0.07	 	16	1.15	 	0	0	 	1387	98.02	 	28	1.98	 	1415	1.89
Yarwun		                                     	3	0.97	 	0	0	 	0	0	 	2	0.65	 	88	28.48	 	0	0	 	3	0.97	 	0	0	 	88	28.48	 	1	0.32	 	2	0.65	 	0	0	 	0	0	 	15	4.85	 	0	0	 	87	28.16	 	14	4.53	 	0	0	 	0	0	 	1	0.32	 	5	1.62	 	0	0	 	309	95.37	 	15	4.63	 	324	0.43
Special Hospitals		                          	2	0.44	 	0	0	 	0	0	 	1	0.22	 	169	36.98	 	3	0.66	 	1	0.22	 	1	0.22	 	59	12.91	 	3	0.66	 	1	0.22	 	1	0.22	 	3	0.66	 	10	2.19	 	0	0	 	168	36.76	 	33	7.22	 	1	0.22	 	0	0	 	0	0	 	1	0.22	 	0	0	 	457	96.41	 	17	3.59	 	474	0.63
Total Ordinary		                             	409	0.68	 	27	0.05	 	23	0.04	 	198	0.33	 	14383	24.05	 	177	0.3	 	819	1.37	 	87	0.15	 	11758	19.66	 	97	0.16	 	283	0.47	 	59	0.1	 	73	0.12	 	2914	4.87	 	117	0.2	 	22125	37	 	5075	8.49	 	240	0.4	 	12	0.02	 	108	0.18	 	781	1.31	 	31	0.05	 	59796	96.54	 	2142	3.46	 	61938	82.87
ABSENT		                                     	15	0.35	 	2	0.05	 	6	0.14	 	25	0.58	 	642	14.82	 	19	0.44	 	52	1.2	 	4	0.09	 	883	20.39	 	8	0.18	 	21	0.48	 	6	0.14	 	1	0.02	 	272	6.28	 	9	0.21	 	1472	33.99	 	756	17.46	 	24	0.55	 	2	0.05	 	7	0.16	 	102	2.36	 	3	0.07	 	4331	98.5	 	66	1.5	 	4397	5.88
POSTAL		                                     	14	0.43	 	2	0.06	 	0	0	 	8	0.25	 	890	27.27	 	4	0.12	 	45	1.38	 	7	0.21	 	619	18.96	 	3	0.09	 	4	0.12	 	1	0.03	 	2	0.06	 	141	4.32	 	8	0.25	 	1109	33.98	 	350	10.72	 	11	0.34	 	0	0	 	2	0.06	 	42	1.29	 	2	0.06	 	3264	97.81	 	73	2.19	 	3337	4.46
PRE_POLL		                                   	11	0.24	 	0	0	 	7	0.15	 	22	0.48	 	1098	23.74	 	9	0.19	 	61	1.32	 	6	0.13	 	894	19.33	 	10	0.22	 	20	0.43	 	8	0.17	 	7	0.15	 	204	4.41	 	15	0.32	 	1612	34.85	 	536	11.59	 	23	0.5	 	0	0	 	10	0.22	 	66	1.43	 	6	0.13	 	4625	98.76	 	58	1.24	 	4683	6.27
PROVISIONAL		                                	2	0.54	 	0	0	 	1	0.27	 	5	1.36	 	53	14.4	 	0	0	 	3	0.82	 	0	0	 	77	20.92	 	0	0	 	5	1.36	 	1	0.27	 	0	0	 	10	2.72	 	2	0.54	 	169	45.92	 	30	8.15	 	2	0.54	 	0	0	 	1	0.27	 	7	1.9	 	0	0	 	368	96.34	 	14	3.66	 	382	0.51
Division Summary		                           	451	0.62	 	31	0.04	 	37	0.05	 	258	0.36	 	17066	23.58	 	209	0.29	 	980	1.35	 	104	0.14	 	14231	19.66	 	118	0.16	 	333	0.46	 	75	0.1	 	83	0.11	 	3541	4.89	 	151	0.21	 	26487	36.59	 	6747	9.32	 	300	0.41	 	14	0.02	 	128	0.18	 	998	1.38	 	42	0.06	 	72384	96.85	 	2353	3.15	 	74737	95.41


Kennedy (84340)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Abergowrie		                                 	0	0	 	0	0	 	0	0	 	2	0.98	 	110	53.92	 	1	0.49	 	0	0	 	0	0	 	40	19.61	 	0	0	 	1	0.49	 	1	0.49	 	0	0	 	5	2.45	 	0	0	 	22	10.78	 	21	10.29	 	1	0.49	 	0	0	 	0	0	 	0	0	 	0	0	 	204	96.68	 	7	3.32	 	211	0.27
Aloomba		                                    	0	0	 	0	0	 	0	0	 	0	0	 	88	38.26	 	1	0.43	 	5	2.17	 	0	0	 	58	25.22	 	0	0	 	1	0.43	 	1	0.43	 	0	0	 	7	3.04	 	0	0	 	51	22.17	 	16	6.96	 	0	0	 	0	0	 	0	0	 	2	0.87	 	0	0	 	230	93.12	 	17	6.88	 	247	0.31
Atherton		                                   	19	0.93	 	0	0	 	0	0	 	9	0.44	 	539	26.29	 	6	0.29	 	23	1.12	 	2	0.1	 	520	25.37	 	5	0.24	 	12	0.59	 	3	0.15	 	1	0.05	 	115	5.61	 	4	0.2	 	520	25.37	 	228	11.12	 	5	0.24	 	1	0.05	 	6	0.29	 	31	1.51	 	1	0.05	 	2050	95	 	108	5	 	2158	2.74
Atherton North		                             	4	0.34	 	1	0.08	 	0	0	 	4	0.34	 	349	29.58	 	5	0.42	 	10	0.85	 	4	0.34	 	275	23.31	 	2	0.17	 	5	0.42	 	2	0.17	 	1	0.08	 	92	7.8	 	3	0.25	 	250	21.19	 	158	13.39	 	4	0.34	 	0	0	 	1	0.08	 	9	0.76	 	1	0.08	 	1180	96.56	 	42	3.44	 	1222	1.55
Babinda		                                    	4	0.47	 	0	0	 	0	0	 	7	0.82	 	203	23.88	 	1	0.12	 	14	1.65	 	2	0.24	 	167	19.65	 	1	0.12	 	5	0.59	 	1	0.12	 	2	0.24	 	36	4.24	 	1	0.12	 	332	39.06	 	34	4	 	4	0.47	 	1	0.12	 	21	2.47	 	14	1.65	 	0	0	 	850	97.37	 	23	2.63	 	873	1.11
Bambaroo		                                   	3	1.41	 	0	0	 	0	0	 	1	0.47	 	73	34.27	 	2	0.94	 	0	0	 	0	0	 	55	25.82	 	0	0	 	0	0	 	2	0.94	 	0	0	 	5	2.35	 	0	0	 	44	20.66	 	21	9.86	 	6	2.82	 	0	0	 	0	0	 	1	0.47	 	0	0	 	213	95.52	 	10	4.48	 	223	0.28
Bellenden Ker		                              	0	0	 	0	0	 	0	0	 	0	0	 	41	35.34	 	0	0	 	0	0	 	0	0	 	32	27.59	 	0	0	 	0	0	 	1	0.86	 	0	0	 	3	2.59	 	0	0	 	0	0	 	19	16.38	 	17	14.66	 	0	0	 	0	0	 	3	2.59	 	0	0	 	116	96.67	 	4	3.33	 	120	0.15
Biboohra		                                   	4	1.76	 	0	0	 	0	0	 	0	0	 	58	25.55	 	0	0	 	0	0	 	1	0.44	 	95	41.85	 	4	1.76	 	0	0	 	1	0.44	 	1	0.44	 	9	3.96	 	0	0	 	40	17.62	 	8	3.52	 	3	1.32	 	0	0	 	0	0	 	3	1.32	 	0	0	 	227	97.42	 	6	2.58	 	233	0.3
Bluewater		                                  	10	0.78	 	0	0	 	3	0.23	 	4	0.31	 	244	19	 	3	0.23	 	15	1.17	 	0	0	 	280	21.81	 	0	0	 	4	0.31	 	2	0.16	 	0	0	 	59	4.6	 	0	0	 	402	31.31	 	200	15.58	 	9	0.7	 	0	0	 	2	0.16	 	46	3.58	 	1	0.08	 	1284	96.91	 	41	3.09	 	1325	1.68
Boulia		                                     	3	1.69	 	0	0	 	0	0	 	1	0.56	 	62	34.83	 	2	1.12	 	3	1.69	 	0	0	 	25	14.04	 	0	0	 	2	1.12	 	1	0.56	 	0	0	 	1	0.56	 	0	0	 	55	30.9	 	23	12.92	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	178	93.68	 	12	6.32	 	190	0.24
Bramston Beach		                             	1	1.12	 	0	0	 	0	0	 	1	1.12	 	25	28.09	 	0	0	 	1	1.12	 	0	0	 	21	23.6	 	0	0	 	1	1.12	 	0	0	 	0	0	 	3	3.37	 	0	0	 	25	28.09	 	8	8.99	 	1	1.12	 	0	0	 	0	0	 	2	2.25	 	0	0	 	89	94.68	 	5	5.32	 	94	0.12
Brisbane City (Kennedy)		                    	0	0	 	0	0	 	0	0	 	0	0	 	10	18.18	 	0	0	 	0	0	 	0	0	 	6	10.91	 	0	0	 	0	0	 	0	0	 	0	0	 	7	12.73	 	0	0	 	15	27.27	 	17	30.91	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	55	98.21	 	1	1.79	 	56	0.07
Burketown		                                  	4	3.85	 	0	0	 	0	0	 	3	2.88	 	12	11.54	 	1	0.96	 	2	1.92	 	0	0	 	19	18.27	 	0	0	 	0	0	 	0	0	 	0	0	 	4	3.85	 	1	0.96	 	47	45.19	 	11	10.58	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	104	97.2	 	3	2.8	 	107	0.14
Butchers Creek		                             	0	0	 	0	0	 	0	0	 	2	1.49	 	28	20.9	 	1	0.75	 	0	0	 	1	0.75	 	58	43.28	 	0	0	 	1	0.75	 	1	0.75	 	0	0	 	12	8.96	 	0	0	 	18	13.43	 	7	5.22	 	1	0.75	 	0	0	 	0	0	 	4	2.99	 	0	0	 	134	100	 	0	0	 	134	0.17
Camooweal		                                  	1	1.16	 	0	0	 	0	0	 	3	3.49	 	19	22.09	 	0	0	 	0	0	 	0	0	 	15	17.44	 	0	0	 	2	2.33	 	0	0	 	0	0	 	2	2.33	 	0	0	 	29	33.72	 	14	16.28	 	0	0	 	0	0	 	0	0	 	1	1.16	 	0	0	 	86	97.73	 	2	2.27	 	88	0.11
Cardwell		                                   	6	0.77	 	2	0.26	 	0	0	 	2	0.26	 	214	27.33	 	2	0.26	 	6	0.77	 	0	0	 	224	28.61	 	0	0	 	5	0.64	 	1	0.13	 	0	0	 	36	4.6	 	2	0.26	 	173	22.09	 	78	9.96	 	1	0.13	 	9	1.15	 	3	0.38	 	19	2.43	 	0	0	 	783	96.91	 	25	3.09	 	808	1.03
Charters Towers		                            	6	0.62	 	0	0	 	0	0	 	1	0.1	 	325	33.64	 	4	0.41	 	1	0.1	 	2	0.21	 	177	18.32	 	1	0.1	 	2	0.21	 	1	0.1	 	1	0.1	 	36	3.73	 	3	0.31	 	308	31.88	 	83	8.59	 	6	0.62	 	0	0	 	1	0.1	 	8	0.83	 	0	0	 	966	97.77	 	22	2.23	 	988	1.25
Charters Towers Central		                    	0	0	 	0	0	 	1	0.13	 	2	0.26	 	221	28.41	 	6	0.77	 	5	0.64	 	1	0.13	 	161	20.69	 	1	0.13	 	5	0.64	 	0	0	 	1	0.13	 	31	3.98	 	5	0.64	 	269	34.58	 	58	7.46	 	6	0.77	 	0	0	 	0	0	 	5	0.64	 	0	0	 	778	97.86	 	17	2.14	 	795	1.01
Charters Towers Hospital		                   	5	0.88	 	0	0	 	0	0	 	1	0.18	 	169	29.81	 	4	0.71	 	8	1.41	 	3	0.53	 	111	19.58	 	1	0.18	 	4	0.71	 	0	0	 	1	0.18	 	30	5.29	 	2	0.35	 	160	28.22	 	57	10.05	 	0	0	 	1	0.18	 	2	0.35	 	5	0.88	 	3	0.53	 	567	96.26	 	22	3.74	 	589	0.75
Chillagoe		                                  	0	0	 	0	0	 	0	0	 	0	0	 	29	25.66	 	2	1.77	 	0	0	 	0	0	 	40	35.4	 	0	0	 	1	0.88	 	0	0	 	0	0	 	5	4.42	 	0	0	 	25	22.12	 	9	7.96	 	1	0.88	 	0	0	 	0	0	 	1	0.88	 	0	0	 	113	99.12	 	1	0.88	 	114	0.14
Cloncurry		                                  	14	1.25	 	0	0	 	0	0	 	0	0	 	284	25.43	 	2	0.18	 	13	1.16	 	1	0.09	 	201	17.99	 	0	0	 	12	1.07	 	5	0.45	 	1	0.09	 	35	3.13	 	3	0.27	 	421	37.69	 	99	8.86	 	6	0.54	 	2	0.18	 	1	0.09	 	16	1.43	 	1	0.09	 	1117	93.55	 	77	6.45	 	1194	1.52
Croydon		                                    	1	0.68	 	0	0	 	0	0	 	1	0.68	 	48	32.43	 	0	0	 	0	0	 	0	0	 	50	33.78	 	0	0	 	3	2.03	 	2	1.35	 	0	0	 	4	2.7	 	0	0	 	34	22.97	 	4	2.7	 	0	0	 	0	0	 	0	0	 	1	0.68	 	0	0	 	148	100	 	0	0	 	148	0.19
Dajarra		                                    	3	2.75	 	0	0	 	0	0	 	1	0.92	 	18	16.51	 	1	0.92	 	0	0	 	0	0	 	9	8.26	 	0	0	 	0	0	 	1	0.92	 	0	0	 	2	1.83	 	0	0	 	69	63.3	 	4	3.67	 	0	0	 	0	0	 	1	0.92	 	0	0	 	0	0	 	109	99.09	 	1	0.91	 	110	0.14
Dimbulah		                                   	6	1.08	 	0	0	 	0	0	 	5	0.9	 	157	28.14	 	0	0	 	3	0.54	 	2	0.36	 	151	27.06	 	1	0.18	 	4	0.72	 	3	0.54	 	1	0.18	 	26	4.66	 	1	0.18	 	143	25.63	 	49	8.78	 	0	0	 	2	0.36	 	1	0.18	 	3	0.54	 	0	0	 	558	89.42	 	66	10.58	 	624	0.79
Doomadgee (Kennedy)		                        	18	4.17	 	2	0.46	 	0	0	 	5	1.16	 	68	15.74	 	5	1.16	 	2	0.46	 	1	0.23	 	11	2.55	 	1	0.23	 	2	0.46	 	8	1.85	 	0	0	 	4	0.93	 	2	0.46	 	274	63.43	 	18	4.17	 	5	1.16	 	1	0.23	 	2	0.46	 	3	0.69	 	0	0	 	432	90	 	48	10	 	480	0.61
East Palmerston		                            	0	0	 	0	0	 	0	0	 	1	0.53	 	71	37.97	 	0	0	 	2	1.07	 	0	0	 	50	26.74	 	0	0	 	4	2.14	 	0	0	 	0	0	 	12	6.42	 	2	1.07	 	29	15.51	 	16	8.56	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	187	95.41	 	9	4.59	 	196	0.25
Einasleigh		                                 	0	0	 	0	0	 	0	0	 	0	0	 	8	18.18	 	0	0	 	0	0	 	0	0	 	18	40.91	 	0	0	 	0	0	 	0	0	 	0	0	 	2	4.55	 	0	0	 	10	22.73	 	5	11.36	 	0	0	 	0	0	 	0	0	 	1	2.27	 	0	0	 	44	100	 	0	0	 	44	0.06
El Arish		                                   	5	1.2	 	0	0	 	0	0	 	0	0	 	126	30.14	 	8	1.91	 	0	0	 	1	0.24	 	104	24.88	 	1	0.24	 	4	0.96	 	0	0	 	1	0.24	 	20	4.78	 	0	0	 	110	26.32	 	33	7.89	 	0	0	 	0	0	 	0	0	 	5	1.2	 	0	0	 	418	95	 	22	5	 	440	0.56
Emerald Creek		                              	4	1.83	 	0	0	 	0	0	 	1	0.46	 	68	31.19	 	1	0.46	 	0	0	 	0	0	 	61	27.98	 	1	0.46	 	0	0	 	0	0	 	0	0	 	9	4.13	 	1	0.46	 	36	16.51	 	34	15.6	 	1	0.46	 	0	0	 	0	0	 	1	0.46	 	0	0	 	218	96.04	 	9	3.96	 	227	0.29
Euramo		                                     	1	1.12	 	0	0	 	0	0	 	1	1.12	 	47	52.81	 	0	0	 	0	0	 	0	0	 	13	14.61	 	2	2.25	 	1	1.12	 	0	0	 	0	0	 	0	0	 	0	0	 	12	13.48	 	10	11.24	 	0	0	 	1	1.12	 	0	0	 	1	1.12	 	0	0	 	89	96.74	 	3	3.26	 	92	0.12
Evelyn Central		                             	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	14	18.18	 	1	1.3	 	0	0	 	36	46.75	 	0	0	 	1	1.3	 	0	0	 	0	0	 	1	1.3	 	1	1.3	 	11	14.29	 	8	10.39	 	1	1.3	 	0	0	 	1	1.3	 	2	2.6	 	0	0	 	77	98.72	 	1	1.28	 	78	0.1
Eventide		                                   	4	1.22	 	0	0	 	0	0	 	1	0.31	 	108	33.03	 	1	0.31	 	1	0.31	 	1	0.31	 	46	14.07	 	0	0	 	5	1.53	 	0	0	 	0	0	 	11	3.36	 	0	0	 	117	35.78	 	30	9.17	 	0	0	 	0	0	 	1	0.31	 	1	0.31	 	0	0	 	327	92.9	 	25	7.1	 	352	0.45
Feluga		                                     	1	0.47	 	0	0	 	0	0	 	1	0.47	 	81	38.03	 	2	0.94	 	1	0.47	 	0	0	 	42	19.72	 	0	0	 	0	0	 	0	0	 	0	0	 	10	4.69	 	0	0	 	49	23	 	18	8.45	 	1	0.47	 	3	1.41	 	0	0	 	4	1.88	 	0	0	 	213	96.82	 	7	3.18	 	220	0.28
Flying Fish Point		                          	0	0	 	0	0	 	0	0	 	0	0	 	87	24.51	 	0	0	 	0	0	 	1	0.28	 	76	21.41	 	0	0	 	0	0	 	1	0.28	 	1	0.28	 	13	3.66	 	0	0	 	114	32.11	 	54	15.21	 	3	0.85	 	0	0	 	0	0	 	5	1.41	 	0	0	 	355	98.07	 	7	1.93	 	362	0.46
Forrest Beach		                              	1	0.17	 	0	0	 	0	0	 	1	0.17	 	115	19.73	 	7	1.2	 	7	1.2	 	2	0.34	 	161	27.62	 	0	0	 	5	0.86	 	0	0	 	0	0	 	40	6.86	 	1	0.17	 	157	26.93	 	73	12.52	 	2	0.34	 	0	0	 	1	0.17	 	10	1.72	 	0	0	 	583	97.65	 	14	2.35	 	597	0.76
Forsayth		                                   	0	0	 	0	0	 	0	0	 	0	0	 	24	31.17	 	1	1.3	 	0	0	 	0	0	 	33	42.86	 	0	0	 	1	1.3	 	0	0	 	0	0	 	2	2.6	 	0	0	 	16	20.78	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	77	100	 	0	0	 	77	0.1
Garradunga		                                 	3	1.24	 	0	0	 	1	0.41	 	2	0.83	 	100	41.32	 	1	0.41	 	3	1.24	 	0	0	 	48	19.83	 	0	0	 	0	0	 	0	0	 	0	0	 	11	4.55	 	0	0	 	39	16.12	 	29	11.98	 	2	0.83	 	0	0	 	0	0	 	3	1.24	 	0	0	 	242	95.28	 	12	4.72	 	254	0.32
Georgetown		                                 	1	0.72	 	0	0	 	0	0	 	1	0.72	 	44	31.88	 	1	0.72	 	0	0	 	0	0	 	43	31.16	 	0	0	 	0	0	 	1	0.72	 	0	0	 	4	2.9	 	2	1.45	 	29	21.01	 	10	7.25	 	0	0	 	0	0	 	0	0	 	2	1.45	 	0	0	 	138	99.28	 	1	0.72	 	139	0.18
Goondi		                                     	12	1.07	 	0	0	 	0	0	 	5	0.45	 	319	28.56	 	7	0.63	 	6	0.54	 	0	0	 	203	18.17	 	1	0.09	 	4	0.36	 	1	0.09	 	1	0.09	 	43	3.85	 	0	0	 	397	35.54	 	105	9.4	 	3	0.27	 	1	0.09	 	1	0.09	 	8	0.72	 	0	0	 	1117	94.82	 	61	5.18	 	1178	1.5
Gordonvale		                                 	12	0.47	 	0	0	 	0	0	 	5	0.2	 	653	25.84	 	1	0.04	 	31	1.23	 	3	0.12	 	473	18.72	 	3	0.12	 	17	0.67	 	1	0.04	 	2	0.08	 	128	5.07	 	4	0.16	 	842	33.32	 	288	11.4	 	10	0.4	 	1	0.04	 	5	0.2	 	44	1.74	 	4	0.16	 	2527	92.13	 	216	7.87	 	2743	3.48
Halifax		                                    	9	1.46	 	0	0	 	1	0.16	 	2	0.33	 	108	17.56	 	6	0.98	 	7	1.14	 	1	0.16	 	114	18.54	 	0	0	 	8	1.3	 	1	0.16	 	0	0	 	18	2.93	 	1	0.16	 	247	40.16	 	83	13.5	 	3	0.49	 	0	0	 	1	0.16	 	5	0.81	 	0	0	 	615	94.91	 	33	5.09	 	648	0.82
Happy Valley		                               	4	0.45	 	1	0.11	 	0	0	 	6	0.68	 	162	18.35	 	6	0.68	 	5	0.57	 	3	0.34	 	191	21.63	 	1	0.11	 	8	0.91	 	0	0	 	3	0.34	 	46	5.21	 	4	0.45	 	309	34.99	 	112	12.68	 	4	0.45	 	2	0.23	 	3	0.34	 	13	1.47	 	0	0	 	883	98.11	 	17	1.89	 	900	1.14
Hawkins Creek		                              	0	0	 	0	0	 	0	0	 	1	0.58	 	73	42.2	 	4	2.31	 	0	0	 	0	0	 	34	19.65	 	0	0	 	1	0.58	 	0	0	 	0	0	 	6	3.47	 	0	0	 	32	18.5	 	19	10.98	 	0	0	 	0	0	 	0	0	 	3	1.73	 	0	0	 	173	96.65	 	6	3.35	 	179	0.23
Healy		                                      	12	0.99	 	0	0	 	1	0.08	 	12	0.99	 	189	15.62	 	2	0.17	 	9	0.74	 	1	0.08	 	234	19.34	 	0	0	 	6	0.5	 	3	0.25	 	4	0.33	 	72	5.95	 	6	0.5	 	457	37.77	 	178	14.71	 	1	0.08	 	0	0	 	3	0.25	 	19	1.57	 	1	0.08	 	1210	98.61	 	17	1.39	 	1227	1.56
Herberton		                                  	4	0.71	 	2	0.36	 	1	0.18	 	4	0.71	 	101	18.04	 	1	0.18	 	2	0.36	 	0	0	 	189	33.75	 	1	0.18	 	2	0.36	 	1	0.18	 	0	0	 	45	8.04	 	1	0.18	 	143	25.54	 	38	6.79	 	2	0.36	 	0	0	 	3	0.54	 	20	3.57	 	0	0	 	560	95.89	 	24	4.11	 	584	0.74
Homestead		                                  	0	0	 	0	0	 	0	0	 	0	0	 	16	21.62	 	1	1.35	 	0	0	 	0	0	 	19	25.68	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	37	50	 	1	1.35	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	74	92.5	 	6	7.5	 	80	0.1
Hughenden		                                  	5	0.71	 	0	0	 	0	0	 	0	0	 	168	23.73	 	9	1.27	 	2	0.28	 	0	0	 	181	25.56	 	0	0	 	7	0.99	 	1	0.14	 	1	0.14	 	14	1.98	 	0	0	 	270	38.14	 	38	5.37	 	3	0.42	 	1	0.14	 	2	0.28	 	6	0.85	 	0	0	 	708	95.93	 	30	4.07	 	738	0.94
Ingham		                                     	25	1.25	 	3	0.15	 	1	0.05	 	3	0.15	 	420	21.04	 	11	0.55	 	37	1.85	 	0	0	 	380	19.04	 	2	0.1	 	8	0.4	 	3	0.15	 	2	0.1	 	69	3.46	 	3	0.15	 	666	33.37	 	329	16.48	 	10	0.5	 	11	0.55	 	3	0.15	 	10	0.5	 	0	0	 	1996	94.64	 	113	5.36	 	2109	2.68
Ingham Hospital		                            	11	0.9	 	1	0.08	 	0	0	 	2	0.16	 	247	20.26	 	13	1.07	 	29	2.38	 	2	0.16	 	227	18.62	 	3	0.25	 	4	0.33	 	5	0.41	 	0	0	 	31	2.54	 	2	0.16	 	386	31.67	 	237	19.44	 	3	0.25	 	8	0.66	 	4	0.33	 	4	0.33	 	0	0	 	1219	95.09	 	63	4.91	 	1282	1.63
Innisfail		                                  	23	1.17	 	1	0.05	 	0	0	 	8	0.41	 	377	19.13	 	11	0.56	 	16	0.81	 	3	0.15	 	341	17.3	 	2	0.1	 	8	0.41	 	3	0.15	 	2	0.1	 	75	3.81	 	1	0.05	 	749	38	 	305	15.47	 	7	0.36	 	11	0.56	 	2	0.1	 	25	1.27	 	1	0.05	 	1971	94.17	 	122	5.83	 	2093	2.66
Innisfail East		                             	14	1.18	 	1	0.08	 	0	0	 	6	0.51	 	248	20.91	 	5	0.42	 	13	1.1	 	0	0	 	220	18.55	 	0	0	 	10	0.84	 	1	0.08	 	1	0.08	 	59	4.97	 	0	0	 	402	33.9	 	191	16.1	 	5	0.42	 	2	0.17	 	0	0	 	7	0.59	 	1	0.08	 	1186	98.18	 	22	1.82	 	1208	1.53
Innisfail Hospital		                         	6	0.85	 	2	0.28	 	1	0.14	 	6	0.85	 	173	24.47	 	3	0.42	 	5	0.71	 	0	0	 	92	13.01	 	0	0	 	5	0.71	 	0	0	 	0	0	 	33	4.67	 	0	0	 	260	36.78	 	102	14.43	 	1	0.14	 	6	0.85	 	4	0.57	 	8	1.13	 	0	0	 	707	96.32	 	27	3.68	 	734	0.93
