Senate - 1993 Election: Queensland																																														
First Preference Votes by Group																																														
By Polling Place																																														


Bowman (75360)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Chermside (Lilley)		                         	2	1.22	 	9	5.49	 	59	35.98	 	2	1.22	 	0	0	 	4	2.44	 	72	43.9	 	0	0	 	0	0	 	0	0	 	15	9.15	 	1	0.61	 	164	99.39	 	1	0.61	 	165	0.22
Chermside East		                             	12	1.15	 	32	3.06	 	257	24.55	 	13	1.24	 	1	0.1	 	23	2.2	 	625	59.69	 	0	0	 	3	0.29	 	2	0.19	 	79	7.55	 	0	0	 	1047	97.58	 	26	2.42	 	1073	1.41
Clayfield		                                  	18	1.27	 	77	5.42	 	746	52.5	 	1	0.07	 	2	0.14	 	40	2.81	 	430	30.26	 	0	0	 	7	0.49	 	0	0	 	99	6.97	 	1	0.07	 	1421	97.4	 	38	2.6	 	1459	1.91
Clayfield West		                             	23	1.23	 	138	7.39	 	957	51.23	 	4	0.21	 	2	0.11	 	61	3.27	 	561	30.03	 	0	0	 	1	0.05	 	4	0.21	 	111	5.94	 	6	0.32	 	1868	97.85	 	41	2.15	 	1909	2.5
Deagon		                                     	29	2.32	 	71	5.68	 	306	24.46	 	7	0.56	 	0	0	 	26	2.08	 	705	56.35	 	0	0	 	5	0.4	 	1	0.08	 	100	7.99	 	1	0.08	 	1251	97.66	 	30	2.34	 	1281	1.68
Eventide Home		                              	22	2.39	 	44	4.78	 	234	25.43	 	7	0.76	 	0	0	 	24	2.61	 	529	57.5	 	0	0	 	4	0.43	 	1	0.11	 	54	5.87	 	1	0.11	 	920	96.03	 	38	3.97	 	958	1.26
Freemasons Homes		                           	4	1.15	 	60	17.29	 	168	48.41	 	0	0	 	0	0	 	3	0.86	 	96	27.67	 	0	0	 	1	0.29	 	0	0	 	15	4.32	 	0	0	 	347	97.2	 	10	2.8	 	357	0.47
Geebung		                                    	44	1.64	 	201	7.48	 	839	31.24	 	33	1.23	 	3	0.11	 	99	3.69	 	1182	44.01	 	4	0.15	 	8	0.3	 	5	0.19	 	268	9.98	 	0	0	 	2686	98.6	 	38	1.4	 	2724	3.57
Hamilton		                                   	15	0.7	 	154	7.2	 	1038	48.5	 	6	0.28	 	3	0.14	 	57	2.66	 	713	33.32	 	1	0.05	 	7	0.33	 	4	0.19	 	142	6.64	 	0	0	 	2140	97.63	 	52	2.37	 	2192	2.88
Hendra		                                     	24	1.41	 	101	5.95	 	752	44.29	 	7	0.41	 	1	0.06	 	37	2.18	 	662	38.99	 	0	0	 	9	0.53	 	1	0.06	 	104	6.12	 	0	0	 	1698	98.38	 	28	1.62	 	1726	2.26
Hendra East		                                	23	2.74	 	36	4.29	 	259	30.83	 	3	0.36	 	0	0	 	15	1.79	 	445	52.98	 	0	0	 	3	0.36	 	0	0	 	55	6.55	 	1	0.12	 	840	97.22	 	24	2.78	 	864	1.13
Kalinga		                                    	18	1.22	 	84	5.69	 	581	39.39	 	13	0.88	 	0	0	 	54	3.66	 	596	40.41	 	1	0.07	 	6	0.41	 	1	0.07	 	121	8.2	 	0	0	 	1475	98.2	 	27	1.8	 	1502	1.97
Kedron		                                     	28	1.61	 	92	5.28	 	580	33.31	 	10	0.57	 	1	0.06	 	57	3.27	 	817	46.93	 	6	0.34	 	5	0.29	 	6	0.34	 	137	7.87	 	2	0.11	 	1741	97.48	 	45	2.52	 	1786	2.34
Lutwyche (Lilley)		                          	2	0.67	 	15	5.05	 	102	34.34	 	0	0	 	0	0	 	13	4.38	 	133	44.78	 	0	0	 	1	0.34	 	0	0	 	30	10.1	 	1	0.34	 	297	97.7	 	7	2.3	 	304	0.4
Lutwyche East		                              	24	1.99	 	52	4.32	 	360	29.88	 	8	0.66	 	0	0	 	43	3.57	 	603	50.04	 	1	0.08	 	9	0.75	 	2	0.17	 	103	8.55	 	0	0	 	1205	96.71	 	41	3.29	 	1246	1.63
Nashville		                                  	15	1.26	 	77	6.48	 	363	30.56	 	5	0.42	 	3	0.25	 	58	4.88	 	580	48.82	 	1	0.08	 	7	0.59	 	1	0.08	 	76	6.4	 	2	0.17	 	1188	97.86	 	26	2.14	 	1214	1.59
Northgate		                                  	20	1.76	 	69	6.06	 	302	26.51	 	5	0.44	 	0	0	 	36	3.16	 	631	55.4	 	0	0	 	3	0.26	 	2	0.18	 	71	6.23	 	0	0	 	1139	98.11	 	22	1.89	 	1161	1.52
Northgate South		                            	14	1.72	 	40	4.92	 	195	23.99	 	9	1.11	 	2	0.25	 	27	3.32	 	459	56.46	 	0	0	 	7	0.86	 	0	0	 	59	7.26	 	1	0.12	 	813	97.02	 	25	2.98	 	838	1.1
Nudgee		                                     	11	1.24	 	40	4.51	 	247	27.88	 	3	0.34	 	2	0.23	 	26	2.93	 	480	54.18	 	0	0	 	3	0.34	 	1	0.11	 	72	8.13	 	1	0.11	 	886	97.68	 	21	2.32	 	907	1.19
Nudgee Beach		                               	5	3.03	 	3	1.82	 	26	15.76	 	4	2.42	 	0	0	 	9	5.45	 	106	64.24	 	0	0	 	0	0	 	0	0	 	12	7.27	 	0	0	 	165	95.38	 	8	4.62	 	173	0.23
Nundah		                                     	48	1.53	 	156	4.98	 	939	29.97	 	24	0.77	 	4	0.13	 	134	4.28	 	1521	48.55	 	4	0.13	 	7	0.22	 	6	0.19	 	289	9.22	 	1	0.03	 	3133	97.85	 	69	2.15	 	3202	4.2
Nundah North		                               	13	1.51	 	35	4.06	 	335	38.86	 	4	0.46	 	0	0	 	26	3.02	 	359	41.65	 	1	0.12	 	5	0.58	 	1	0.12	 	82	9.51	 	1	0.12	 	862	97.29	 	24	2.71	 	886	1.16
Nundah West		                                	6	0.53	 	88	7.8	 	442	39.18	 	1	0.09	 	1	0.09	 	17	1.51	 	447	39.63	 	0	0	 	4	0.35	 	2	0.18	 	119	10.55	 	1	0.09	 	1128	98.69	 	15	1.31	 	1143	1.5
Pinkenba		                                   	6	2.33	 	12	4.67	 	72	28.02	 	1	0.39	 	0	0	 	5	1.95	 	144	56.03	 	0	0	 	1	0.39	 	0	0	 	16	6.23	 	0	0	 	257	96.62	 	9	3.38	 	266	0.35
Sandgate		                                   	44	1.97	 	98	4.39	 	495	22.2	 	15	0.67	 	1	0.04	 	107	4.8	 	1257	56.37	 	2	0.09	 	9	0.4	 	3	0.13	 	198	8.88	 	1	0.04	 	2230	96.7	 	76	3.3	 	2306	3.03
Shorncliffe		                                	25	1.9	 	55	4.19	 	381	29.02	 	7	0.53	 	0	0	 	60	4.57	 	646	49.2	 	0	0	 	10	0.76	 	3	0.23	 	125	9.52	 	1	0.08	 	1313	96.97	 	41	3.03	 	1354	1.78
Virginia		                                   	22	1.24	 	83	4.67	 	586	32.96	 	14	0.79	 	2	0.11	 	56	3.15	 	855	48.09	 	1	0.06	 	2	0.11	 	2	0.11	 	155	8.72	 	0	0	 	1778	98.18	 	33	1.82	 	1811	2.38
Wavell Heights		                             	27	1.24	 	93	4.25	 	887	40.58	 	24	1.1	 	3	0.14	 	52	2.38	 	920	42.09	 	0	0	 	10	0.46	 	3	0.14	 	167	7.64	 	0	0	 	2186	98.34	 	37	1.66	 	2223	2.92
Wavell Heights West		                        	30	1.7	 	90	5.09	 	515	29.13	 	11	0.62	 	2	0.11	 	58	3.28	 	912	51.58	 	2	0.11	 	7	0.4	 	2	0.11	 	138	7.81	 	1	0.06	 	1768	97.84	 	39	2.16	 	1807	2.37
Whinstanes		                                 	7	1.2	 	20	3.42	 	201	34.42	 	1	0.17	 	0	0	 	17	2.91	 	291	49.83	 	0	0	 	4	0.68	 	1	0.17	 	41	7.02	 	1	0.17	 	584	95.89	 	25	4.11	 	609	0.8
Wooloowin		                                  	8	1.01	 	37	4.65	 	240	30.19	 	5	0.63	 	1	0.13	 	38	4.78	 	400	50.31	 	1	0.13	 	3	0.38	 	2	0.25	 	59	7.42	 	1	0.13	 	795	97.67	 	19	2.33	 	814	1.07
Zillmere		                                   	38	2.17	 	93	5.32	 	457	26.13	 	8	0.46	 	1	0.06	 	65	3.72	 	919	52.54	 	1	0.06	 	4	0.23	 	2	0.11	 	161	9.21	 	0	0	 	1749	97.6	 	43	2.4	 	1792	2.35
Zillmere East		                              	48	2.14	 	62	2.76	 	476	21.22	 	19	0.85	 	2	0.09	 	76	3.39	 	1389	61.93	 	1	0.04	 	8	0.36	 	5	0.22	 	153	6.82	 	4	0.18	 	2243	97.27	 	63	2.73	 	2306	3.03
Zillmere North		                             	5	0.84	 	35	5.91	 	177	29.9	 	1	0.17	 	0	0	 	18	3.04	 	309	52.2	 	0	0	 	1	0.17	 	1	0.17	 	44	7.43	 	1	0.17	 	592	97.05	 	18	2.95	 	610	0.8
Special Hospitals		                          	5	1.71	 	17	5.8	 	162	55.29	 	0	0	 	0	0	 	0	0	 	96	32.76	 	1	0.34	 	1	0.34	 	0	0	 	11	3.75	 	0	0	 	293	92.43	 	24	7.57	 	317	0.42
Total Ordinary		                             	962	1.51	 	3456	5.41	 	21950	34.36	 	386	0.6	 	53	0.08	 	2119	3.32	 	29525	46.22	 	38	0.06	 	222	0.35	 	89	0.14	 	5032	7.88	 	44	0.07	 	63876	97.68	 	1518	2.32	 	65394	85.79
ABSENT		                                     	93	1.89	 	299	6.08	 	1596	32.47	 	37	0.75	 	12	0.24	 	257	5.23	 	2223	45.23	 	7	0.14	 	20	0.41	 	10	0.2	 	355	7.22	 	6	0.12	 	4915	98.56	 	72	1.44	 	4987	6.54
POSTAL		                                     	26	0.83	 	177	5.62	 	1055	33.5	 	25	0.79	 	3	0.1	 	39	1.24	 	1653	52.49	 	0	0	 	5	0.16	 	2	0.06	 	162	5.14	 	2	0.06	 	3149	98.53	 	47	1.47	 	3196	4.19
PRE_POLL		                                   	17	0.73	 	126	5.43	 	1044	45	 	22	0.95	 	6	0.26	 	88	3.79	 	833	35.91	 	0	0	 	5	0.22	 	2	0.09	 	175	7.54	 	2	0.09	 	2320	98.6	 	33	1.4	 	2353	3.09
PROVISIONAL		                                	4	1.83	 	10	4.59	 	60	27.52	 	1	0.46	 	0	0	 	10	4.59	 	112	51.38	 	0	0	 	1	0.46	 	4	1.83	 	15	6.88	 	1	0.46	 	218	96.89	 	7	3.11	 	225	0.3
ADJUSTMENT		                                 	6		       	-2		       	31		       	0		       	0		       	3		       	24		       	0		       	1		       	1		       	3		       	0		       	67		       	7		       	74	
Division Summary		                           	1108	1.49	 	4066	5.45	 	25736	34.52	 	471	0.63	 	74	0.1	 	2516	3.38	 	34370	46.11	 	45	0.06	 	254	0.34	 	108	0.14	 	5742	7.7	 	55	0.07	 	74545	97.79	 	1684	2.21	 	76229	96.16
 																																														


Maranoa (83523)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Acland		                                     	10	5.05	 	125	63.13	 	28	14.14	 	0	0	 	0	0	 	3	1.52	 	25	12.63	 	0	0	 	0	0	 	0	0	 	7	3.54	 	0	0	 	198	98.02	 	4	1.98	 	202	0.25
Allora		                                     	36	3.54	 	498	49.02	 	216	21.26	 	3	0.3	 	1	0.1	 	18	1.77	 	195	19.19	 	0	0	 	5	0.49	 	0	0	 	44	4.33	 	0	0	 	1016	97.13	 	30	2.87	 	1046	1.3
Amby		                                       	1	1.37	 	54	73.97	 	7	9.59	 	0	0	 	0	0	 	0	0	 	9	12.33	 	0	0	 	0	0	 	0	0	 	2	2.74	 	0	0	 	73	100	 	0	0	 	73	0.09
Amiens		                                     	14	5.76	 	124	51.03	 	36	14.81	 	2	0.82	 	0	0	 	8	3.29	 	37	15.23	 	0	0	 	0	0	 	3	1.23	 	19	7.82	 	0	0	 	243	97.2	 	7	2.8	 	250	0.31
Anakie		                                     	0	0	 	59	56.73	 	10	9.62	 	1	0.96	 	0	0	 	4	3.85	 	28	26.92	 	0	0	 	0	0	 	0	0	 	2	1.92	 	0	0	 	104	100	 	0	0	 	104	0.13
Applethorpe		                                	17	6.44	 	96	36.36	 	60	22.73	 	4	1.52	 	1	0.38	 	7	2.65	 	62	23.48	 	0	0	 	0	0	 	0	0	 	16	6.06	 	1	0.38	 	264	95.31	 	13	4.69	 	277	0.35
Augathella		                                 	10	3.09	 	106	32.72	 	16	4.94	 	0	0	 	0	0	 	1	0.31	 	182	56.17	 	0	0	 	1	0.31	 	1	0.31	 	7	2.16	 	0	0	 	324	95.58	 	15	4.42	 	339	0.42
Ballandean		                                 	24	7.52	 	108	33.86	 	57	17.87	 	1	0.31	 	0	0	 	17	5.33	 	88	27.59	 	0	0	 	2	0.63	 	0	0	 	21	6.58	 	1	0.31	 	319	96.96	 	10	3.04	 	329	0.41
Bell		                                       	11	3.1	 	242	68.17	 	28	7.89	 	1	0.28	 	0	0	 	4	1.13	 	49	13.8	 	0	0	 	1	0.28	 	1	0.28	 	17	4.79	 	1	0.28	 	355	96.99	 	11	3.01	 	366	0.46
Bollon		                                     	13	7.3	 	97	54.49	 	14	7.87	 	1	0.56	 	0	0	 	1	0.56	 	49	27.53	 	0	0	 	1	0.56	 	1	0.56	 	1	0.56	 	0	0	 	178	96.74	 	6	3.26	 	184	0.23
Bongeen		                                    	7	6.8	 	86	83.5	 	7	6.8	 	0	0	 	0	0	 	0	0	 	2	1.94	 	0	0	 	0	0	 	0	0	 	1	0.97	 	0	0	 	103	95.37	 	5	4.63	 	108	0.13
Bowenville		                                 	7	3.61	 	151	77.84	 	19	9.79	 	0	0	 	0	0	 	0	0	 	10	5.15	 	0	0	 	2	1.03	 	0	0	 	5	2.58	 	0	0	 	194	97.49	 	5	2.51	 	199	0.25
Brigalow		                                   	5	2.75	 	151	82.97	 	9	4.95	 	0	0	 	0	0	 	1	0.55	 	14	7.69	 	0	0	 	0	0	 	0	0	 	2	1.1	 	0	0	 	182	98.38	 	3	1.62	 	185	0.23
Bringalily South		                           	2	2.7	 	62	83.78	 	6	8.11	 	1	1.35	 	0	0	 	0	0	 	2	2.7	 	0	0	 	0	0	 	0	0	 	1	1.35	 	0	0	 	74	100	 	0	0	 	74	0.09
Brisbane City (Maranoa)		                    	5	4.85	 	31	30.1	 	21	20.39	 	0	0	 	0	0	 	7	6.8	 	31	30.1	 	0	0	 	0	0	 	2	1.94	 	5	4.85	 	1	0.97	 	103	100	 	0	0	 	103	0.13
Broadwater Crossing		                        	18	6	 	144	48	 	48	16	 	2	0.67	 	0	0	 	4	1.33	 	59	19.67	 	0	0	 	1	0.33	 	0	0	 	24	8	 	0	0	 	300	96.15	 	12	3.85	 	312	0.39
Brookstead		                                 	24	8.25	 	211	72.51	 	30	10.31	 	0	0	 	1	0.34	 	1	0.34	 	22	7.56	 	0	0	 	0	0	 	0	0	 	2	0.69	 	0	0	 	291	99.32	 	2	0.68	 	293	0.37
Brymaroo		                                   	1	1.37	 	64	87.67	 	4	5.48	 	1	1.37	 	0	0	 	0	0	 	1	1.37	 	1	1.37	 	0	0	 	0	0	 	1	1.37	 	0	0	 	73	97.33	 	2	2.67	 	75	0.09
Bungunya		                                   	6	7.69	 	48	61.54	 	6	7.69	 	0	0	 	0	0	 	0	0	 	16	20.51	 	0	0	 	0	0	 	0	0	 	2	2.56	 	0	0	 	78	96.3	 	3	3.7	 	81	0.1
Burncluith		                                 	3	6.52	 	34	73.91	 	4	8.7	 	2	4.35	 	0	0	 	0	0	 	3	6.52	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	46	93.88	 	3	6.12	 	49	0.06
Burra Burri		                                	7	9.86	 	50	70.42	 	4	5.63	 	1	1.41	 	0	0	 	1	1.41	 	3	4.23	 	0	0	 	0	0	 	0	0	 	5	7.04	 	0	0	 	71	95.95	 	3	4.05	 	74	0.09
Bymount		                                    	1	1.96	 	44	86.27	 	2	3.92	 	0	0	 	0	0	 	0	0	 	3	5.88	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.96	 	51	98.08	 	1	1.92	 	52	0.06
Canaga		                                     	3	3.66	 	71	86.59	 	4	4.88	 	1	1.22	 	0	0	 	0	0	 	3	3.66	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	82	96.47	 	3	3.53	 	85	0.11
Cecil Plains		                               	18	5.52	 	205	62.88	 	27	8.28	 	2	0.61	 	0	0	 	5	1.53	 	60	18.4	 	0	0	 	0	0	 	0	0	 	9	2.76	 	0	0	 	326	98.79	 	4	1.21	 	330	0.41
Charleville		                                	78	4.45	 	554	31.58	 	138	7.87	 	8	0.46	 	0	0	 	30	1.71	 	874	49.83	 	1	0.06	 	13	0.74	 	2	0.11	 	54	3.08	 	2	0.11	 	1754	97.28	 	49	2.72	 	1803	2.25
Charleville Hospital		                       	30	11.07	 	71	26.2	 	12	4.43	 	0	0	 	0	0	 	7	2.58	 	143	52.77	 	0	0	 	4	1.48	 	1	0.37	 	3	1.11	 	0	0	 	271	97.13	 	8	2.87	 	279	0.35
Chinchilla		                                 	69	3.52	 	993	50.59	 	266	13.55	 	22	1.12	 	1	0.05	 	29	1.48	 	476	24.25	 	2	0.1	 	18	0.92	 	7	0.36	 	80	4.08	 	0	0	 	1963	97.18	 	57	2.82	 	2020	2.52
Chinchilla Hospital		                        	29	5.82	 	295	59.24	 	45	9.04	 	6	1.2	 	1	0.2	 	6	1.2	 	99	19.88	 	0	0	 	3	0.6	 	0	0	 	14	2.81	 	0	0	 	498	97.08	 	15	2.92	 	513	0.64
Clifton		                                    	44	5.14	 	442	51.64	 	163	19.04	 	4	0.47	 	0	0	 	20	2.34	 	145	16.94	 	0	0	 	2	0.23	 	1	0.12	 	35	4.09	 	0	0	 	856	96.72	 	29	3.28	 	885	1.1
Clintonvale		                                	0	0	 	75	69.44	 	13	12.04	 	0	0	 	0	0	 	1	0.93	 	14	12.96	 	0	0	 	2	1.85	 	0	0	 	3	2.78	 	0	0	 	108	97.3	 	3	2.7	 	111	0.14
Comet		                                      	0	0	 	66	63.46	 	13	12.5	 	1	0.96	 	0	0	 	0	0	 	21	20.19	 	0	0	 	1	0.96	 	0	0	 	2	1.92	 	0	0	 	104	96.3	 	4	3.7	 	108	0.13
Condamine		                                  	22	8.98	 	162	66.12	 	18	7.35	 	1	0.41	 	0	0	 	4	1.63	 	33	13.47	 	0	0	 	0	0	 	1	0.41	 	4	1.63	 	0	0	 	245	97.22	 	7	2.78	 	252	0.31
Cooranga North		                             	3	3.9	 	58	75.32	 	5	6.49	 	8	10.39	 	0	0	 	0	0	 	1	1.3	 	0	0	 	0	0	 	0	0	 	2	2.6	 	0	0	 	77	100	 	0	0	 	77	0.1
Cottonvale		                                 	14	4.42	 	168	53	 	49	15.46	 	1	0.32	 	0	0	 	1	0.32	 	70	22.08	 	0	0	 	0	0	 	1	0.32	 	13	4.1	 	0	0	 	317	96.94	 	10	3.06	 	327	0.41
Cunnamulla		                                 	7	1.39	 	165	32.87	 	23	4.58	 	2	0.4	 	0	0	 	5	1	 	277	55.18	 	1	0.2	 	6	1.2	 	0	0	 	16	3.19	 	0	0	 	502	97.67	 	12	2.33	 	514	0.64
Cunnamulla Hospital		                        	13	2.81	 	139	30.02	 	34	7.34	 	0	0	 	1	0.22	 	2	0.43	 	253	54.64	 	0	0	 	14	3.02	 	1	0.22	 	6	1.3	 	0	0	 	463	95.86	 	20	4.14	 	483	0.6
Dalby		                                      	114	5.29	 	1123	52.09	 	230	10.67	 	12	0.56	 	1	0.05	 	26	1.21	 	544	25.23	 	1	0.05	 	4	0.19	 	3	0.14	 	96	4.45	 	2	0.09	 	2156	97.42	 	57	2.58	 	2213	2.76
Dalby Hospital		                             	10	3.56	 	160	56.94	 	31	11.03	 	4	1.42	 	0	0	 	2	0.71	 	64	22.78	 	0	0	 	1	0.36	 	1	0.36	 	7	2.49	 	1	0.36	 	281	97.91	 	6	2.09	 	287	0.36
Dalby North		                                	45	4.21	 	548	51.31	 	115	10.77	 	8	0.75	 	1	0.09	 	14	1.31	 	293	27.43	 	0	0	 	1	0.09	 	1	0.09	 	42	3.93	 	0	0	 	1068	97	 	33	3	 	1101	1.37
Dalby South		                                	72	4.47	 	824	51.18	 	189	11.74	 	6	0.37	 	2	0.12	 	23	1.43	 	433	26.89	 	0	0	 	8	0.5	 	0	0	 	53	3.29	 	0	0	 	1610	97.4	 	43	2.6	 	1653	2.06
Dalveen		                                    	3	2.27	 	67	50.76	 	22	16.67	 	0	0	 	0	0	 	4	3.03	 	31	23.48	 	0	0	 	1	0.76	 	0	0	 	4	3.03	 	0	0	 	132	97.78	 	3	2.22	 	135	0.17
Dirranbandi		                                	8	2.31	 	128	36.89	 	32	9.22	 	3	0.86	 	0	0	 	4	1.15	 	163	46.97	 	0	0	 	1	0.29	 	1	0.29	 	7	2.02	 	0	0	 	347	98.02	 	7	1.98	 	354	0.44
Drillham		                                   	18	6.74	 	175	65.54	 	20	7.49	 	1	0.37	 	0	0	 	5	1.87	 	33	12.36	 	0	0	 	0	0	 	1	0.37	 	14	5.24	 	0	0	 	267	98.16	 	5	1.84	 	272	0.34
Dulacca		                                    	1	0.61	 	123	75	 	11	6.71	 	0	0	 	0	0	 	1	0.61	 	26	15.85	 	0	0	 	0	0	 	0	0	 	2	1.22	 	0	0	 	164	97.04	 	5	2.96	 	169	0.21
Dunkeld		                                    	0	0	 	36	90	 	2	5	 	0	0	 	0	0	 	0	0	 	2	5	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	40	97.56	 	1	2.44	 	41	0.05
Emerald		                                    	37	1.34	 	1060	38.34	 	418	15.12	 	30	1.08	 	3	0.11	 	52	1.88	 	1022	36.96	 	3	0.11	 	9	0.33	 	3	0.11	 	118	4.27	 	10	0.36	 	2765	98.29	 	48	1.71	 	2813	3.5
Emerald North		                              	19	1.36	 	400	28.67	 	169	12.11	 	6	0.43	 	1	0.07	 	26	1.86	 	694	49.75	 	0	0	 	2	0.14	 	0	0	 	77	5.52	 	1	0.07	 	1395	99.01	 	14	0.99	 	1409	1.76
Eulo		                                       	4	5.88	 	45	66.18	 	7	10.29	 	0	0	 	0	0	 	0	0	 	11	16.18	 	0	0	 	0	0	 	0	0	 	1	1.47	 	0	0	 	68	94.44	 	4	5.56	 	72	0.09
Eumamurrin		                                 	1	1.33	 	70	93.33	 	3	4	 	0	0	 	0	0	 	1	1.33	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	75	98.68	 	1	1.32	 	76	0.09
Flinton		                                    	7	9.21	 	59	77.63	 	1	1.32	 	0	0	 	0	0	 	2	2.63	 	6	7.89	 	0	0	 	0	0	 	1	1.32	 	0	0	 	0	0	 	76	96.2	 	3	3.8	 	79	0.1
Formartin		                                  	3	3	 	93	93	 	3	3	 	0	0	 	0	0	 	0	0	 	1	1	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	100	98.04	 	2	1.96	 	102	0.13
Gindie		                                     	4	3.64	 	90	81.82	 	4	3.64	 	1	0.91	 	0	0	 	0	0	 	8	7.27	 	0	0	 	0	0	 	0	0	 	3	2.73	 	0	0	 	110	99.1	 	1	0.9	 	111	0.14
Glen Aplin		                                 	10	3.19	 	127	40.58	 	53	16.93	 	4	1.28	 	0	0	 	12	3.83	 	72	23	 	0	0	 	2	0.64	 	4	1.28	 	28	8.95	 	1	0.32	 	313	98.12	 	6	1.88	 	319	0.4
Glenmorgan		                                 	1	1.16	 	67	77.91	 	5	5.81	 	0	0	 	0	0	 	0	0	 	7	8.14	 	0	0	 	0	0	 	0	0	 	6	6.98	 	0	0	 	86	98.85	 	1	1.15	 	87	0.11
Glennie Heights		                            	47	5.67	 	248	29.92	 	207	24.97	 	5	0.6	 	0	0	 	11	1.33	 	259	31.24	 	1	0.12	 	4	0.48	 	1	0.12	 	45	5.43	 	1	0.12	 	829	98.11	 	16	1.89	 	845	1.05
Goomburra		                                  	4	3.31	 	88	72.73	 	10	8.26	 	1	0.83	 	0	0	 	5	4.13	 	10	8.26	 	0	0	 	0	0	 	0	0	 	3	2.48	 	0	0	 	121	99.18	 	1	0.82	 	122	0.15
Goondiwindi		                                	194	8.29	 	873	37.32	 	516	22.06	 	12	0.51	 	2	0.09	 	34	1.45	 	626	26.76	 	1	0.04	 	12	0.51	 	3	0.13	 	64	2.74	 	2	0.09	 	2339	96.41	 	87	3.59	 	2426	3.02
Goondiwindi West		                           	73	13.75	 	201	37.85	 	90	16.95	 	6	1.13	 	2	0.38	 	6	1.13	 	133	25.05	 	0	0	 	3	0.56	 	0	0	 	17	3.2	 	0	0	 	531	98.15	 	10	1.85	 	541	0.67
Guluguba		                                   	3	3.57	 	75	89.29	 	0	0	 	2	2.38	 	0	0	 	0	0	 	4	4.76	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	84	98.82	 	1	1.18	 	85	0.11
Hannaford		                                  	2	2.67	 	64	85.33	 	4	5.33	 	0	0	 	0	0	 	1	1.33	 	3	4	 	0	0	 	0	0	 	0	0	 	1	1.33	 	0	0	 	75	92.59	 	6	7.41	 	81	0.1
Haystack		                                   	5	10.64	 	34	72.34	 	1	2.13	 	1	2.13	 	0	0	 	1	2.13	 	4	8.51	 	0	0	 	0	0	 	0	0	 	1	2.13	 	0	0	 	47	100	 	0	0	 	47	0.06
Hebel		                                      	1	2.56	 	24	61.54	 	5	12.82	 	0	0	 	0	0	 	0	0	 	8	20.51	 	0	0	 	0	0	 	0	0	 	1	2.56	 	0	0	 	39	92.86	 	3	7.14	 	42	0.05
Hodgson		                                    	2	2.53	 	64	81.01	 	1	1.27	 	0	0	 	0	0	 	1	1.27	 	6	7.59	 	0	0	 	1	1.27	 	0	0	 	4	5.06	 	0	0	 	79	100	 	0	0	 	79	0.1
Hopeland		                                   	4	4.71	 	75	88.24	 	1	1.18	 	1	1.18	 	0	0	 	0	0	 	2	2.35	 	0	0	 	0	0	 	0	0	 	2	2.35	 	0	0	 	85	98.84	 	1	1.16	 	86	0.11
Inglestone		                                 	2	2.15	 	87	93.55	 	2	2.15	 	0	0	 	0	0	 	0	0	 	2	2.15	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	93	98.94	 	1	1.06	 	94	0.12
Inglewood		                                  	36	4	 	339	37.62	 	117	12.99	 	2	0.22	 	0	0	 	8	0.89	 	331	36.74	 	0	0	 	7	0.78	 	1	0.11	 	59	6.55	 	1	0.11	 	901	95.44	 	43	4.56	 	944	1.18
Injune		                                     	13	3.28	 	263	66.41	 	60	15.15	 	0	0	 	1	0.25	 	1	0.25	 	49	12.37	 	0	0	 	0	0	 	0	0	 	9	2.27	 	0	0	 	396	95.88	 	17	4.12	 	413	0.51
Isisford		                                   	0	0	 	53	49.53	 	10	9.35	 	0	0	 	0	0	 	0	0	 	39	36.45	 	0	0	 	0	0	 	1	0.93	 	4	3.74	 	0	0	 	107	97.27	 	3	2.73	 	110	0.14
Jackson		                                    	3	6.52	 	31	67.39	 	2	4.35	 	0	0	 	0	0	 	0	0	 	10	21.74	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	46	97.87	 	1	2.13	 	47	0.06
