Senate - 1993 Election: New South Wales																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												


Banks (79242)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Inverell Hospital		                          	1	1.67	 	0	0	 	0	0	 	1	1.67	 	0	0	 	1	1.67	 	2	3.33	 	0	0	 	33	55	 	0	0	 	0	0	 	19	31.67	 	0	0	 	0	0	 	2	3.33	 	1	1.67	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	60	96.77	 	2	3.23	 	62	0.09
Jennings		                                   	0	0	 	1	0.9	 	1	0.9	 	0	0	 	0	0	 	1	0.9	 	7	6.31	 	0	0	 	42	37.84	 	0	0	 	9	8.11	 	44	39.64	 	1	0.9	 	0	0	 	1	0.9	 	2	1.8	 	0	0	 	2	1.8	 	0	0	 	0	0	 	0	0	 	0	0	 	111	99.11	 	1	0.89	 	112	0.15
Kentucky		                                   	1	0.52	 	0	0	 	0	0	 	1	0.52	 	1	0.52	 	3	1.55	 	10	5.18	 	1	0.52	 	94	48.7	 	0	0	 	5	2.59	 	69	35.75	 	1	0.52	 	3	1.55	 	3	1.55	 	1	0.52	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	193	98.97	 	2	1.03	 	195	0.27
Kingstown		                                  	1	1.12	 	0	0	 	1	1.12	 	0	0	 	0	0	 	5	5.62	 	7	7.87	 	0	0	 	52	58.43	 	0	0	 	5	5.62	 	15	16.85	 	0	0	 	0	0	 	3	3.37	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	89	98.89	 	1	1.11	 	90	0.12
Kootingal		                                  	15	1.3	 	1	0.09	 	1	0.09	 	1	0.09	 	4	0.35	 	10	0.87	 	186	16.17	 	0	0	 	551	47.91	 	0	0	 	41	3.57	 	283	24.61	 	0	0	 	12	1.04	 	38	3.3	 	5	0.43	 	0	0	 	2	0.17	 	0	0	 	0	0	 	0	0	 	0	0	 	1150	98.04	 	23	1.96	 	1173	1.62
Llangothlin		                                	2	2.17	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	9	9.78	 	0	0	 	72	78.26	 	0	0	 	1	1.09	 	7	7.61	 	0	0	 	0	0	 	0	0	 	1	1.09	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	92	97.87	 	2	2.13	 	94	0.13
Loomberah		                                  	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.77	 	21	16.15	 	0	0	 	92	70.77	 	0	0	 	2	1.54	 	10	7.69	 	0	0	 	1	0.77	 	1	0.77	 	1	0.77	 	0	0	 	1	0.77	 	0	0	 	0	0	 	0	0	 	0	0	 	130	97.74	 	3	2.26	 	133	0.18
Martins Gully		                              	3	0.53	 	0	0	 	0	0	 	1	0.18	 	1	0.18	 	2	0.35	 	23	4.03	 	0	0	 	256	44.83	 	0	0	 	41	7.18	 	206	36.08	 	0	0	 	21	3.68	 	10	1.75	 	2	0.35	 	0	0	 	3	0.53	 	0	0	 	0	0	 	1	0.18	 	1	0.18	 	571	99.48	 	3	0.52	 	574	0.79
Mole Crossing		                              	0	0	 	0	0	 	0	0	 	1	1.69	 	0	0	 	0	0	 	0	0	 	1	1.69	 	53	89.83	 	0	0	 	0	0	 	4	6.78	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	59	93.65	 	4	6.35	 	63	0.09
Moonbi		                                     	9	1.77	 	2	0.39	 	1	0.2	 	2	0.39	 	2	0.39	 	4	0.79	 	82	16.14	 	2	0.39	 	242	47.64	 	0	0	 	18	3.54	 	121	23.82	 	0	0	 	4	0.79	 	14	2.76	 	2	0.39	 	0	0	 	1	0.2	 	0	0	 	0	0	 	1	0.2	 	1	0.2	 	508	98.83	 	6	1.17	 	514	0.71
Moor Creek		                                 	1	0.31	 	0	0	 	1	0.31	 	0	0	 	0	0	 	3	0.94	 	51	15.94	 	0	0	 	176	55	 	1	0.31	 	15	4.69	 	65	20.31	 	0	0	 	3	0.94	 	2	0.63	 	2	0.63	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	320	98.16	 	6	1.84	 	326	0.45
Nazareth House		                             	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	8	5	 	0	0	 	88	55	 	0	0	 	5	3.13	 	49	30.63	 	0	0	 	0	0	 	7	4.38	 	1	0.63	 	0	0	 	2	1.25	 	0	0	 	0	0	 	0	0	 	0	0	 	160	96.97	 	5	3.03	 	165	0.23
Nemingha		                                   	11	1.63	 	1	0.15	 	0	0	 	1	0.15	 	6	0.89	 	6	0.89	 	77	11.41	 	1	0.15	 	349	51.7	 	0	0	 	22	3.26	 	167	24.74	 	0	0	 	8	1.19	 	19	2.81	 	3	0.44	 	0	0	 	4	0.59	 	0	0	 	0	0	 	0	0	 	0	0	 	675	98.4	 	11	1.6	 	686	0.94
Niangala		                                   	1	0.93	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	10	9.26	 	0	0	 	70	64.81	 	0	0	 	3	2.78	 	20	18.52	 	0	0	 	3	2.78	 	1	0.93	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	108	99.08	 	1	0.92	 	109	0.15
Nowendoc		                                   	1	1.14	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	6	6.82	 	0	0	 	64	72.73	 	0	0	 	4	4.55	 	5	5.68	 	0	0	 	0	0	 	6	6.82	 	1	1.14	 	0	0	 	1	1.14	 	0	0	 	0	0	 	0	0	 	0	0	 	88	98.88	 	1	1.12	 	89	0.12
Nullamanna		                                 	1	1.3	 	0	0	 	0	0	 	1	1.3	 	0	0	 	0	0	 	4	5.19	 	0	0	 	56	72.73	 	0	0	 	2	2.6	 	13	16.88	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	77	96.25	 	3	3.75	 	80	0.11
Nundle		                                     	7	1.67	 	0	0	 	0	0	 	1	0.24	 	1	0.24	 	1	0.24	 	73	17.46	 	0	0	 	174	41.63	 	1	0.24	 	15	3.59	 	129	30.86	 	0	0	 	4	0.96	 	8	1.91	 	2	0.48	 	0	0	 	2	0.48	 	0	0	 	0	0	 	0	0	 	0	0	 	418	96.76	 	14	3.24	 	432	0.6
Oxley Vale		                                 	22	1.58	 	3	0.21	 	2	0.14	 	1	0.07	 	5	0.36	 	5	0.36	 	123	8.81	 	0	0	 	659	47.21	 	1	0.07	 	71	5.09	 	443	31.73	 	0	0	 	8	0.57	 	35	2.51	 	14	1	 	0	0	 	3	0.21	 	0	0	 	0	0	 	0	0	 	1	0.07	 	1396	98.17	 	26	1.83	 	1422	1.96
Peel High		                                  	18	1.22	 	8	0.54	 	1	0.07	 	3	0.2	 	5	0.34	 	10	0.68	 	161	10.9	 	0	0	 	487	32.97	 	1	0.07	 	49	3.32	 	661	44.75	 	1	0.07	 	25	1.69	 	30	2.03	 	15	1.02	 	1	0.07	 	1	0.07	 	0	0	 	0	0	 	0	0	 	0	0	 	1477	97.24	 	42	2.76	 	1519	2.09
Red Range		                                  	0	0	 	0	0	 	0	0	 	1	0.59	 	0	0	 	0	0	 	9	5.29	 	0	0	 	123	72.35	 	0	0	 	4	2.35	 	29	17.06	 	0	0	 	2	1.18	 	0	0	 	1	0.59	 	0	0	 	1	0.59	 	0	0	 	0	0	 	0	0	 	0	0	 	170	98.27	 	3	1.73	 	173	0.24
Rocky River		                                	13	6.16	 	0	0	 	0	0	 	0	0	 	2	0.95	 	1	0.47	 	15	7.11	 	0	0	 	69	32.7	 	0	0	 	4	1.9	 	93	44.08	 	0	0	 	4	1.9	 	4	1.9	 	3	1.42	 	0	0	 	1	0.47	 	0	0	 	0	0	 	0	0	 	2	0.95	 	211	97.69	 	5	2.31	 	216	0.3
Ross Hill		                                  	30	1.22	 	6	0.24	 	10	0.41	 	2	0.08	 	5	0.2	 	30	1.22	 	99	4.04	 	1	0.04	 	1319	53.81	 	2	0.08	 	79	3.22	 	753	30.72	 	0	0	 	20	0.82	 	84	3.43	 	7	0.29	 	0	0	 	3	0.12	 	1	0.04	 	0	0	 	0	0	 	0	0	 	2451	97.88	 	53	2.12	 	2504	3.45
Somerton		                                   	2	0.98	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	33	16.1	 	0	0	 	114	55.61	 	1	0.49	 	12	5.85	 	35	17.07	 	0	0	 	0	0	 	6	2.93	 	2	0.98	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	205	99.03	 	2	0.97	 	207	0.29
Sunnyside		                                  	0	0	 	1	0.76	 	0	0	 	0	0	 	0	0	 	0	0	 	3	2.29	 	0	0	 	104	79.39	 	0	0	 	1	0.76	 	20	15.27	 	1	0.76	 	1	0.76	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	131	97.76	 	3	2.24	 	134	0.18
Sydney (New England)		                       	1	2.44	 	0	0	 	0	0	 	0	0	 	0	0	 	1	2.44	 	1	2.44	 	0	0	 	17	41.46	 	1	2.44	 	6	14.63	 	11	26.83	 	0	0	 	1	2.44	 	0	0	 	0	0	 	0	0	 	0	0	 	2	4.88	 	0	0	 	0	0	 	0	0	 	41	100	 	0	0	 	41	0.06
Tamworth		                                   	32	1	 	7	0.22	 	5	0.16	 	3	0.09	 	15	0.47	 	7	0.22	 	287	8.96	 	1	0.03	 	1555	48.55	 	3	0.09	 	148	4.62	 	949	29.63	 	1	0.03	 	72	2.25	 	76	2.37	 	30	0.94	 	0	0	 	9	0.28	 	0	0	 	0	0	 	1	0.03	 	2	0.06	 	3203	97.68	 	76	2.32	 	3279	4.52
Tamworth High		                              	39	1.03	 	13	0.34	 	4	0.11	 	3	0.08	 	17	0.45	 	18	0.48	 	361	9.57	 	0	0	 	1597	42.32	 	4	0.11	 	239	6.33	 	1327	35.16	 	1	0.03	 	51	1.35	 	67	1.78	 	23	0.61	 	1	0.03	 	7	0.19	 	0	0	 	0	0	 	0	0	 	2	0.05	 	3774	97.24	 	107	2.76	 	3881	5.35
Tamworth Hospital		                          	2	0.79	 	2	0.79	 	2	0.79	 	1	0.4	 	3	1.19	 	2	0.79	 	16	6.35	 	0	0	 	130	51.59	 	0	0	 	14	5.56	 	69	27.38	 	0	0	 	2	0.79	 	7	2.78	 	1	0.4	 	0	0	 	1	0.4	 	0	0	 	0	0	 	0	0	 	0	0	 	252	98.82	 	3	1.18	 	255	0.35
Tamworth Primary		                           	22	0.85	 	6	0.23	 	0	0	 	3	0.12	 	8	0.31	 	13	0.5	 	192	7.39	 	4	0.15	 	1333	51.29	 	1	0.04	 	155	5.96	 	692	26.63	 	0	0	 	76	2.92	 	70	2.69	 	13	0.5	 	1	0.04	 	8	0.31	 	1	0.04	 	1	0.04	 	0	0	 	0	0	 	2599	98.52	 	39	1.48	 	2638	3.63
Tamworth West		                              	30	1.72	 	6	0.34	 	4	0.23	 	0	0	 	7	0.4	 	10	0.57	 	173	9.91	 	2	0.11	 	782	44.79	 	2	0.11	 	77	4.41	 	596	34.14	 	1	0.06	 	19	1.09	 	20	1.15	 	9	0.52	 	1	0.06	 	4	0.23	 	0	0	 	1	0.06	 	1	0.06	 	1	0.06	 	1746	97.49	 	45	2.51	 	1791	2.47
Tenterden		                                  	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	9	10.84	 	0	0	 	71	85.54	 	0	0	 	0	0	 	3	3.61	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	83	98.81	 	1	1.19	 	84	0.12
Tenterfield		                                	26	1.85	 	1	0.07	 	0	0	 	2	0.14	 	1	0.07	 	9	0.64	 	58	4.13	 	2	0.14	 	697	49.64	 	2	0.14	 	93	6.62	 	462	32.91	 	1	0.07	 	22	1.57	 	14	1	 	7	0.5	 	0	0	 	3	0.21	 	0	0	 	0	0	 	2	0.14	 	2	0.14	 	1404	96.89	 	45	3.11	 	1449	2
Tenterfield West		                           	13	1.51	 	7	0.81	 	2	0.23	 	2	0.23	 	0	0	 	4	0.47	 	40	4.65	 	0	0	 	396	46.05	 	5	0.58	 	52	6.05	 	307	35.7	 	0	0	 	8	0.93	 	13	1.51	 	9	1.05	 	0	0	 	1	0.12	 	0	0	 	0	0	 	0	0	 	1	0.12	 	860	96.41	 	32	3.59	 	892	1.23
Timbumburi		                                 	3	0.85	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.57	 	55	15.67	 	0	0	 	214	60.97	 	0	0	 	8	2.28	 	49	13.96	 	0	0	 	7	1.99	 	11	3.13	 	2	0.57	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	351	98.32	 	6	1.68	 	357	0.49
Tingha		                                     	9	1.45	 	0	0	 	0	0	 	0	0	 	2	0.32	 	6	0.97	 	43	6.94	 	0	0	 	255	41.13	 	1	0.16	 	11	1.77	 	282	45.48	 	0	0	 	3	0.48	 	4	0.65	 	2	0.32	 	0	0	 	1	0.16	 	0	0	 	0	0	 	1	0.16	 	0	0	 	620	98.41	 	10	1.59	 	630	0.87
Torrington		                                 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	6.15	 	0	0	 	45	69.23	 	0	0	 	1	1.54	 	14	21.54	 	0	0	 	1	1.54	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	65	100	 	0	0	 	65	0.09
Uralla		                                     	37	2.13	 	4	0.23	 	0	0	 	0	0	 	5	0.29	 	13	0.75	 	97	5.57	 	0	0	 	641	36.82	 	5	0.29	 	91	5.23	 	781	44.86	 	0	0	 	29	1.67	 	21	1.21	 	8	0.46	 	0	0	 	5	0.29	 	2	0.11	 	0	0	 	0	0	 	2	0.11	 	1741	97.43	 	46	2.57	 	1787	2.46
Walcha		                                     	25	1.4	 	3	0.17	 	1	0.06	 	5	0.28	 	4	0.22	 	6	0.34	 	89	4.97	 	3	0.17	 	1096	61.26	 	3	0.17	 	39	2.18	 	480	26.83	 	2	0.11	 	9	0.5	 	12	0.67	 	8	0.45	 	0	0	 	1	0.06	 	3	0.17	 	0	0	 	0	0	 	0	0	 	1789	98.89	 	20	1.11	 	1809	2.49
Westdale		                                   	4	0.55	 	2	0.28	 	1	0.14	 	2	0.28	 	2	0.28	 	5	0.69	 	96	13.28	 	0	0	 	410	56.71	 	3	0.41	 	20	2.77	 	143	19.78	 	0	0	 	10	1.38	 	21	2.9	 	4	0.55	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	723	98.64	 	10	1.36	 	733	1.01
Wollomombi		                                 	1	0.74	 	0	0	 	1	0.74	 	0	0	 	0	0	 	3	2.21	 	9	6.62	 	0	0	 	77	56.62	 	0	0	 	2	1.47	 	30	22.06	 	0	0	 	1	0.74	 	12	8.82	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	136	99.27	 	1	0.73	 	137	0.19
Wongwibinda		                                	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	3.17	 	0	0	 	49	77.78	 	0	0	 	2	3.17	 	8	12.7	 	0	0	 	2	3.17	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	63	98.44	 	1	1.56	 	64	0.09
Woolbrook		                                  	3	2.7	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	15	13.51	 	0	0	 	72	64.86	 	0	0	 	1	0.9	 	16	14.41	 	0	0	 	1	0.9	 	3	2.7	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	111	94.87	 	6	5.13	 	117	0.16
Woolomin		                                   	2	1.18	 	0	0	 	0	0	 	0	0	 	2	1.18	 	3	1.76	 	16	9.41	 	0	0	 	86	50.59	 	0	0	 	6	3.53	 	51	30	 	0	0	 	2	1.18	 	1	0.59	 	1	0.59	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	170	98.27	 	3	1.73	 	173	0.24
Yarrowitch		                                 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.15	 	0	0	 	65	74.71	 	0	0	 	5	5.75	 	13	14.94	 	0	0	 	2	2.3	 	1	1.15	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	87	98.86	 	1	1.14	 	88	0.12
Yarrowyck		                                  	0	0	 	0	0	 	0	0	 	0	0	 	1	1.72	 	0	0	 	6	10.34	 	0	0	 	45	77.59	 	0	0	 	3	5.17	 	1	1.72	 	0	0	 	2	3.45	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	58	98.31	 	1	1.69	 	59	0.08
Special Hospitals		                          	2	0.61	 	1	0.31	 	0	0	 	0	0	 	1	0.31	 	1	0.31	 	0	0	 	0	0	 	225	69.02	 	0	0	 	6	1.84	 	82	25.15	 	0	0	 	0	0	 	2	0.61	 	2	0.61	 	0	0	 	2	0.61	 	0	0	 	1	0.31	 	1	0.31	 	0	0	 	326	96.45	 	12	3.55	 	338	0.47
Total Ordinary		                             	785	1.29	 	144	0.24	 	75	0.12	 	71	0.12	 	175	0.29	 	352	0.58	 	4674	7.7	 	46	0.08	 	29064	47.87	 	77	0.13	 	2936	4.84	 	19245	31.7	 	22	0.04	 	1184	1.95	 	1250	2.06	 	379	0.62	 	9	0.01	 	125	0.21	 	30	0.05	 	7	0.01	 	19	0.03	 	43	0.07	 	60712	97.83	 	1348	2.17	 	62060	85.49
ABSENT		                                     	60	1.35	 	18	0.4	 	3	0.07	 	7	0.16	 	7	0.16	 	20	0.45	 	227	5.09	 	1	0.02	 	2102	47.17	 	4	0.09	 	261	5.86	 	1469	32.97	 	2	0.04	 	124	2.78	 	101	2.27	 	34	0.76	 	1	0.02	 	9	0.2	 	1	0.02	 	0	0	 	2	0.04	 	3	0.07	 	4456	98.76	 	56	1.24	 	4512	6.22
POSTAL		                                     	7	0.31	 	4	0.18	 	2	0.09	 	3	0.13	 	10	0.45	 	9	0.4	 	107	4.79	 	2	0.09	 	1259	56.38	 	3	0.13	 	111	4.97	 	611	27.36	 	0	0	 	20	0.9	 	38	1.7	 	25	1.12	 	2	0.09	 	15	0.67	 	0	0	 	0	0	 	1	0.04	 	4	0.18	 	2233	99.42	 	13	0.58	 	2246	3.09
PRE_POLL		                                   	36	1.15	 	6	0.19	 	4	0.13	 	7	0.22	 	11	0.35	 	27	0.86	 	168	5.36	 	1	0.03	 	1509	48.1	 	5	0.16	 	203	6.47	 	960	30.6	 	2	0.06	 	90	2.87	 	79	2.52	 	18	0.57	 	1	0.03	 	7	0.22	 	2	0.06	 	1	0.03	 	0	0	 	0	0	 	3137	98.77	 	39	1.23	 	3176	4.37
PROVISIONAL		                                	10	1.72	 	1	0.17	 	0	0	 	1	0.17	 	1	0.17	 	5	0.86	 	48	8.23	 	0	0	 	223	38.25	 	3	0.51	 	22	3.77	 	231	39.62	 	1	0.17	 	20	3.43	 	10	1.72	 	6	1.03	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.17	 	0	0	 	583	97.82	 	13	2.18	 	596	0.82
ADJUSTMENT		                                 	-2		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	2		       	-2		       	1		       	0		       	0		       	-3		       	0		       	0		       	1		       	0		       	0		       	0		       	0		       	-3		       	9		       	6	
Division Summary		                           	896	1.26	 	173	0.24	 	84	0.12	 	89	0.13	 	204	0.29	 	413	0.58	 	5224	7.35	 	50	0.07	 	34157	48.03	 	94	0.13	 	3531	4.96	 	22517	31.66	 	27	0.04	 	1438	2.02	 	1475	2.07	 	462	0.65	 	13	0.02	 	157	0.22	 	33	0.05	 	8	0.01	 	23	0.03	 	50	0.07	 	71118	97.96	 	1478	2.04	 	72596	96.78


Newcastle (77791)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adamstown		                                  	21	1.56	 	2	0.15	 	1	0.07	 	0	0	 	4	0.3	 	1	0.07	 	13	0.97	 	0	0	 	325	24.13	 	0	0	 	60	4.45	 	840	62.36	 	1	0.07	 	57	4.23	 	12	0.89	 	2	0.15	 	0	0	 	4	0.3	 	0	0	 	0	0	 	0	0	 	4	0.3	 	1347	97.19	 	39	2.81	 	1386	1.83
Adamstown Heights		                          	31	1.22	 	1	0.04	 	3	0.12	 	2	0.08	 	4	0.16	 	2	0.08	 	16	0.63	 	1	0.04	 	1082	42.51	 	3	0.12	 	149	5.85	 	1091	42.87	 	0	0	 	86	3.38	 	47	1.85	 	15	0.59	 	0	0	 	5	0.2	 	1	0.04	 	2	0.08	 	0	0	 	4	0.16	 	2545	98.61	 	36	1.39	 	2581	3.42
Adamstown North		                            	32	2.36	 	2	0.15	 	1	0.07	 	1	0.07	 	1	0.07	 	2	0.15	 	8	0.59	 	2	0.15	 	245	18.08	 	0	0	 	66	4.87	 	898	66.27	 	0	0	 	76	5.61	 	7	0.52	 	6	0.44	 	0	0	 	1	0.07	 	0	0	 	1	0.07	 	0	0	 	6	0.44	 	1355	96.79	 	45	3.21	 	1400	1.85
Adamstown West		                             	22	1.65	 	1	0.08	 	1	0.08	 	1	0.08	 	5	0.38	 	1	0.08	 	14	1.05	 	1	0.08	 	403	30.23	 	0	0	 	90	6.75	 	715	53.64	 	0	0	 	49	3.68	 	17	1.28	 	6	0.45	 	1	0.08	 	6	0.45	 	0	0	 	0	0	 	0	0	 	0	0	 	1333	97.3	 	37	2.7	 	1370	1.81
Beaumont Park		                              	27	2.68	 	0	0	 	1	0.1	 	4	0.4	 	2	0.2	 	3	0.3	 	5	0.5	 	1	0.1	 	168	16.7	 	0	0	 	32	3.18	 	734	72.96	 	0	0	 	22	2.19	 	3	0.3	 	0	0	 	0	0	 	1	0.1	 	0	0	 	0	0	 	0	0	 	3	0.3	 	1006	94.55	 	58	5.45	 	1064	1.41
Birmingham Gardens		                         	21	2.4	 	2	0.23	 	0	0	 	1	0.11	 	0	0	 	2	0.23	 	26	2.97	 	0	0	 	191	21.83	 	0	0	 	64	7.31	 	515	58.86	 	0	0	 	23	2.63	 	19	2.17	 	7	0.8	 	1	0.11	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.34	 	875	97.77	 	20	2.23	 	895	1.18
Birmingham Gardens North		                   	10	0.91	 	0	0	 	1	0.09	 	0	0	 	6	0.55	 	1	0.09	 	24	2.19	 	0	0	 	243	22.21	 	2	0.18	 	57	5.21	 	692	63.25	 	0	0	 	29	2.65	 	16	1.46	 	9	0.82	 	0	0	 	4	0.37	 	0	0	 	0	0	 	0	0	 	0	0	 	1094	97.94	 	23	2.06	 	1117	1.48
Carrington		                                 	19	2.07	 	2	0.22	 	1	0.11	 	1	0.11	 	2	0.22	 	2	0.22	 	9	0.98	 	0	0	 	72	7.86	 	3	0.33	 	22	2.4	 	750	81.88	 	0	0	 	30	3.28	 	3	0.33	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	916	98.18	 	17	1.82	 	933	1.24
Cooks Hill		                                 	20	3.33	 	0	0	 	0	0	 	1	0.17	 	0	0	 	0	0	 	5	0.83	 	0	0	 	147	24.46	 	0	0	 	45	7.49	 	324	53.91	 	0	0	 	52	8.65	 	5	0.83	 	1	0.17	 	0	0	 	1	0.17	 	0	0	 	0	0	 	0	0	 	0	0	 	601	97.72	 	14	2.28	 	615	0.81
Cooks Hill South		                           	43	2.06	 	9	0.43	 	1	0.05	 	4	0.19	 	7	0.33	 	0	0	 	8	0.38	 	4	0.19	 	714	34.16	 	3	0.14	 	112	5.36	 	1044	49.95	 	0	0	 	107	5.12	 	18	0.86	 	10	0.48	 	1	0.05	 	2	0.1	 	0	0	 	0	0	 	0	0	 	3	0.14	 	2090	98.26	 	37	1.74	 	2127	2.82
Garden Suburb (Newcastle)		                  	2	0.75	 	0	0	 	0	0	 	2	0.75	 	0	0	 	0	0	 	2	0.75	 	0	0	 	132	49.81	 	1	0.38	 	16	6.04	 	106	40	 	0	0	 	3	1.13	 	1	0.38	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	265	97.43	 	7	2.57	 	272	0.36
Georgetown		                                 	24	2.18	 	1	0.09	 	3	0.27	 	2	0.18	 	0	0	 	0	0	 	11	1	 	0	0	 	226	20.51	 	0	0	 	39	3.54	 	740	67.15	 	0	0	 	32	2.9	 	16	1.45	 	6	0.54	 	0	0	 	1	0.09	 	0	0	 	0	0	 	0	0	 	1	0.09	 	1102	96.08	 	45	3.92	 	1147	1.52
Hamilton		                                   	47	2.65	 	2	0.11	 	2	0.11	 	3	0.17	 	1	0.06	 	1	0.06	 	15	0.85	 	0	0	 	396	22.31	 	1	0.06	 	109	6.14	 	1097	61.8	 	1	0.06	 	80	4.51	 	5	0.28	 	8	0.45	 	1	0.06	 	1	0.06	 	0	0	 	0	0	 	0	0	 	5	0.28	 	1775	97.1	 	53	2.9	 	1828	2.42
Hamilton Central		                           	22	1.78	 	5	0.4	 	0	0	 	1	0.08	 	3	0.24	 	1	0.08	 	7	0.57	 	1	0.08	 	273	22.11	 	0	0	 	91	7.37	 	732	59.27	 	2	0.16	 	71	5.75	 	16	1.3	 	5	0.4	 	0	0	 	1	0.08	 	0	0	 	0	0	 	0	0	 	4	0.32	 	1235	96.26	 	48	3.74	 	1283	1.7
Hamilton North		                             	9	1.28	 	1	0.14	 	1	0.14	 	4	0.57	 	1	0.14	 	0	0	 	9	1.28	 	1	0.14	 	143	20.34	 	2	0.28	 	37	5.26	 	453	64.44	 	0	0	 	30	4.27	 	11	1.56	 	1	0.14	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	703	96.97	 	22	3.03	 	725	0.96
Hamilton South		                             	27	1.11	 	4	0.16	 	1	0.04	 	5	0.21	 	10	0.41	 	0	0	 	43	1.76	 	3	0.12	 	903	37.02	 	4	0.16	 	123	5.04	 	1139	46.7	 	1	0.04	 	135	5.54	 	29	1.19	 	2	0.08	 	0	0	 	5	0.21	 	0	0	 	0	0	 	2	0.08	 	3	0.12	 	2439	97.72	 	57	2.28	 	2496	3.3
