House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
O'Connor																																			
					TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		84	54.55		5	3.25		4	2.60		0	0.00		17	11.04		7	4.55					12	7.79		2	1.30		23	14.94		154	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		84	54.55		5	3.25		4	2.60					17	11.04		7	4.55					12	7.79		2	1.30		23	14.94		154	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		1	50.00					0	0.00			Excluded		1	50.00		2	
		TOTAL		84	54.55		5	3.25		4	2.60					17	11.04		8	5.19					12	7.79					24	15.58		154	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		3	75.00					0	0.00					1	25.00		4	
		TOTAL		84	54.55		5	3.25								17	11.04		11	7.14					12	7.79					25	16.23		154	
	SIXTH			1	20.00			Excluded								1	20.00		0	0.00					2	40.00					1	20.00		5	
		TOTAL		85	55.19											18	11.69		11	7.14					14	9.09					26	16.88		154	
	SEVENTH			0	0.00											4	36.36			Excluded					3	27.27					4	36.36		11	
		TOTAL		85	55.19											22	14.29								17	11.04					30	19.48		154	
	EIGHTH			14	63.64												Excluded								4	18.18					4	18.18		22	
		TOTAL		99	64.29																				21	13.64					34	22.08		154	
	NINTH			11	52.38																					Excluded					10	47.62		21	
		TOTAL		110	71.43																										44	28.57		154	
				Elected																															
																																			
Narembeen                                                      																																			
	FIRST			179	51.14		8	2.29		0	0.00		4	1.14		76	21.71		3	0.86		1	0.29		33	9.43		2	0.57		44	12.57		350	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		179	51.14		8	2.29		0	0.00		4	1.14		76	21.71		3	0.86					34	9.71		2	0.57		44	12.57		350	
	THIRD			1	25.00		1	25.00		0	0.00			Excluded		0	0.00		2	50.00					0	0.00		0	0.00		0	0.00		4	
		TOTAL		180	51.43		9	2.57		0	0.00					76	21.71		5	1.43					34	9.71		2	0.57		44	12.57		350	
	FOURTH			2	100.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		2	
		TOTAL		182	52.00		9	2.57		0	0.00					76	21.71		5	1.43					34	9.71					44	12.57		350	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		182	52.00		9	2.57								76	21.71		5	1.43					34	9.71					44	12.57		350	
	SIXTH			5	55.56			Excluded								2	22.22		1	11.11					1	11.11					0	0.00		9	
		TOTAL		187	53.43											78	22.29		6	1.71					35	10.00					44	12.57		350	
	SEVENTH			1	16.67											2	33.33			Excluded					2	33.33					1	16.67		6	
		TOTAL		188	53.71											80	22.86								37	10.57					45	12.86		350	
	EIGHTH			75	93.75												Excluded								5	6.25					0	0.00		80	
		TOTAL		263	75.14																				42	12.00					45	12.86		350	
	NINTH			27	64.29																					Excluded					15	35.71		42	
		TOTAL		290	82.86																										60	17.14		350	
				Elected																															
																																			
Narrikup                                                       																																			
	FIRST			102	48.34		14	6.64		5	2.37		1	0.47		32	15.17		9	4.27		0	0.00		30	14.22		3	1.42		15	7.11		211	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		102	48.34		14	6.64		5	2.37		1	0.47		32	15.17		9	4.27					30	14.22		3	1.42		15	7.11		211	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	100.00		0	0.00		1	
		TOTAL		102	48.34		14	6.64		5	2.37					32	15.17		9	4.27					30	14.22		4	1.90		15	7.11		211	
	FOURTH			2	50.00		0	0.00		0	0.00					0	0.00		1	25.00					1	25.00			Excluded		0	0.00		4	
		TOTAL		104	49.29		14	6.64		5	2.37					32	15.17		10	4.74					31	14.69					15	7.11		211	
	FIFTH			0	0.00		1	20.00			Excluded					0	0.00		3	60.00					1	20.00					0	0.00		5	
		TOTAL		104	49.29		15	7.11								32	15.17		13	6.16					32	15.17					15	7.11		211	
	SIXTH			11	73.33			Excluded								3	20.00		0	0.00					1	6.67					0	0.00		15	
		TOTAL		115	54.50											35	16.59		13	6.16					33	15.64					15	7.11		211	
	SEVENTH			1	7.69											3	23.08			Excluded					7	53.85					2	15.38		13	
		TOTAL		116	54.98											38	18.01								40	18.96					17	8.06		211	
	EIGHTH			22	57.89												Excluded								6	15.79					10	26.32		38	
		TOTAL		138	65.40																				46	21.80					27	12.80		211	
	NINTH			34	73.91																					Excluded					12	26.09		46	
		TOTAL		172	81.52																										39	18.48		211	
				Elected																															
																																			
New Norcia                                                     																																			
	FIRST			86	74.78		1	0.87		2	1.74		0	0.00		3	2.61		1	0.87		0	0.00		7	6.09		2	1.74		13	11.30		115	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		86	74.78		1	0.87		2	1.74		0	0.00		3	2.61		1	0.87					7	6.09		2	1.74		13	11.30		115	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		86	74.78		1	0.87		2	1.74					3	2.61		1	0.87					7	6.09		2	1.74		13	11.30		115	
	FOURTH			1	50.00		0	0.00		0	0.00					0	0.00		1	50.00					0	0.00			Excluded		0	0.00		2	
		TOTAL		87	75.65		1	0.87		2	1.74					3	2.61		2	1.74					7	6.09					13	11.30		115	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					2	100.00		2	
		TOTAL		87	75.65		1	0.87								3	2.61		2	1.74					7	6.09					15	13.04		115	
	SIXTH			1	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		88	76.52											3	2.61		2	1.74					7	6.09					15	13.04		115	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					2	100.00		2	
		TOTAL		88	76.52											3	2.61								7	6.09					17	14.78		115	
	EIGHTH			2	66.67												Excluded								1	33.33					0	0.00		3	
		TOTAL		90	78.26																				8	6.96					17	14.78		115	
	NINTH			7	87.50																					Excluded					1	12.50		8	
		TOTAL		97	84.35																										18	15.65		115	
				Elected																															
																																			
Newdegate                                                      																																			
	FIRST			142	57.96		2	0.82		2	0.82		1	0.41		46	18.78		2	0.82		0	0.00		37	15.10		0	0.00		13	5.31		245	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		142	57.96		2	0.82		2	0.82		1	0.41		46	18.78		2	0.82					37	15.10		0	0.00		13	5.31		245	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		0	0.00		1	
		TOTAL		142	57.96		2	0.82		2	0.82					46	18.78		2	0.82					38	15.51		0	0.00		13	5.31		245	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		142	57.96		2	0.82		2	0.82					46	18.78		2	0.82					38	15.51					13	5.31		245	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		2	100.00					0	0.00					0	0.00		2	
		TOTAL		142	57.96		2	0.82								46	18.78		4	1.63					38	15.51					13	5.31		245	
	SIXTH			1	50.00			Excluded								1	50.00		0	0.00					0	0.00					0	0.00		2	
		TOTAL		143	58.37											47	19.18		4	1.63					38	15.51					13	5.31		245	
	SEVENTH			0	0.00											1	25.00			Excluded					1	25.00					2	50.00		4	
		TOTAL		143	58.37											48	19.59								39	15.92					15	6.12		245	
	EIGHTH			40	83.33												Excluded								6	12.50					2	4.17		48	
		TOTAL		183	74.69																				45	18.37					17	6.94		245	
	NINTH			35	77.78																					Excluded					10	22.22		45	
		TOTAL		218	88.98																										27	11.02		245	
				Elected																															
																																			
Nungarin                                                       																																			
	FIRST			70	52.24		0	0.00		2	1.49		2	1.49		24	17.91		1	0.75		0	0.00		20	14.93		1	0.75		14	10.45		134	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		70	52.24		0	0.00		2	1.49		2	1.49		24	17.91		1	0.75					20	14.93		1	0.75		14	10.45		134	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	50.00		0	0.00		1	50.00		2	
		TOTAL		70	52.24		0	0.00		2	1.49					24	17.91		1	0.75					21	15.67		1	0.75		15	11.19		134	
	FOURTH			1	100.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		71	52.99		0	0.00		2	1.49					24	17.91		1	0.75					21	15.67					15	11.19		134	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		1	50.00					0	0.00					1	50.00		2	
		TOTAL		71	52.99		0	0.00								24	17.91		2	1.49					21	15.67					16	11.94		134	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		71	52.99											24	17.91		2	1.49					21	15.67					16	11.94		134	
	SEVENTH			0	0.00											1	50.00			Excluded					0	0.00					1	50.00		2	
		TOTAL		71	52.99											25	18.66								21	15.67					17	12.69		134	
	EIGHTH			24	96.00												Excluded								0	0.00					1	4.00		25	
		TOTAL		95	70.90																				21	15.67					18	13.43		134	
	NINTH			18	85.71																					Excluded					3	14.29		21	
		TOTAL		113	84.33																										21	15.67		134	
				Elected																															
																																			
Nyabing                                                        																																			
	FIRST			95	59.38		3	1.88		2	1.25		0	0.00		29	18.13		2	1.25		1	0.63		21	13.13		1	0.63		6	3.75		160	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		95	59.38		3	1.88		2	1.25		0	0.00		29	18.13		2	1.25					22	13.75		1	0.63		6	3.75		160	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		95	59.38		3	1.88		2	1.25					29	18.13		2	1.25					22	13.75		1	0.63		6	3.75		160	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		1	100.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		95	59.38		3	1.88		2	1.25					29	18.13		3	1.88					22	13.75					6	3.75		160	
	FIFTH			0	0.00		1	50.00			Excluded					0	0.00		0	0.00					0	0.00					1	50.00		2	
		TOTAL		95	59.38		4	2.50								29	18.13		3	1.88					22	13.75					7	4.38		160	
	SIXTH			2	50.00			Excluded								0	0.00		1	25.00					1	25.00					0	0.00		4	
		TOTAL		97	60.63											29	18.13		4	2.50					23	14.38					7	4.38		160	
	SEVENTH			1	25.00											1	25.00			Excluded					0	0.00					2	50.00		4	
		TOTAL		98	61.25											30	18.75								23	14.38					9	5.63		160	
	EIGHTH			22	73.33												Excluded								7	23.33					1	3.33		30	
		TOTAL		120	75.00																				30	18.75					10	6.25		160	
	NINTH			20	66.67																					Excluded					10	33.33		30	
		TOTAL		140	87.50																										20	12.50		160	
				Elected																															
																																			
Ongerup                                                        																																			
	FIRST			82	50.62		1	0.62		0	0.00		2	1.23		32	19.75		6	3.70		2	1.23		24	14.81		2	1.23		11	6.79		162	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		0	0.00		2	
		TOTAL		82	50.62		1	0.62		0	0.00		2	1.23		32	19.75		6	3.70					26	16.05		2	1.23		11	6.79		162	
	THIRD			1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	50.00		0	0.00		2	
		TOTAL		83	51.23		1	0.62		0	0.00					32	19.75		6	3.70					26	16.05		3	1.85		11	6.79		162	
	FOURTH			1	33.33		0	0.00		0	0.00					1	33.33		0	0.00					0	0.00			Excluded		1	33.33		3	
		TOTAL		84	51.85		1	0.62		0	0.00					33	20.37		6	3.70					26	16.05					12	7.41		162	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		84	51.85		1	0.62								33	20.37		6	3.70					26	16.05					12	7.41		162	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					1	100.00					0	0.00		1	
		TOTAL		84	51.85											33	20.37		6	3.70					27	16.67					12	7.41		162	
	SEVENTH			0	0.00											1	16.67			Excluded					1	16.67					4	66.67		6	
		TOTAL		84	51.85											34	20.99								28	17.28					16	9.88		162	
	EIGHTH			26	76.47												Excluded								4	11.76					4	11.76		34	
		TOTAL		110	67.90																				32	19.75					20	12.35		162	
	NINTH			24	75.00																					Excluded					8	25.00		32	
		TOTAL		134	82.72																										28	17.28		162	
				Elected																															
																																			
Parryville                                                     																																			
	FIRST			66	37.29		0	0.00		2	1.13		1	0.56		7	3.95		31	17.51		0	0.00		20	11.30		17	9.60		33	18.64		177	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		66	37.29		0	0.00		2	1.13		1	0.56		7	3.95		31	17.51					20	11.30		17	9.60		33	18.64		177	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00		1	
		TOTAL		66	37.29		0	0.00		2	1.13					7	3.95		31	17.51					20	11.30		17	9.60		34	19.21		177	
	FOURTH			1	5.88		0	0.00		0	0.00					1	5.88		11	64.71					2	11.76			Excluded		2	11.76		17	
		TOTAL		67	37.85		0	0.00		2	1.13					8	4.52		42	23.73					22	12.43					36	20.34		177	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		2	100.00					0	0.00					0	0.00		2	
		TOTAL		67	37.85		0	0.00								8	4.52		44	24.86					22	12.43					36	20.34		177	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		67	37.85											8	4.52		44	24.86					22	12.43					36	20.34		177	
	SEVENTH			5	11.36											5	11.36			Excluded					3	6.82					31	70.45		44	
		TOTAL		72	40.68											13	7.34								25	14.12					67	37.85		177	
	EIGHTH			6	46.15												Excluded								5	38.46					2	15.38		13	
		TOTAL		78	44.07																				30	16.95					69	38.98		177	
	NINTH			18	60.00																					Excluded					12	40.00		30	
		TOTAL		96	54.24																										81	45.76		177	
				Elected																															
																																			
Perenjori                                                      																																			
	FIRST			106	57.30		1	0.54		3	1.62		0	0.00		16	8.65		4	2.16		0	0.00		31	16.76		1	0.54		23	12.43		185	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		106	57.30		1	0.54		3	1.62		0	0.00		16	8.65		4	2.16					31	16.76		1	0.54		23	12.43		185	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		106	57.30		1	0.54		3	1.62					16	8.65		4	2.16					31	16.76		1	0.54		23	12.43		185	
	FOURTH			1	100.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		107	57.84		1	0.54		3	1.62					16	8.65		4	2.16					31	16.76					23	12.43		185	
	FIFTH			1	33.33		0	0.00			Excluded					0	0.00		1	33.33					0	0.00					1	33.33		3	
		TOTAL		108	58.38		1	0.54								16	8.65		5	2.70					31	16.76					24	12.97		185	
	SIXTH			1	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		109	58.92											16	8.65		5	2.70					31	16.76					24	12.97		185	
	SEVENTH			0	0.00											0	0.00			Excluded					2	40.00					3	60.00		5	
		TOTAL		109	58.92											16	8.65								33	17.84					27	14.59		185	
	EIGHTH			13	81.25												Excluded								2	12.50					1	6.25		16	
		TOTAL		122	65.95																				35	18.92					28	15.14		185	
	NINTH			21	60.00																					Excluded					14	40.00		35	
		TOTAL		143	77.30																										42	22.70		185	
				Elected																															
																																			
Perth (O'Connor)                                               																																			
	FIRST			33	45.83		0	0.00		5	6.94		1	1.39		8	11.11		5	6.94		0	0.00		5	6.94		0	0.00		15	20.83		72	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		33	45.83		0	0.00		5	6.94		1	1.39		8	11.11		5	6.94					5	6.94		0	0.00		15	20.83		72	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		33	45.83		0	0.00		5	6.94					9	12.50		5	6.94					5	6.94		0	0.00		15	20.83		72	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		33	45.83		0	0.00		5	6.94					9	12.50		5	6.94					5	6.94					15	20.83		72	
	FIFTH			0	0.00		0	0.00			Excluded					2	40.00		2	40.00					0	0.00					1	20.00		5	
		TOTAL		33	45.83		0	0.00								11	15.28		7	9.72					5	6.94					16	22.22		72	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		33	45.83											11	15.28		7	9.72					5	6.94					16	22.22		72	
	SEVENTH			0	0.00											2	28.57			Excluded					0	0.00					5	71.43		7	
		TOTAL		33	45.83											13	18.06								5	6.94					21	29.17		72	
	EIGHTH			10	76.92												Excluded								2	15.38					1	7.69		13	
		TOTAL		43	59.72																				7	9.72					22	30.56		72	
	NINTH			1	14.29																					Excluded					6	85.71		7	
		TOTAL		44	61.11																										28	38.89		72	
				Elected																															
																																			
Pingaring                                                      																																			
	FIRST			32	40.00		0	0.00		0	0.00		0	0.00		31	38.75		0	0.00		3	3.75		10	12.50		1	1.25		3	3.75		80	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00			Excluded		1	33.33		0	0.00		0	0.00		3	
		TOTAL		32	40.00		0	0.00		1	1.25		0	0.00		32	40.00		0	0.00					11	13.75		1	1.25		3	3.75		80	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		32	40.00		0	0.00		1	1.25					32	40.00		0	0.00					11	13.75		1	1.25		3	3.75		80	
	FOURTH			0	0.00		0	0.00		0	0.00					1	100.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		32	40.00		0	0.00		1	1.25					33	41.25		0	0.00					11	13.75					3	3.75		80	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					1	100.00					0	0.00		1	
		TOTAL		32	40.00		0	0.00								33	41.25		0	0.00					12	15.00					3	3.75		80	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		32	40.00											33	41.25		0	0.00					12	15.00					3	3.75		80	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		32	40.00											33	41.25								12	15.00					3	3.75		80	
	EIGHTH			30	90.91												Excluded								3	9.09					0	0.00		33	
		TOTAL		62	77.50																				15	18.75					3	3.75		80	
	NINTH			12	80.00																					Excluded					3	20.00		15	
		TOTAL		74	92.50																										6	7.50		80	
				Elected																															
																																			
Pingrup                                                        																																			
	FIRST			56	49.56		1	0.88		0	0.00		0	0.00		31	27.43		0	0.00		0	0.00		16	14.16		0	0.00		9	7.96		113	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		56	49.56		1	0.88		0	0.00		0	0.00		31	27.43		0	0.00					16	14.16		0	0.00		9	7.96		113	
